"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",4,0,0,0.0048,0,0,1,"E"
"2",3,0,9e-04,0.0035,0,0.2049,0.7951,"CE"
"3",4,0,0,0.0048,0,0,1,"E"
"4",3,0,0.0015,0.0041,0,0.2729,0.7271,"CE"
"5",3,0,0.001,0.0044,0,0.1861,0.8139,"CE"
"6",4,0,0,0.005,0,0,1,"E"
"7",8,0,0,0.005,0,0,1,"E"
"8",3,0,0.0017,0.004,0,0.3016,0.6984,"CE"
"9",3,0,0.0016,0.0044,0,0.2687,0.7313,"CE"
"10",3,0,0.0012,0.004,0,0.2373,0.7627,"CE"
"11",4,0,0,0.0058,0,0,1,"E"
"12",3,0,0.0015,0.0035,0,0.2999,0.7001,"CE"
"13",3,0,0.0012,0.0037,0,0.2503,0.7497,"CE"
"14",3,0,0.0014,0.0043,0,0.246,0.754,"CE"
"15",3,0,0.0013,0.0037,0,0.2649,0.7351,"CE"
"16",7,0,0.0019,0.0032,0,0.373,0.627,"DE"
"17",4,0,0,0.005,0,0,1,"E"
"18",3,0,0.0012,0.0049,0,0.1994,0.8006,"CE"
"19",3,0,0.001,0.0036,0,0.2263,0.7737,"CE"
"20",2,0.0018,0,0.0036,0.3366,0,0.6634,"AE"
"21",3,0,0.0015,0.004,0,0.2791,0.7209,"CE"
"22",3,0,0.0018,0.0041,0,0.2998,0.7002,"CE"
"23",3,0,0.0022,0.0039,0,0.3572,0.6428,"CE"
"24",3,0,0.0016,0.0048,0,0.2506,0.7494,"CE"
"25",3,0,0.0013,0.004,0,0.2508,0.7492,"CE"
"26",3,0,0.0023,0.0042,0,0.3561,0.6439,"CE"
"27",3,0,0.0015,0.0033,0,0.3073,0.6927,"CE"
"28",3,0,0.0017,0.0042,0,0.2888,0.7112,"CE"
"29",7,0,0.0019,0.0031,0,0.3749,0.6251,"DE"
"30",3,0,0.0013,0.0044,0,0.2336,0.7664,"CE"
"31",2,0.0017,0,0.0039,0.304,0,0.696,"AE"
"32",3,0,0.0018,0.004,0,0.3177,0.6823,"CE"
"33",4,0,0,0.0051,0,0,1,"E"
"34",3,0,0.0012,0.0038,0,0.2382,0.7618,"CE"
"35",3,0,0.0016,0.0037,0,0.2986,0.7014,"CE"
"36",3,0,0.0011,0.0045,0,0.2026,0.7974,"CE"
"37",3,0,0.0019,0.0041,0,0.3186,0.6814,"CE"
"38",3,0,0.002,0.0039,0,0.3417,0.6583,"CE"
"39",8,0,0,0.005,0,0,1,"E"
"40",3,0,0.0014,0.0034,0,0.2862,0.7138,"CE"
"41",3,0,0.0017,0.0046,0,0.2721,0.7279,"CE"
"42",3,0,0.002,0.0042,0,0.3214,0.6786,"CE"
"43",3,0,0.0011,0.0035,0,0.2363,0.7637,"CE"
"44",3,0,0.0014,0.0042,0,0.2579,0.7421,"CE"
"45",3,0,0.0024,0.0037,0,0.3965,0.6035,"CE"
"46",3,0,0.0021,0.0041,0,0.3353,0.6647,"CE"
"47",3,0,0.0013,0.0044,0,0.2212,0.7788,"CE"
"48",4,0,0,0.0046,0,0,1,"E"
"49",3,0,0.0014,0.0047,0,0.232,0.768,"CE"
"50",7,0,0.0015,0.0038,0,0.2799,0.7201,"DE"
"51",3,0,0.0018,0.0042,0,0.2957,0.7043,"CE"
"52",3,0,0.0017,0.0045,0,0.2717,0.7283,"CE"
"53",3,0,0.0019,0.0036,0,0.3518,0.6482,"CE"
"54",4,0,0,0.0054,0,0,1,"E"
"55",3,0,0.0025,0.0031,0,0.4402,0.5598,"CE"
"56",3,0,0.0016,0.0042,0,0.2743,0.7257,"CE"
"57",3,0,0.0013,0.0038,0,0.2604,0.7396,"CE"
"58",2,0.0022,0,0.0037,0.3729,0,0.6271,"AE"
"59",3,0,0.001,0.0037,0,0.2056,0.7944,"CE"
"60",3,0,0.002,0.0039,0,0.336,0.664,"CE"
"61",3,0,0.0017,0.0041,0,0.2952,0.7048,"CE"
"62",3,0,0.0018,0.0039,0,0.3111,0.6889,"CE"
"63",3,0,0.001,0.0042,0,0.1885,0.8115,"CE"
"64",2,0.0021,0,0.004,0.3387,0,0.6613,"AE"
"65",3,0,0.0014,0.0037,0,0.2759,0.7241,"CE"
"66",3,0,0.0024,0.0036,0,0.404,0.596,"CE"
"67",3,0,0.002,0.0042,0,0.3176,0.6824,"CE"
"68",3,0,0.0015,0.0046,0,0.2513,0.7487,"CE"
"69",3,0,0.0012,0.0044,0,0.2198,0.7802,"CE"
"70",6,0.0018,0,0.0037,0.3298,0,0.6702,"AE"
"71",3,0,0.0021,0.004,0,0.3444,0.6556,"CE"
"72",3,0,9e-04,0.004,0,0.1848,0.8152,"CE"
"73",2,0.0024,0,0.003,0.4373,0,0.5627,"AE"
"74",3,0,0.0011,0.004,0,0.2153,0.7847,"CE"
"75",3,0,0.0014,0.0038,0,0.2667,0.7333,"CE"
"76",8,0,0,0.0062,0,0,1,"E"
"77",3,0,0.0024,0.0038,0,0.3849,0.6151,"CE"
"78",3,0,0.0016,0.0043,0,0.2665,0.7335,"CE"
"79",3,0,0.0013,0.0039,0,0.2456,0.7544,"CE"
"80",3,0,0.0013,0.004,0,0.2426,0.7574,"CE"
"81",3,0,0.0011,0.0036,0,0.239,0.761,"CE"
"82",3,0,0.0017,0.0043,0,0.2862,0.7138,"CE"
"83",3,0,0.0012,0.0039,0,0.2364,0.7636,"CE"
"84",3,0,0.0019,0.0043,0,0.3059,0.6941,"CE"
"85",3,0,0.0012,0.0038,0,0.2406,0.7594,"CE"
"86",3,0,0.0015,0.0037,0,0.2819,0.7181,"CE"
"87",4,0,0,0.0043,0,0,1,"E"
"88",4,0,0,0.0049,0,0,1,"E"
"89",3,0,0.0024,0.0031,0,0.4369,0.5631,"CE"
"90",3,0,0.0017,0.0042,0,0.2903,0.7097,"CE"
"91",3,0,0.0015,0.0044,0,0.2509,0.7491,"CE"
"92",2,0.0013,0,0.0037,0.2664,0,0.7336,"AE"
"93",3,0,0.0011,0.0037,0,0.2232,0.7768,"CE"
"94",3,0,9e-04,0.004,0,0.184,0.816,"CE"
"95",3,0,0.0015,0.004,0,0.2676,0.7324,"CE"
"96",2,0.0015,0,0.0035,0.3028,0,0.6972,"AE"
"97",3,0,0.002,0.0046,0,0.3046,0.6954,"CE"
"98",7,0,0.0017,0.0037,0,0.3172,0.6828,"DE"
"99",3,0,0.0017,0.0035,0,0.3295,0.6705,"CE"
"100",3,0,0.0016,0.0049,0,0.2437,0.7563,"CE"
"101",3,0,0.0011,0.0042,0,0.2062,0.7938,"CE"
"102",3,0,0.001,0.0041,0,0.1916,0.8084,"CE"
"103",3,0,0.0018,0.0036,0,0.3308,0.6692,"CE"
"104",3,0,0.0014,0.0045,0,0.2369,0.7631,"CE"
"105",3,0,0.0013,0.004,0,0.2535,0.7465,"CE"
"106",6,0.0014,0,0.0042,0.2503,0,0.7497,"AE"
"107",3,0,0.0012,0.0038,0,0.2385,0.7615,"CE"
"108",3,0,0.0021,0.0043,0,0.3247,0.6753,"CE"
"109",3,0,8e-04,0.0038,0,0.1746,0.8254,"CE"
"110",3,0,0.0019,0.0045,0,0.295,0.705,"CE"
"111",3,0,0.001,0.0041,0,0.1875,0.8125,"CE"
"112",3,0,9e-04,0.0034,0,0.2038,0.7962,"CE"
"113",3,0,0.002,0.0039,0,0.3426,0.6574,"CE"
"114",3,0,0.0016,0.0044,0,0.2642,0.7358,"CE"
"115",3,0,0.0012,0.0043,0,0.2252,0.7748,"CE"
"116",3,0,0.0012,0.0037,0,0.2506,0.7494,"CE"
"117",3,0,0.0022,0.0037,0,0.3755,0.6245,"CE"
"118",4,0,0,0.0043,0,0,1,"E"
"119",3,0,0.0013,0.0037,0,0.2569,0.7431,"CE"
