"","Mcode","A","A_D","E","SA","SD_SC","SE","M"
"1",2,0.0016,0,0.0039,0.2967,0,0.7033,"AE"
"2",3,0,0.0011,0.0038,0,0.2322,0.7678,"CE"
"3",4,0,0,0.0042,0,0,1,"E"
"4",2,0.0026,0,0.0018,0.5912,0,0.4088,"AE"
"5",3,0,0.0012,0.0022,0,0.3482,0.6518,"CE"
"6",7,0,0.001,0.0032,0,0.2348,0.7652,"DE"
"7",3,0,0.0014,0.0036,0,0.279,0.721,"CE"
"8",2,0.0017,0,0.0029,0.3665,0,0.6335,"AE"
"9",3,0,0.0018,0.0034,0,0.3397,0.6603,"CE"
"10",3,0,0.0016,0.0035,0,0.3092,0.6908,"CE"
"11",2,0.0022,0,0.0018,0.5448,0,0.4552,"AE"
"12",2,0.002,0,0.0027,0.4338,0,0.5662,"AE"
"13",2,0.0016,0,0.0026,0.3795,0,0.6205,"AE"
"14",6,0.0017,0,0.0031,0.3575,0,0.6425,"AE"
"15",4,0,0,0.004,0,0,1,"E"
"16",3,0,0.0015,0.0035,0,0.301,0.699,"CE"
"17",3,0,0.0016,0.0033,0,0.3281,0.6719,"CE"
"18",3,0,0.0014,0.0035,0,0.2836,0.7164,"CE"
"19",8,0,0,0.0035,0,0,1,"E"
"20",3,0,0.0017,0.0034,0,0.3331,0.6669,"CE"
"21",2,0.002,0,0.003,0.3983,0,0.6017,"AE"
"22",3,0,0.001,0.0039,0,0.2026,0.7974,"CE"
"23",3,0,0.0015,0.0041,0,0.2732,0.7268,"CE"
"24",3,0,0.0015,0.0036,0,0.2987,0.7013,"CE"
"25",6,0.0022,0,0.0025,0.465,0,0.535,"AE"
"26",2,0.0027,0,0.0022,0.5474,0,0.4526,"AE"
"27",2,0.0016,0,0.0032,0.3283,0,0.6717,"AE"
"28",3,0,0.0015,0.0031,0,0.3268,0.6732,"CE"
"29",2,0.0019,0,0.0026,0.4217,0,0.5783,"AE"
"30",3,0,0.002,0.0029,0,0.4111,0.5889,"CE"
"31",3,0,0.0015,0.0029,0,0.3492,0.6508,"CE"
"32",2,0.002,0,0.0025,0.4535,0,0.5465,"AE"
