"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"1",0.21,0.13,0.12589,0.20441,0.07851
"2",0.21,0.13,0.02197,0.24417,0.2222
"3",0.21,0.13,0.15582,0.16851,0.01269
"4",0.21,0.13,0.34702,0.03571,-0.3113
"5",0.21,0.13,0.24153,0.11522,-0.12631
"6",0.21,0.13,0.25055,0.09377,-0.15678
"7",0.21,0.13,0.23557,0.11701,-0.11857
"8",0.21,0.13,0.24478,0.11566,-0.12912
"9",0.21,0.13,0.1394,0.11257,-0.02683
"10",0.21,0.13,0.26191,0.09945,-0.16247
"11",0.21,0.13,0.272,0.1071,-0.1649
"12",0.21,0.13,0.155,0.18006,0.02506
"13",0.21,0.13,0.14504,0.16424,0.0192
"14",0.21,0.13,0.30011,0.03002,-0.27009
"15",0.21,0.13,0.38996,0,-0.38996
"16",0.21,0.13,0.28435,0.07412,-0.21022
"17",0.21,0.13,0.14492,0.17653,0.03161
"18",0.21,0.13,0.24576,0.09668,-0.14908
"19",0.21,0.13,0.10979,0.20724,0.09744
"20",0.21,0.13,0.20358,0.13654,-0.06704
"21",0.21,0.13,0.23076,0.11753,-0.11324
"22",0.21,0.13,0.27608,0.08687,-0.18921
"23",0.21,0.13,0.12305,0.20348,0.08043
"24",0.21,0.13,0.24116,0.10297,-0.13819
"25",0.21,0.13,0.15222,0.19596,0.04374
"26",0.21,0.13,0.16714,0.15764,-0.0095
"27",0.21,0.13,0.32817,0.03551,-0.29266
"28",0.21,0.13,0.28298,0.07686,-0.20612
"29",0.21,0.13,0.27445,0.09069,-0.18376
"30",0.21,0.13,0.34765,0.00704,-0.34061
"31",0.21,0.13,0.32342,0.07446,-0.24896
"32",0.21,0.13,0.30151,0.07252,-0.22899
"33",0.21,0.13,0.04188,0.22254,0.18067
"34",0.21,0.13,0.17598,0.15117,-0.02481
"35",0.21,0.13,0.19112,0.13829,-0.05283
"36",0.21,0.13,0.10343,0.20842,0.10499
"37",0.21,0.13,0.30084,0.0864,-0.21444
"38",0.21,0.13,0.29324,0.07994,-0.21329
"39",0.21,0.13,0.21759,0.12529,-0.0923
"40",0.21,0.13,0.1622,0.16841,0.00621
"41",0.21,0.13,0.1612,0.16568,0.00447
"42",0.21,0.13,0.34304,0.00368,-0.33936
"43",0.21,0.13,0.1823,0.1478,-0.0345
"44",0.21,0.13,0.06385,0.23378,0.16993
"45",0.21,0.13,0.09626,0.21722,0.12096
"46",0.21,0.13,0.10806,0.19263,0.08457
"47",0.21,0.13,0.21214,0.14164,-0.07049
"48",0.21,0.13,0.20467,0.12727,-0.0774
"49",0.21,0.13,0.24279,0.09993,-0.14286
"50",0.21,0.13,0.22435,0.13657,-0.08778
"51",0.21,0.13,0.14552,0.18079,0.03527
"52",0.21,0.13,0.33716,0.02686,-0.3103
"53",0.21,0.13,0.23175,0.10572,-0.12603
"54",0.21,0.13,0.23796,0.08386,-0.1541
"55",0.21,0.13,0.2587,0.11349,-0.14521
"56",0.21,0.13,0.16336,0.18215,0.0188
"57",0.21,0.13,0.12319,0.2211,0.09791
"58",0.21,0.13,0.2437,0.12306,-0.12065
"59",0.21,0.13,0.2169,0.09822,-0.11868
"60",0.21,0.13,0.35725,0,-0.35725
"61",0.21,0.13,0.32726,0.03155,-0.29571
"62",0.21,0.13,0.13592,0.18933,0.05341
"63",0.21,0.13,0.0282,0.27625,0.24805
"64",0.21,0.13,0.24984,0.09896,-0.15087
"65",0.21,0.13,0.24291,0.07431,-0.1686
"66",0.21,0.13,0.25755,0.07968,-0.17787
"67",0.21,0.13,0.3324,0,-0.3324
"68",0.21,0.13,0.15928,0.16821,0.00893
"69",0.21,0.13,0.17734,0.16381,-0.01353
"70",0.21,0.13,0.06372,0.23795,0.17423
"71",0.21,0.13,0.24702,0.13928,-0.10774
