"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"1",0.09,0.11,0,0.12511,0.12511
"2",0.09,0.11,0,0.0926,0.0926
"3",0.09,0.11,0,0.37456,0.37456
"4",0.09,0.11,0.27121,0.01459,-0.25662
"5",0.09,0.11,0.23012,0,-0.23012
"6",0.09,0.11,0,0.48871,0.48871
"7",0.09,0.11,0.0231,0.22177,0.19867
"8",0.09,0.11,0,0.1976,0.1976
"9",0.09,0.11,0.30929,0,-0.30929
"10",0.09,0.11,0.15815,0.02173,-0.13642
"11",0.09,0.11,0,0.22357,0.22357
"12",0.09,0.11,0.08738,0.28319,0.19581
"13",0.09,0.11,0.38014,0.04778,-0.33236
"14",0.09,0.11,0.24645,0,-0.24645
"15",0.09,0.11,0,0.14147,0.14147
"16",0.09,0.11,0,0.04028,0.04028
"17",0.09,0.11,0,0.18052,0.18052
"18",0.09,0.11,0.15997,0,-0.15997
"19",0.09,0.11,0.37429,0,-0.37429
"20",0.09,0.11,0,0.32505,0.32505
"21",0.09,0.11,0.02016,0.23131,0.21115
"22",0.09,0.11,0,0.25376,0.25376
"23",0.09,0.11,0,0.25262,0.25262
"24",0.09,0.11,0.03374,0.21022,0.17648
"25",0.09,0.11,0,0.09616,0.09616
"26",0.09,0.11,0.10134,0,-0.10134
"27",0.09,0.11,0,0.1712,0.1712
"28",0.09,0.11,0.14529,0.04259,-0.1027
"29",0.09,0.11,0.03508,0,-0.03508
"30",0.09,0.11,0.21934,0.08454,-0.1348
"31",0.09,0.11,0,0.3128,0.3128
"32",0.09,0.11,0,0.15362,0.15362
"33",0.09,0.11,0,0.09657,0.09657
"34",0.09,0.11,0,0.14691,0.14691
"35",0.09,0.11,0,0.1783,0.1783
"36",0.09,0.11,0.18056,0,-0.18056
"37",0.09,0.11,0,0.05451,0.05451
"38",0.09,0.11,0,0,0
"39",0.09,0.11,0.15622,0,-0.15622
"40",0.09,0.11,0.04218,0.07585,0.03367
"41",0.09,0.11,0,0.31949,0.31949
"42",0.09,0.11,0,0.08696,0.08696
"43",0.09,0.11,0.19789,0.10179,-0.0961
"44",0.09,0.11,0.51923,0,-0.51923
"45",0.09,0.11,0.09495,0,-0.09495
"46",0.09,0.11,0.26521,0,-0.26521
"47",0.09,0.11,0,0.11851,0.11851
"48",0.09,0.11,0,0.11079,0.11079
"49",0.09,0.11,0.17903,0,-0.17903
"50",0.09,0.11,0,0.20316,0.20316
"51",0.09,0.11,0,0.23175,0.23175
"52",0.09,0.11,0,0.23396,0.23396
"53",0.09,0.11,0.12265,0,-0.12265
"54",0.09,0.11,0.1087,0.03298,-0.07573
"55",0.09,0.11,0.11647,0.15773,0.04126
"56",0.09,0.11,0.34214,0,-0.34214
"57",0.09,0.11,0.2598,0,-0.2598
"58",0.09,0.11,0,0.18506,0.18506
"59",0.09,0.11,0,0.26612,0.26612
"60",0.09,0.11,0,0.09092,0.09092
"61",0.09,0.11,0.14258,0.10499,-0.03759
"62",0.09,0.11,0.29271,0,-0.29271
"63",0.09,0.11,0.1593,0.08446,-0.07484
"64",0.09,0.11,0,0.27662,0.27662
"65",0.09,0.11,0.18988,0,-0.18988
"66",0.09,0.11,0.23366,0.08077,-0.1529
"67",0.09,0.11,0,0,0
"68",0.09,0.11,0,0,0
"69",0.09,0.11,0,0.25854,0.25854
"70",0.09,0.11,0.0864,0.05434,-0.03206
"71",0.09,0.11,0,0.16822,0.16822
"72",0.09,0.11,0,0.19319,0.19319
"73",0.09,0.11,0,0.03324,0.03324
"74",0.09,0.11,0.17857,0.09577,-0.0828
"75",0.09,0.11,0,0,0
