"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"1",0,0.26,0.24247,0.07483,-0.16764
"2",0,0.26,0.52516,0,-0.52516
"3",0,0.26,0.03287,0.2474,0.21453
"4",0,0.26,0,0.26406,0.26406
"5",0,0.26,0.39065,0,-0.39065
"6",0,0.26,0,0.35813,0.35813
"7",0,0.26,0,0.2594,0.2594
"8",0,0.26,0.25657,0.11924,-0.13734
"9",0,0.26,0.38103,0.1314,-0.24963
"10",0,0.26,0,0.24468,0.24468
"11",0,0.26,0,0.11641,0.11641
"12",0,0.26,0,0.28413,0.28413
"13",0,0.26,0,0.1934,0.1934
"14",0,0.26,0,0.18228,0.18228
"15",0,0.26,0.06459,0.13285,0.06825
"16",0,0.26,0,0.3383,0.3383
"17",0,0.26,0,0.33804,0.33804
"18",0,0.26,0.10876,0.02793,-0.08082
"19",0,0.26,0,0.21954,0.21954
"20",0,0.26,0.05961,0.13626,0.07665
"21",0,0.26,0,0.10303,0.10303
"22",0,0.26,0.2928,0,-0.2928
"23",0,0.26,0.42256,0.00442,-0.41814
"24",0,0.26,0,0.35159,0.35159
"25",0,0.26,0,0.37559,0.37559
"26",0,0.26,0.18495,0,-0.18495
"27",0,0.26,0,0.02416,0.02416
"28",0,0.26,0,0.00544,0.00544
"29",0,0.26,0,0.24562,0.24562
"30",0,0.26,0,0.26347,0.26347
"31",0,0.26,0.54641,0,-0.54641
"32",0,0.26,0.16616,0.23479,0.06863
"33",0,0.26,0,0.30979,0.30979
"34",0,0.26,0,0.19679,0.19679
"35",0,0.26,0.03503,0.16252,0.12749
"36",0,0.26,0,0.15095,0.15095
"37",0,0.26,0,0.27221,0.27221
"38",0,0.26,0.27442,0.04914,-0.22529
"39",0,0.26,0.15086,0.09001,-0.06085
"40",0,0.26,0,0.25001,0.25001
"41",0,0.26,0.18722,0,-0.18722
"42",0,0.26,0.29254,0,-0.29254
"43",0,0.26,0.21757,0,-0.21757
"44",0,0.26,0.28045,0,-0.28045
"45",0,0.26,0.40536,0,-0.40536
"46",0,0.26,0.32233,0,-0.32233
"47",0,0.26,0,0.13988,0.13988
"48",0,0.26,0.05229,0.22846,0.17617
"49",0,0.26,0.06852,0.1597,0.09118
"50",0,0.26,0,0.50268,0.50268
"51",0,0.26,0.26601,0.08458,-0.18142
"52",0,0.26,0.02245,0.24671,0.22426
"53",0,0.26,0,0.34414,0.34414
"54",0,0.26,0,0.24225,0.24225
"55",0,0.26,0,0.35487,0.35487
"56",0,0.26,0.34634,0,-0.34634
"57",0,0.26,0.12916,0.22002,0.09087
"58",0,0.26,0,0.21386,0.21386
"59",0,0.26,0.26945,0,-0.26945
"60",0,0.26,0.07166,0.26411,0.19245
"61",0,0.26,0,0.09757,0.09757
"62",0,0.26,0,0.3652,0.3652
"63",0,0.26,0.26973,0,-0.26973
"64",0,0.26,0,0.251,0.251
"65",0,0.26,0.18672,0.10237,-0.08435
"66",0,0.26,0.10091,0.15373,0.05283
"67",0,0.26,0,0.15195,0.15195
"68",0,0.26,0,0.3403,0.3403
"69",0,0.26,0,0.11263,0.11263
"70",0,0.26,0.34567,0,-0.34567
"71",0,0.26,0,0.08754,0.08754
"72",0,0.26,0.13835,0.0942,-0.04416
"73",0,0.26,0,0.43441,0.43441
"74",0,0.26,0,0.37697,0.37697
"75",0,0.26,0.30768,0,-0.30768
"76",0,0.26,0,0.16092,0.16092
"77",0,0.26,0.21317,0.23138,0.01821
"78",0,0.26,0.07421,0,-0.07421
"79",0,0.26,0.25516,0,-0.25516
"80",0,0.26,0,0.1746,0.1746
"81",0,0.26,0,0.09582,0.09582
"82",0,0.26,0,0.23676,0.23676
