"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"1",0.46,0.05,0.57487,0,-0.57487
"2",0.46,0.05,0.49941,0.04854,-0.45088
"3",0.46,0.05,0.36811,0,-0.36811
"4",0.46,0.05,0,0.49745,0.49745
"5",0.46,0.05,0.00517,0.33996,0.33479
"6",0.46,0.05,0.5976,0,-0.5976
"7",0.46,0.05,0.25266,0.25259,-6e-05
"8",0.46,0.05,0.42578,0,-0.42578
"9",0.46,0.05,0.15284,0.37542,0.22258
"10",0.46,0.05,0.36155,0.05814,-0.30341
"11",0.46,0.05,0.40493,0.11187,-0.29306
"12",0.46,0.05,0.24125,0.17798,-0.06327
"13",0.46,0.05,0,0.45143,0.45143
"14",0.46,0.05,0.36286,0,-0.36286
"15",0.46,0.05,0.10535,0.28628,0.18093
"16",0.46,0.05,0.55299,0,-0.55299
"17",0.46,0.05,0.64323,0,-0.64323
"18",0.46,0.05,0.19747,0.21593,0.01847
"19",0.46,0.05,0.35114,0.05098,-0.30017
"20",0.46,0.05,0.62142,0,-0.62142
"21",0.46,0.05,0.50485,0,-0.50485
"22",0.46,0.05,0.28594,0.23995,-0.04599
"23",0.46,0.05,0.58836,0,-0.58836
"24",0.46,0.05,0.49522,0.0924,-0.40282
"25",0.46,0.05,0.29948,0.33755,0.03807
"26",0.46,0.05,0.4246,0.07448,-0.35013
"27",0.46,0.05,0.61929,0,-0.61929
"28",0.46,0.05,0.4705,0,-0.4705
"29",0.46,0.05,0.51852,0,-0.51852
"30",0.46,0.05,0.54381,0.04589,-0.49791
"31",0.46,0.05,0.50685,0,-0.50685
"32",0.46,0.05,0.3305,0,-0.3305
"33",0.46,0.05,0,0.49798,0.49798
"34",0.46,0.05,0.41617,0.2453,-0.17088
"35",0.46,0.05,0.28058,0.26098,-0.0196
"36",0.46,0.05,0.23458,0.24443,0.00985
"37",0.46,0.05,0.47397,0,-0.47397
"38",0.46,0.05,0.57695,0.09511,-0.48184
"39",0.46,0.05,0.46608,0.08964,-0.37644
"40",0.46,0.05,0.5487,0,-0.5487
"41",0.46,0.05,0.65166,0,-0.65166
"42",0.46,0.05,0.46429,0,-0.46429
"43",0.46,0.05,0.60494,0,-0.60494
"44",0.46,0.05,0.34769,0.28125,-0.06644
"45",0.46,0.05,0.48845,0.04308,-0.44536
"46",0.46,0.05,0.38969,0.1882,-0.20149
"47",0.46,0.05,0.50196,0,-0.50196
"48",0.46,0.05,0.02983,0.23617,0.20635
"49",0.46,0.05,0.23939,0.3289,0.08951
"50",0.46,0.05,0.51317,0.0432,-0.46997
"51",0.46,0.05,0.65604,0,-0.65604
"52",0.46,0.05,0.44138,0,-0.44138
"53",0.46,0.05,0.42491,0,-0.42491
"54",0.46,0.05,0.6594,0,-0.6594
"55",0.46,0.05,0.6032,0,-0.6032
"56",0.46,0.05,0.3637,0,-0.3637
"57",0.46,0.05,0.62003,0,-0.62003
"58",0.46,0.05,0.40142,0.12779,-0.27363
"59",0.46,0.05,0.09748,0.42679,0.32931
"60",0.46,0.05,0.40215,0.02017,-0.38198
"61",0.46,0.05,0.29403,0.06928,-0.22475
"62",0.46,0.05,0.23702,0.25353,0.01651
"63",0.46,0.05,0.4468,0,-0.4468
"64",0.46,0.05,0.39883,0.09509,-0.30374
"65",0.46,0.05,0.52957,0.08236,-0.44721
"66",0.46,0.05,0.60149,0,-0.60149
"67",0.46,0.05,0.57305,0.09361,-0.47943
"68",0.46,0.05,0.35522,0.21024,-0.14498
"69",0.46,0.05,0.46749,0.00535,-0.46214
"70",0.46,0.05,0.41871,0.16507,-0.25364
"71",0.46,0.05,0.42836,0,-0.42836
"72",0.46,0.05,0.54899,0,-0.54899
"73",0.46,0.05,0,0.29689,0.29689
"74",0.46,0.05,0.26993,0.0991,-0.17083
"75",0.46,0.05,0.55705,0,-0.55705
"76",0.46,0.05,0.57743,0.03199,-0.54543
"77",0.46,0.05,0.51286,0.08398,-0.42888
"78",0.46,0.05,0.51799,0,-0.51799
"79",0.46,0.05,0.45822,0,-0.45822
"80",0.46,0.05,0.22884,0.15434,-0.0745
"81",0.46,0.05,0,0.38018,0.38018
"82",0.46,0.05,0.38834,0,-0.38834
"83",0.46,0.05,0.371,0.18367,-0.18733
"84",0.46,0.05,0.44847,0,-0.44847
"85",0.46,0.05,0.42442,0.16637,-0.25805
"86",0.46,0.05,0.59838,0,-0.59838
"87",0.46,0.05,0.6151,0.0319,-0.5832
"88",0.46,0.05,0.44115,0,-0.44115
"89",0.46,0.05,0.35309,0.18975,-0.16334
"90",0.46,0.05,0.20468,0.33082,0.12614
"91",0.46,0.05,0.25291,0.17655,-0.07636
"92",0.46,0.05,0.31366,0.10691,-0.20675
"93",0.46,0.05,0,0.51756,0.51756
"94",0.46,0.05,0.38867,0,-0.38867
"95",0.46,0.05,0.58663,0,-0.58663
"96",0.46,0.05,0.53901,0,-0.53901
"97",0.46,0.05,0.05151,0.38127,0.32976
