"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"1",0.24,0,0.21794,0,-0.21794
"2",0.24,0,0.20508,0.05114,-0.15393
"3",0.24,0,0.25423,0,-0.25423
"4",0.24,0,0.11197,0.05352,-0.05845
"5",0.24,0,0.27317,0,-0.27317
"6",0.24,0,0.256,0,-0.256
"7",0.24,0,0.21553,0.02844,-0.18708
"8",0.24,0,0.15277,0.06158,-0.09119
"9",0.24,0,0.11694,0.09557,-0.02137
"10",0.24,0,0.16285,0.05917,-0.10368
"11",0.24,0,0.27419,0.00021,-0.27398
"12",0.24,0,0.19352,0.07442,-0.1191
"13",0.24,0,0.08908,0.16922,0.08014
"14",0.24,0,0.22262,0.00049,-0.22213
"15",0.24,0,0.21012,0,-0.21012
"16",0.24,0,0.17285,0.07078,-0.10207
"17",0.24,0,0.25366,0,-0.25366
"18",0.24,0,0.29374,0,-0.29374
"19",0.24,0,0.27943,0,-0.27943
"20",0.24,0,0.27199,0,-0.27199
"21",0.24,0,0.16912,0.08298,-0.08615
"22",0.24,0,0.22157,0,-0.22157
"23",0.24,0,0.23044,0.03596,-0.19448
"24",0.24,0,0.25803,0,-0.25803
"25",0.24,0,0.16337,0.03474,-0.12863
"26",0.24,0,0.23689,0.02856,-0.20833
"27",0.24,0,0.26793,0,-0.26793
"28",0.24,0,0.24355,0,-0.24355
"29",0.24,0,0.24153,1e-05,-0.24151
"30",0.24,0,0.22047,0.0304,-0.19007
"31",0.24,0,0.23294,0.01417,-0.21877
"32",0.24,0,0.17661,0.06393,-0.11267
"33",0.24,0,0.23561,0.02431,-0.2113
"34",0.24,0,0.23982,0,-0.23982
"35",0.24,0,0.25867,0,-0.25867
"36",0.24,0,0.23473,0.0123,-0.22242
"37",0.24,0,0.21521,0.03022,-0.18499
"38",0.24,0,0.23091,0,-0.23091
"39",0.24,0,0.26543,0,-0.26543
"40",0.24,0,0.25182,0,-0.25182
"41",0.24,0,0.22233,0,-0.22233
"42",0.24,0,0.12078,0.12476,0.00398
"43",0.24,0,0.26726,0,-0.26726
"44",0.24,0,0.23819,0,-0.23819
"45",0.24,0,0.16706,0.0506,-0.11646
"46",0.24,0,0.29592,0,-0.29592
"47",0.24,0,0.21086,0,-0.21086
"48",0.24,0,0.21814,0,-0.21814
"49",0.24,0,0.26081,0,-0.26081
"50",0.24,0,0.23122,0,-0.23122
"51",0.24,0,0.25069,0.00123,-0.24946
"52",0.24,0,0.24909,0,-0.24909
"53",0.24,0,0.2597,0,-0.2597
"54",0.24,0,0.1773,0.02685,-0.15044
"55",0.24,0,0,0.17469,0.17469
"56",0.24,0,0.18165,0.04906,-0.1326
"57",0.24,0,0.26407,0,-0.26407
"58",0.24,0,0.22976,0,-0.22976
"59",0.24,0,0.1777,0.04957,-0.12813
"60",0.24,0,0.25221,0.00221,-0.25
"61",0.24,0,0.22099,0,-0.22099
"62",0.24,0,0.21107,0.02439,-0.18669
"63",0.24,0,0.01014,0.1789,0.16876
"64",0.24,0,0.27099,0,-0.27099
"65",0.24,0,0.1847,0.07057,-0.11413
"66",0.24,0,0.23486,0,-0.23486
"67",0.24,0,0.23376,0.01178,-0.22198
"68",0.24,0,0.2727,0,-0.2727
"69",0.24,0,0.07696,0.14425,0.06729
"70",0.24,0,0.05561,0.14554,0.08993
"71",0.24,0,0.24741,0.03638,-0.21104
"72",0.24,0,0.14426,0.06828,-0.07598
"73",0.24,0,0.21815,0.02592,-0.19223
"74",0.24,0,0.16497,0.0455,-0.11948
"75",0.24,0,0.22969,0,-0.22969
"76",0.24,0,0.2262,0.02697,-0.19923
"77",0.24,0,0.19541,0.02289,-0.17252
"78",0.24,0,0.2031,0,-0.2031
"79",0.24,0,0.23618,0,-0.23618
"80",0.24,0,0.21794,0.03763,-0.18031
"81",0.24,0,0.2518,0.04314,-0.20866
"82",0.24,0,0.21495,0.01524,-0.19971
"83",0.24,0,0.26689,0,-0.26689
"84",0.24,0,0.18816,0.06161,-0.12655
"85",0.24,0,0.18058,0.04926,-0.13132
"86",0.24,0,0.18863,0,-0.18863
"87",0.24,0,0.26391,0,-0.26391
"88",0.24,0,0.22499,0,-0.22499
"89",0.24,0,0.2017,0.05418,-0.14751
"90",0.24,0,0.2211,0,-0.2211
"91",0.24,0,0.2319,0.01767,-0.21424
