"","Simulated_a","Simulated_c","Estimated_a","Estimated_c","Difference"
"1",0.31,0,0.22312,0.074,-0.14912
"2",0.31,0,0.27218,0.0381,-0.23408
"3",0.31,0,0.37846,0,-0.37846
"4",0.31,0,0.31532,0,-0.31532
"5",0.31,0,0.26597,0.02435,-0.24162
"6",0.31,0,0.24916,0.06964,-0.17952
"7",0.31,0,0.32269,0,-0.32269
"8",0.31,0,0.29311,0,-0.29311
"9",0.31,0,0.29028,0,-0.29028
"10",0.31,0,0.35041,0,-0.35041
"11",0.31,0,0.29083,0,-0.29083
"12",0.31,0,0.29935,0,-0.29935
"13",0.31,0,0.34069,0,-0.34069
"14",0.31,0,0.19886,0.06232,-0.13653
"15",0.31,0,0.31831,0.00262,-0.31569
"16",0.31,0,0.30763,0,-0.30763
"17",0.31,0,0.22825,0.06587,-0.16238
"18",0.31,0,0.33246,0.03261,-0.29985
"19",0.31,0,0.21582,0.05708,-0.15874
"20",0.31,0,0.28281,0,-0.28281
"21",0.31,0,0.34562,0,-0.34562
"22",0.31,0,0.31104,0,-0.31104
"23",0.31,0,0.29548,0,-0.29548
"24",0.31,0,0.30331,0,-0.30331
"25",0.31,0,0.29342,0,-0.29342
"26",0.31,0,0.32356,0.01491,-0.30865
"27",0.31,0,0.3579,0,-0.3579
"28",0.31,0,0.3148,0,-0.3148
"29",0.31,0,0.31249,0.00619,-0.3063
"30",0.31,0,0.2906,0,-0.2906
"31",0.31,0,0.27843,0,-0.27843
"32",0.31,0,0.28429,0.02988,-0.25441
"33",0.31,0,0.29691,0,-0.29691
"34",0.31,0,0.24627,0.07256,-0.17371
"35",0.31,0,0.31093,0,-0.31093
"36",0.31,0,0.3188,0,-0.3188
"37",0.31,0,0.32666,0,-0.32666
"38",0.31,0,0.30538,0.00128,-0.3041
"39",0.31,0,0.33405,0,-0.33405
"40",0.31,0,0.33,0.00091,-0.32908
"41",0.31,0,0.18073,0.09288,-0.08785
"42",0.31,0,0.29776,0.01207,-0.2857
"43",0.31,0,0.32747,0,-0.32747
"44",0.31,0,0.27568,0,-0.27568
"45",0.31,0,0.30672,0,-0.30672
"46",0.31,0,0.28194,0,-0.28194
"47",0.31,0,0.33345,0,-0.33345
"48",0.31,0,0.26865,0.03145,-0.2372
"49",0.31,0,0.33699,0.01815,-0.31883
"50",0.31,0,0.09993,0.14982,0.04988
"51",0.31,0,0.30856,0,-0.30856
"52",0.31,0,0.30988,0,-0.30988
"53",0.31,0,0.28003,0,-0.28003
"54",0.31,0,0.29474,0.03407,-0.26066
"55",0.31,0,0.24715,0.06095,-0.1862
"56",0.31,0,0.23139,0.06289,-0.1685
"57",0.31,0,0.30164,0,-0.30164
"58",0.31,0,0.28278,0,-0.28278
"59",0.31,0,0.27644,0.05759,-0.21885
"60",0.31,0,0.27509,0,-0.27509
"61",0.31,0,0.29225,0,-0.29225
"62",0.31,0,0.32414,0,-0.32414
"63",0.31,0,0.30384,0.0053,-0.29854
"64",0.31,0,0.25051,0,-0.25051
"65",0.31,0,0.28041,0.03676,-0.24365
"66",0.31,0,0.14491,0.15679,0.01188
"67",0.31,0,0.32238,0,-0.32238
"68",0.31,0,0.2001,0.10239,-0.09771
"69",0.31,0,0.32688,0,-0.32688
"70",0.31,0,0.18591,0.08338,-0.10254
"71",0.31,0,0.13754,0.10412,-0.03342
"72",0.31,0,0.28982,0,-0.28982
"73",0.31,0,0.24921,0.05318,-0.19603
"74",0.31,0,0.26217,0.03408,-0.22809
"75",0.31,0,0.22206,0.09783,-0.12423
"76",0.31,0,0.362,0,-0.362
"77",0.31,0,0.29798,0,-0.29798
"78",0.31,0,0.30738,0.01613,-0.29125
"79",0.31,0,0.24367,0.01634,-0.22733
"80",0.31,0,0.31769,0,-0.31769
"81",0.31,0,0.24767,0.04761,-0.20005
"82",0.31,0,0.25837,0.05606,-0.20231
"83",0.31,0,0.17544,0.09458,-0.08085
"84",0.31,0,0.288,0,-0.288
"85",0.31,0,0.20809,0.0837,-0.12439
