%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at renchunshan (       51.0000000000).1-Dec-2018 11:38:257.374255e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   15   1   1    7      6      2.498399 1.715673   4.730313 0.349527   5.196676 2.802016   6  
   2  4   15   2   0    5      6      8.494590 1.665780  10.676511 1.239550  12.025676 1.969158   6  
   3  1   15   1   1    7      7     14.490768 0.982849  15.989800 0.900883  17.005841 2.985134   6  
   4  4   15   2   0    3      3     20.486950 2.215394  23.218546 0.160938  23.485048 2.502060   6  
   5  2   15   2   1    8      3     26.499799 1.415886  28.431905 0.486963  29.031509 2.968396   6  
   6  4   15   2   0    6      4     32.512627 1.932317  34.961065 0.919147  35.993771 2.019187   6  
   7  2   15   2   1    8      4     38.508813 1.232746  40.257711 0.806140  41.173793 2.835354   6  
   8  3   15   3   1    7      6     44.504995 1.349197  46.370492 0.000776  46.487083 3.518247   6  
   9  3   15   3   1    8      6     50.501185 1.432562  52.449911 0.001764  52.566548 3.434960   6  
  10  1   15   1   1    8      6     56.497369 1.049528  58.063038 0.476874  58.646021 3.351671   6  
  11  4   15   1   0    8      5     62.510206 1.182774  64.209138 0.000730  64.325733 3.684802   6  
  12  1   15   1   1    8      6     68.506413 1.282889  70.305264 0.000709  70.421845 3.584882   6  
  13  4   15   3   0    8      6     74.502580 1.066107  76.084903 0.480877  76.684533 3.318343   6  
  14  2   15   2   1    4      3     80.498764 1.748983  82.763974 0.848251  83.730050 2.268973   6  
  15  3   15   3   1    8      5     86.494965 0.932674  87.944022 0.001025  88.060620 3.934546   6  
  16  2   15   2   1    8      6     92.491135 1.199383  94.206699 0.399625  94.723049 3.268253   6  
  17  3   15   3   1    8      6     98.487323 1.016032 100.019686 0.243754 100.369461 3.617965   6  
  18  2   15   2   1    8      6    104.516832 1.049373 106.082484 0.238884 106.432275 3.584875   6  
  19  1   15   1   1    8      6    110.513011 0.766127 111.795517 0.036074 111.945442 4.067895   6  
  20  4   15   2   0    8      5    116.509192 1.066007 118.091515 0.146568 118.358007 3.651510   6  
  21  2   15   2   1    8      6    122.505357 1.049431 124.071063 0.131713 124.320880 3.684818   6  
  22  3   15   3   1    7      7    128.501564 1.182729 130.200482 0.000750 130.317081 3.684809   6  
  23  4   15   2   0    8      3    134.497731 1.582415 136.596403 0.199557 136.912873 3.085192   6  
  24  1   15   1   1    8      7    140.493927 0.766145 141.776449 0.440925 142.326100 3.668164   6  
  25  1   15   1   1    8      7    146.506757 0.916250 147.939204 0.894800 148.955227 3.051853   6  
  26  4   15   2   0    8      3    152.502949 1.149483 154.168562 0.033196 154.318470 3.684753   6  
  27  3   15   3   1    6      6    158.499140 1.749220 160.764371 0.798291 161.680459 2.318892   6  
  28  4   15   1   0    7      6    164.495336 1.299244 166.310838 0.000657 166.427431 3.568046   6  
  29  3   15   3   1    8      7    170.508167 0.932754 171.957237 0.206278 172.273725 3.734783   6  
  30  3   15   3   1    8      7    176.504341 1.166002 178.186619 0.000818 178.303214 3.701467   6  
  31  2   15   2   1    7      5    182.500543 1.199337 184.216114 0.000731 184.332721 3.668133   6  
  32  3   15   3   1    8      7    188.513383 1.115938 190.145682 0.000711 190.262240 3.751467   6  
  33  1   15   1   1    8      7    194.509556 1.099331 196.125200 0.153813 196.391707 3.618184   6  
  34  4   15   2   0    8      4    200.505756 1.049363 202.071414 0.131287 202.321271 3.684797   6  
  35  1   15   1   1    8      7    206.501929 0.882773 207.901042 0.174474 208.184199 3.818060   6  
  36  2   15   2   1    8      4    212.498113 1.249374 214.263660 0.012300 214.396931 3.601512   6  
  37  2   15   2   1    3      4    218.494294 1.765691 220.776186 0.627929 221.509071 2.485540   6  
  38  1   15   1   1    8      7    224.490482 0.783011 225.789655 0.260710 226.156105 3.834626   6  
  39  2   15   2   1    8      6    230.503326 0.966340 231.985714 0.000929 232.102328 3.901202   6  
  40  4   15   1   0    6      5    236.499525 1.299331 238.315027 0.065711 238.498239 3.501434   6  
  41  3   15   3   1    6      7    242.495696 1.748818 244.760921 0.029777 244.910828 3.084974   6  
  42  2   15   2   1    8      6    248.508538 0.799606 249.824367 0.000696 249.940954 4.067900   6  
  43  4   15   2   0    5      7    254.504737 1.515751 256.536755 0.865135 257.519477 2.485564   6  
  44  3   15   3   1    7      3    260.500893 1.682350 262.699518 0.215309 263.032637 2.968591   6  
  45  2   15   2   1    8      4    266.497074 0.966076 267.979473 0.091591 268.179372 3.818052   6  
  46  1   15   1   1    8      7    272.509926 1.116111 274.142235 0.285557 274.541978 3.468282   6  
  47  1   15   1   1    7      7    278.506111 1.066207 280.088460 0.015493 280.221701 3.784735   6  
  48  4   15   2   0    7      6    284.502289 1.465861 286.484377 0.000672 286.600968 3.401663   6  
  49  2   15   2   1    8      5    290.498498 0.849485 291.864295 0.000637 291.980890 4.017904   6  
  50  3   15   2   0    8      6    296.494666 0.932765 297.943756 0.143811 298.193601 3.801330   6  
