%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at renchunshan (       51.0000000000).1-Dec-2018 12:34:497.374255e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   13   3   1    8    2.498516 1.382866   4.014236 0.419078   4.547214 3.451620   6  
   2  1   13   1   1    8    8.494699 0.766641   9.394104 0.530182  10.043709 3.951289   6  
   3  1   13   1   1    8   14.490899 0.799921  15.406975 0.360228  15.873346 4.117820   6  
   4  2   13   2   1    8   20.503749 1.049638  21.702982 0.275684  22.086063 3.917920   6  
   5  2   13   2   1    8   26.499924 1.382943  28.032285 0.181391  28.332083 3.668061   6  
   6  2   13   2   1    8   32.496111 0.916309  33.545439 0.198129  33.861899 4.134405   6  
   7  1   13   1   1    8   38.492285 0.783278  39.391710 0.732638  40.241164 3.751305   6  
   8  1   13   1   1    8   44.488468 0.999684  45.621082 1.113362  46.853644 3.134992   6  
   9  1   13   1   1    8   50.501327 1.399409  52.066836 0.385032  52.566666 3.434785   6  
  10  4   13   2   0    8   56.497500 1.416072  58.096497 0.393456  58.596171 3.401438   6  
  11  2   13   2   1    8   62.510328 1.332822  64.009369 0.458295  64.575690 3.434965   6  
  12  3   13   3   1    8   68.506516 1.499444  70.188603 0.255834  70.555221 3.451630   6  
  13  4   13   4   1    8   74.502724 1.699333  76.384834 0.441248  76.934503 3.068540   6  
  14  2   13   2   1    8   80.515541 0.999742  81.681492 0.478492  82.281092 3.734774   6  
  15  4   13  -1   0    3   86.511732 0.000000  89.026845 0.479056  89.626411 2.385637   6  
  16  3   13   3   1    8   92.507910 1.032853  93.656977 0.150756  93.923684 4.084539   6  
  17  2   13   1   0    8   98.504088 0.833167  99.470143 1.145653 100.736042 3.268396   6  
  18  4   13   4   1    8  104.500279 1.716091 106.399101 0.955290 107.465088 2.535520   6  
  19  2   13   2   1    8  110.513122 1.133425 111.828739 0.899040 112.844988 3.168456   6  
  20  4   13   2   0   -1  116.509314 1.949213 118.591326 0.000000 120.589983 1.419657   6  
  21  4   13   4   1    7  122.505493 1.832528 124.487577 0.620045 125.220429 2.785398   6  
  22  3   13   3   1    8  128.501685 1.449517 130.100532 0.398026 130.617004 3.385004   6  
  23  2   13   2   1    7  134.497875 1.582573 136.196794 0.425452 136.729779 3.268414   6  
  24  1   13   1   1    8  140.494034 0.816838 141.426789 0.189754 141.726599 4.267776   6  
  25  3   13   3   1    7  146.506892 1.865870 148.505638 0.893661 149.504992 2.502232   6  
  26  4   13   1   0    8  152.503092 1.899172 154.535121 0.560823 155.201359 2.802056   6  
  27  1   13   1   1    8  158.499271 1.083107 159.731835 0.150066 159.998337 4.001252   6  
  28  1   13   1   1    8  164.495447 1.049736 165.711354 0.188289 166.011157 3.984594   6  
  29  1   13   1   1    8  170.491633 1.299575 171.974027 0.474251 172.556993 3.434921   6  
  30  4   13   4   1    8  176.504490 2.248955 178.869423 0.302635 179.286013 2.718731   6  
  31  4   13   4   1    5  182.500679 1.882500 184.499397 1.260609 185.865197 2.135710   6  
  32  3   13   3   1    8  188.496846 1.299617 189.912606 0.547113 190.578849 3.418225   6  
  33  1   13   1   1    7  194.493034 1.049659 195.725583 1.030251 196.874854 3.118383   6  
  34  2   13   2   1    8  200.489228 1.166371 201.771546 0.739491 202.621200 3.368187   6  
  35  4   13   4   1    7  206.502053 1.349582 208.017772 0.765255 208.900525 3.101686   6  
  36  1   13   1   1    8  212.498247 0.899926 213.547587 0.430327 214.097224 3.901152   6  
  37  1   13   1   1    7  218.494424 0.766387 219.410519 0.723908 220.243316 3.751213   6  
  38  2   13   2   1    8  224.507262 1.482565 226.106241 0.585845 226.805810 3.201779   6  
  39  4   13   1   0    7  230.503440 1.316292 232.019158 0.694706 232.835296 3.168557   6  
  40  1   13   1   1    7  236.516286 1.382858 238.081869 0.873238 239.064670 2.951939   6  
  41  4   13   4   1    7  242.512473 1.516292 244.161425 0.377751 244.644461 3.368327   6  
  42  3   13   3   1    8  248.508673 1.299437 249.924435 0.284497 250.324169 3.684813   6  
  43  3   13   2   0    8  254.504851 2.298785 256.953304 0.260266 257.319728 2.685443   6  
  44  1   13  -1   0    3  260.501126 0.000000 263.016085 0.043421 263.166000 2.835359   6  
  45  3   13   3   1    8  266.497217 1.232917 267.846357 0.493570 268.445985 3.551557   6  
  46  2   13   2   1    7  272.510061 1.449421 274.075568 0.365084 274.558759 3.451623   6  
  47  2   13   2   1    7  278.506245 0.999746 279.622198 1.129050 280.871407 3.135148   6  
  48  3   13   3   1    7  284.502423 1.982967 286.601087 0.644075 287.350624 2.652136   6  
  49  3   13   4   0    6  290.498617 1.399417 292.014326 0.871942 292.997019 3.001917   6  
  50  2   13   2   1    8  296.494778 1.232988 297.843950 0.180946 298.143743 3.851377   6  
  51  2   13   2   1    8  302.507642 1.382878 304.006692 0.086117 304.206559 3.801411   6  
  52  3   13   3   1    8  308.503812 1.582731 310.236063 0.405261 310.752412 3.251740   6  
  53  1   13   1   1    7  314.500007 0.767944 315.482724 0.958640 316.548710 3.451615   6  
  54  2   13   2   1    7  320.496177 0.933721 321.545533 0.559845 322.211763 3.784748   6  
  55  4   13   4   1    7  326.492377 2.298965 328.940832 0.371126 329.423853 2.568825   6  
  56  4   13   3   0    8  332.505222 0.967004 333.587742 0.798242 334.503943 3.501547   6  
  57  1   13   1   1    7  338.501417 0.766402 339.434159 0.220572 339.767262 4.234406   6  
  58  3   13   3   1    7  344.497587 1.566248 346.179859 0.208845 346.496323 3.501494   6  
  59  3   13   3   1    7  350.493773 1.316236 351.942743 0.264892 352.325943 3.668049   6  
  60  1   13   1   1    7  356.489933 0.883367 357.522644 0.413834 358.055624 3.934524   6  
  61  2   13   2   1    7  362.502795 1.216599 363.851953 0.130012 364.101777 3.901208   6  
  62  4   13   4   1    7  368.498989 1.449581 370.064587 0.305716 370.481064 3.518055   6  
  63  3   13   3   1    7  374.495168 1.199691 375.811008 0.259041 376.177438 3.817851   6  
  64  2   13   2   1    7  380.491371 0.933050 381.574018 0.313574 382.007054 3.984399   6  
  65  3   13   3   1    8  386.504188 0.916498 387.570195 1.111317 388.802733 3.201776   6  
  66  2   13   2   1    7  392.517041 0.883172 393.549563 0.596688 394.265924 3.751432   6  
  67  4   13  -1   0    3  398.513220 0.000000 401.028298 0.198444 401.344745 2.668801   6  
  68  4   13   4   1    6  404.509401 1.532805 406.158367 1.248514 407.524160 2.485567   6  
  69  1   13   1   1    8  410.505577 1.449760 412.071262 0.210890 412.387739 3.618164   6  
  70  2   13   2   1    7  416.501777 1.016458 417.634384 0.591175 418.333957 3.668149   6  
  71  3   13   3   1    7  422.497954 1.266491 423.896885 0.311988 424.330131 3.668144   6  
  72  3   13   3   1    7  428.510803 0.966419 429.609957 0.290807 430.009852 4.001272   6  
  73  3   13   3   1    7  434.506984 0.983144 435.639387 0.211596 435.956067 4.051244   6  
  74  2   13   2   1    5  440.503175 1.715934 442.368580 1.493932 443.967624 2.035877   6  
  75  2   13   2   1    8  446.499359 1.099637 447.715155 0.317815 448.148309 3.851364   6  
  76  3   13   4   0    8  452.495547 2.048963 454.660846 0.602404 455.377047 2.618817   6  
  77  4   13   4   1    7  458.508371 1.699357 460.323894 1.172566 461.606420 2.402290   6  
  78  4   13   3   0    7  464.504563 1.632841 466.270044 0.453922 466.836415 3.168484   6  
  79  3   13   1   0    5  470.500751 1.166338 471.849801 1.358172 473.315636 2.685439   6  
  80  2   13  -1   0    2  476.496926 0.000000 479.011882 0.035867 479.161917 2.835347   6  
  81  4   13   2   0    7  482.493110 1.016286 483.675705 0.064540 483.858926 4.134512   6  
  82  1   13   1   1    8  488.505948 1.116350 489.771760 0.081417 489.971707 4.034554   6  
  83  3   13   3   1    8  494.502157 1.083268 495.717954 0.389367 496.217723 3.784694   6  
  84  1   13   1   1    8  500.498327 1.083056 501.730882 0.757434 502.596990 3.401581   6  
  85  1   13   1   1    8  506.494507 1.316179 507.960261 0.645341 508.726431 3.268311   6  
  86  4   13   4   1    7  512.490722 2.165640 514.772582 0.967664 515.855226 2.135695   6  
  87  1   13   1   1    8  518.503546 0.816495 519.469610 0.573945 520.152496 3.851240   6  
  88  3   13   3   1    8  524.499728 1.266195 525.882152 0.602467 526.598398 3.401493   6  
  89  2   13   2   1    8  530.495889 0.899782 531.528478 0.568529 532.211492 3.784562   6  
  90  4   13   4   1    8  536.492105 1.882474 538.490814 0.235789 538.840607 3.151610   6  
]; % This session completes at 31-Dec-2018 12:44:17, 544.004s after session start, 540s on 90 trials, totally 567.492s.

