%% MetaTwins_Computer_exp_Conf for 'renchunshan': starting at 31-Dec-2018 11:33:29 (   737425.4819657176).
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  2   9    2   1    8      6      2.498454 1.399392   4.413899 1.050986   5.579817 0.999375   6.579192   7.578557 1.420225   7  
   2  2   9    3   0    7      2      9.493998 1.999146  12.009059 1.818469  13.941163 0.999379  14.940541  15.939893 1.054428   8  
   3  4   9    4   1    4      6     17.505570 1.116351  19.137851 0.000919  19.254461 0.999359  20.253820  21.253183 0.752712   5  
   4  3   9    3   1    7      6     22.502396 1.249849  24.267937 0.000687  24.384526 0.999364  25.383890  26.383262 0.619447   5  
   5  4   9    2   0    7      6     27.499202 1.366270  29.381343 0.618764  30.114215 0.999375  31.113591  32.112946 0.886584   6  
   6  1   9    4   0    8      6     33.512059 1.083338  35.111031 0.003105  35.227629 0.999349  36.226978  37.226357 0.786014   5  
   7  1   9    3   0   -1      6     38.508874 1.766051  40.790756 0.000000  42.789403 0.999451  43.788855  44.788216 1.220977   8  
   8  1   9    2   0   -1      4     46.503778 2.065532  49.085478 0.000000  51.084124 0.999452  52.083576  53.082935 0.921179   8  
   9  3   9    3   1    7      5     54.515355 1.616069  56.647343 0.763216  57.530101 0.999361  58.529462  59.528839 1.486832   7  
  10  3   9    3   1    8      6     61.510899 1.832911  63.859403 1.693174  65.658270 0.999355  66.657625  67.656998 1.354226   8  
  11  1   9    3   0   -1      6     69.489165 1.866373  71.870973 0.000000  73.869638 0.999439  74.869077  75.868437 1.120849   8  
  12  3   9    3   1    7      5     77.500734 1.950403  79.965819 0.312855  80.398881 0.999370  81.398250  82.397607 0.603304   6  
  13  2   9    4   0    5      3     83.496927 1.732427  85.745489 1.048352  86.911405 0.999372  87.910777  88.910130 1.086988   7  
  14  3   9    3   1    6      5     90.492484 1.932694  92.940911 0.759778  93.807030 0.999369  94.806400  95.805758 1.186949   7  
  15  3   9    3   1    2      5     97.504672 2.199114 100.219608 1.277446 101.602065 0.999365 102.601430 103.600790 1.404155   8  
  16  2   9    2   1    6      6    105.499577 1.549309 107.564948 0.684599 108.364423 0.999381 109.363804 110.363145 0.636758   6  
  17  2   9    1   0   -1      5    111.495756 1.765978 113.777642 0.000000 114.643770 0.999356 115.643127 116.642489 1.353612   7  
  18  1   9    3   0    3      5    118.507968 1.883167 120.906454 0.706462 121.722593 0.999368 122.721961 123.721316 1.286988   7  
  19  3   9    3   1    6      5    125.503515 1.549426 127.568874 0.134348 127.818710 0.999376 128.818086 129.817437 1.186401   6  
  20  3   9    1   0    5      4    131.499719 2.615600 134.631040 0.688806 135.430539 0.999358 136.429897 137.429263 0.570774   7  
]; % This session completes at 31-Dec-2018 11:36:21, 140.002s after session start, 136s on 20 trials, totally 172.535s.

