%% MetaTwins_Computer_exp_Conf for 'renchunshui': starting at 31-Dec-2018 11:34:07 (   737425.4821567014).
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  1   9    3   0   -1      6      2.498855 1.866373   4.881109 0.000000   6.880161 0.999589   7.879750   8.879295 1.119781   8  
   2  3   9    3   1   -1      5     10.495211 1.950403  12.960760 0.000000  14.959805 0.999592  15.959397  16.958949 1.036462   8  
   3  3   9    3   1   -1      5     18.491568 1.616069  20.623930 0.000000  22.623042 0.999542  23.622584  24.622124 1.369608   8  
   4  3   9    3   1   -1      6     26.504576 1.832911  28.853510 0.000000  30.852613 0.999550  31.852163  32.851698 1.153033   8  
   5  3   9    3   1    4      5     34.500944 2.199114  37.216368 1.055150  38.382515 0.999542  39.382056  40.381602 0.619457   7  
   6  2   9    2   1    3      6     41.497768 1.549309  43.563484 0.873933  44.546372 0.999543  45.545915  46.545465 1.452511   7  
   7  4   9    4   1    6      6     48.494560 1.116351  50.127162 0.699727  50.943447 0.999547  51.942993  52.942549 1.052078   6  
   8  3   9    3   1    6      6     54.508531 1.249849  56.274368 0.736772  57.123987 0.999535  58.123522  59.123056 0.885670   6  
   9  3   9    3   1    5      5     60.505756 1.549426  62.571480 0.560969  63.237849 0.999573  64.237422  65.236952 0.769036   6  
  10  3   9    1   0    1      4     66.503032 2.615600  69.634947 0.155556  69.901490 0.999543  70.901033  71.900578 1.102690   7  
  11  2   9    4   0    3      3     73.499844 1.732427  75.748821 0.824765  76.681725 0.999545  77.681270  78.680832 1.319233   7  
  12  3   9    3   1    4      5     80.513314 1.932694  82.962193 0.765097  83.845127 0.999548  84.844675  85.844222 1.169339   7  
  13  1   9    3   0    5      6     87.510128 1.766051  89.792423 0.807431  90.708663 0.999553  91.708216  92.707776 1.302581   7  
  14  1   9    2   0    2      4     94.506930 2.065532  97.089101 0.965406  98.171938 0.999554  99.171492 100.171043 0.836122   7  
  15  2   9    2   1    5      6    101.503762 1.399392 103.419557 1.538082 105.068806 0.999536 106.068342 107.067884 0.936103   7  
  16  2   9    3   0    6      2    108.500563 1.999146 111.016077 0.907807 112.032281 0.999545 113.031827 114.031385 0.969424   7  
  17  2   9    1   0    6      5    115.497387 1.765978 117.779685 0.884582 118.779226 0.999542 119.778768 120.778316 1.219285   7  
  18  1   9    3   0    6      5    122.494191 1.883167 124.893094 0.462178 125.476165 0.999533 126.475697 127.475267 0.519145   6  
  19  4   9    2   0    6      6    128.508122 1.366270 130.390594 1.025520 131.523410 0.999536 132.522946 133.522501 1.485857   7  
  20  1   9    4   0    7      6    135.504928 1.083338 137.104200 0.998172 138.220350 0.999552 139.219902 140.219453 0.785691   6  
]; % This session completes at 31-Dec-2018 11:36:41, 143.001s after session start, 139s on 20 trials, totally 154.186s.

