%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at chenweizhi (       51.0000000000).1-Dec-2018 11:38:277.374255e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   15   1   1    6    2.498859 1.666634   4.314698 1.266675   5.697411 2.301670   6  
   2  4   15   2   0    6    8.496134 1.616550  10.262010 0.408482  10.778441 3.217907   6  
   3  1   15   1   1    7   14.493430 0.933636  15.576154 0.617152  16.309262 3.684330   6  
   4  4   15   2   0    3   20.490713 2.166419  22.806202 0.415482  23.339423 2.651421   6  
   5  2   15   2   1    3   26.487991 1.383316  28.020629 1.669174  29.803157 2.184949   6  
   6  4   15   2   0    4   32.501930 1.899818  34.567662 0.409775  35.084095 2.917918   6  
   7  2   15   2   1    4   38.499212 1.200269  39.848481 0.481104  40.448329 3.550932   6  
   8  3   15   3   1    6   44.513155 1.300054  45.929046 0.264728  46.312343 3.701034   6  
   9  3   15   3   1    6   50.510431 1.383183  52.043064 0.232487  52.392923 3.617743   6  
  10  1   15   1   1    6   56.507714 1.000163  57.673702 0.352567  58.140314 3.867633   6  
  11  4   15   1   0    5   62.505009 1.150193  63.837555 0.295286  64.254211 3.751007   6  
  12  1   15   1   1    6   68.502281 1.250031  69.934968 0.174877  70.218159 3.784357   6  
  13  4   15   3   0    6   74.499561 1.033310  75.665703 0.184758  75.965560 4.034229   6  
  14  2   15   2   1    3   80.496836 1.716317  82.362519 0.435836  82.912421 3.084644   6  
  15  3   15   3   1    5   86.494117 0.883513  87.543654 0.329923  87.993442 4.000904   6  
  16  2   15   2   1    6   92.508072 1.133451  93.774161 0.213146  94.107343 3.900941   6  
  17  3   15   3   1    6   98.505337 0.950171  99.571450 0.159004  99.838069 4.167500   6  
  18  2   15   2   1    6  104.502617 1.016837 105.685426 0.124811 105.918650 4.084190   6  
  19  1   15   1   1    6  110.499901 0.733609 111.416166 0.141306 111.666040 4.334048   6  
  20  4   15   2   0    5  116.497192 1.033475 117.663325 0.399851 118.179758 3.817585   6  
  21  2   15   2   1    6  122.494472 1.016842 123.627288 0.282543 124.027112 3.967501   6  
  22  3   15   3   1    7  128.491756 1.149943 129.774497 0.170869 130.057702 3.934161   6  
  23  4   15   2   0    3  134.489031 1.549689 136.171449 0.438125 136.721352 3.267754   6  
  24  1   15   1   1    7  140.486315 0.733631 141.385903 0.133566 141.635801 4.350558   6  
  25  1   15   1   1    7  146.516905 0.866930 147.566440 0.094721 147.766354 4.250786   6  
  26  4   15   2   0    3  152.514195 1.100180 153.763628 0.309560 154.180108 3.834322   6  
  27  3   15   3   1    6  158.511467 1.699900 160.360563 0.171182 160.643847 3.367859   6  
  28  4   15   1   0    6  164.508749 1.249897 165.891332 0.159384 166.158017 3.850968   6  
  29  3   15   3   1    7  170.506040 0.900215 171.555573 0.204217 171.872077 4.134185   6  
  30  3   15   3   1    7  176.503316 1.133439 177.752753 0.118187 177.985990 4.017552   6  
  31  2   15   2   1    5  182.500602 1.150088 183.816675 0.325660 184.249803 3.751033   6  
  32  3   15   3   1    7  188.497874 1.083534 189.697170 0.173037 189.980548 4.017561   6  
