%% MetaTwins_Computer_exp_Conf for 'chenweizhi': starting at 31-Dec-2018 11:33:29 (   737425.4821279283).
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  1   9    3   0   -1      6      2.498869 1.766051   4.781163 0.000000   6.780220 0.999573   7.779793   8.779351 1.219730   8  
   2  1   9    2   0   -1      4     10.495243 2.065532  13.077396 0.000000  15.076460 0.999588  16.076048  17.075593 0.919838   8  
   3  1   9    3   0   -1      6     18.491610 1.866373  20.873871 0.000000  22.872918 0.999592  23.872510  24.872050 1.119718   8  
   4  3   9    3   1   -1      5     26.487980 1.950403  28.953531 0.000000  30.952587 0.999590  31.952177  32.951733 1.036396   8  
   5  4   9    2   0   -1      6     34.501014 1.366270  36.383500 0.000000  38.382549 0.999606  39.382155  40.381696 0.619431   7  
   6  1   9    4   0    6      6     41.497854 1.083338  43.097122 0.222281  43.430302 0.999557  44.429858  45.429399 0.568528   5  
   7  2   9    2   1    3      6     46.495597 1.399392  48.411410 0.521363  49.044440 0.999536  50.043976  51.043532 0.952116   6  
   8  2   9    3   0    7      2     52.509519 1.999146  55.025060 0.000796  55.141671 0.999545  56.141216  57.140755 0.868996   6  
   9  3   9    3   1    2      5     58.506806 1.616069  60.639166 0.081199  60.839074 0.999558  61.838632  62.838181 1.168852   6  
  10  3   9    3   1    4      6     64.504090 1.832911  66.853020 0.024154  66.986298 0.999546  67.985843  68.985395 1.018924   6  
  11  3   9    3   1    3      5     70.501374 1.549426  72.567106 0.315395  73.000241 0.999548  73.999789  74.999322 1.002279   6  
  12  3   9    1   0    2      4     76.498657 2.615600  79.630569 0.000678  79.747179 0.999552  80.746731  81.746279 1.252609   7  
  13  2   9    4   0    4      3     83.512138 1.732427  85.761121 0.586988  86.460801 0.999544  87.460345  88.459897 0.552463   6  
  14  3   9    3   1    3      5     89.509429 1.932694  91.958316 0.064850  92.141556 0.999545  93.141101  94.140653 0.868992   6  
  15  2   9    1   0    4      5     95.506703 1.765978  97.789006 0.734343  98.638642 0.999524  99.638166 100.637714 1.369212   7  
  16  1   9    3   0    5      5    102.503524 1.883167 104.902458 0.506520 105.518838 0.999544 106.518382 107.517937 1.485822   7  
  17  4   9    4   1    6      6    109.500361 1.116351 111.132958 0.696040 111.949260 0.999539 112.948799 113.948347 1.052235   6  
  18  3   9    3   1    7      6    115.497645 1.249849 117.263507 0.629508 118.013176 0.999538 119.012714 120.012256 0.985620   6  
  19  3   9    3   1    2      5    121.494928 2.199114 124.210358 0.049297 124.376956 0.999534 125.376489 126.376051 0.619090   6  
  20  2   9    2   1    7      6    127.492215 1.549309 129.557941 0.516926 130.190982 0.999540 131.190522 132.190068 0.802369   6  
]; % This session completes at 31-Dec-2018 11:36:30, 135.001s after session start, 131s on 20 trials, totally 181.81s.

