%% MetaTwins_RDMsc_training for 'chenweizhi': starting at _feedback (       51.0000000000).1-Dec-2018 11:20:28 for '7.374255e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  30  3    3   1    0   -1    2.498855   0    0  1.583273   4.214749 0.000000   6.213790 0.999586   7.213376   8.212929 0.786132   7  
   2  30  3   -1   0    0   -1    9.495690   0    0  0.000000  12.011230 0.000000  14.010258 0.999592  15.009851  16.009403 0.986433   8  
   3  30  3    3   1    0    7   17.492068   0    0  0.767002  18.408313 1.364153  19.890971 0.999549  20.890519  21.890067 1.102061   6  
   4  30  4    4   1    0   -1   23.506008   0    0  1.183477  24.805424 0.000000  26.804470 0.999586  27.804056  28.803599 1.202638   7  
   5  30  4    4   1    0    6   30.502827   0    0  1.216745  31.835568 1.025827  32.968376 0.999541  33.967917  34.967467 1.035597   6  
   6  27  2    2   1    0    6   36.500112   0    0  1.083440  37.732890 1.029474  38.882371 0.999537  39.881908  40.881448 1.118886   6  
   7  27  1    1   1    0    7   42.497391   0    0  0.883483  43.563584 1.079373  44.763032 0.999549  45.762581  46.762118 1.235504   6  
   8  24  1    1   1    0    5   48.494674   0    0  0.966813  49.627481 0.754441  50.493771 0.999535  51.493306  52.492864 0.502032   5  
   9  24  1    3   0    0    6   53.492408   0    0  1.350008  54.958414 0.725615  55.791368 0.999539  56.790907  57.790456 1.202121   6  
  10  27  2    2   1    0    4   59.489691   0    0  1.300052  60.922381 0.785758  61.821972 0.999530  62.821502  63.821053 1.168756   6  
  11  27  1    1   1    0   -1   65.486977   0    0  1.083476  66.736415 0.000000  68.735449 0.999593  69.735042  70.734599 1.252431   7  
  12  27  2    2   1    0   -1   72.500454   0    0  0.816854  73.450009 0.000000  75.449071 0.999605  76.448676  77.448221 0.552477   6  
  13  27  4    4   1    0    5   78.497742   0    0  1.183326  79.797153 0.408118  80.313576 0.999551  81.313126  82.312680 0.685296   5  
  14  24  3    2   0    0    6   83.512137   0    0  0.866815  84.528193 0.827980  85.461252 0.999543  86.460795  87.460351 0.552013   5  
  15  27  2    2   1    0    6   88.509865   0    0  0.933509  89.592633 1.003712  90.708877 0.999535  91.708413  92.707973 1.302122   6  
  16  27  1    1   1    0    6   94.507147   0    0  0.733619  95.406755 0.581753  96.106434 0.999541  97.105976  98.105509 0.901879   5  
  17  24  3    3   1    0    7   99.504889   0    0  1.050118 100.671028 0.586506 101.370712 0.999529 102.370241 103.369797 0.635281   5  
  18  24  1    1   1    0    6  104.502616   0    0  0.983505 105.635380 0.467501 106.218512 0.999552 107.218064 108.217591 0.785175   5  
  19  21  4    4   1    0    5  109.500354   0    0  1.216703 110.833077 0.614376 111.566084 0.999551 112.565635 113.565179 1.435271   6  
  20  21  3    2   0    0    6  115.514295   0    0  1.266641 116.980303 0.454717 117.546704 0.999536 118.546240 119.545810 1.468717   6  
  21  24  3    3   1    0    5  121.511570   0    0  1.483267 123.110859 0.825639 124.043775 0.999536 125.043311 126.042848 0.968959   6  
  22  24  4    2   0    0    5  127.508862   0    0  1.849811 129.524536 1.303828 130.940634 0.999543 131.940177 132.939723 1.069364   7  
  23  27  2    2   1    0    6  134.505690   0    0  1.000236 135.688496 0.503110 136.304876 0.999541 137.304417 138.303957 0.701961   5  
  24  27  2    2   1    0    2  139.503414   0    0  1.799920 141.452501 0.826875 142.385456 0.999529 143.384985 144.384524 0.619131   6  
  25  24  3    3   1    0    5  145.500718   0    0  1.216707 146.900077 0.389023 147.399842 0.999537 148.399379 149.398926 0.601976   5  
  26  24  2    2   1    0    2  150.498442   0    0  0.850224 151.547959 1.346020 153.013961 0.999544 154.013505 155.013059 0.985537   6  
  27  21  3    3   1    0    5  156.495714   0    0  1.033484 157.661748 0.557634 158.328226 0.999541 159.327766 160.327303 0.668521   5  
  28  21  1    1   1    0    5  161.510107   0    0  0.766995 162.443017 0.373030 162.926135 0.999545 163.925680 164.925251 1.085085   5  
  29  18  1    1   1    0    6  166.507861   0    0  1.233561 167.940543 0.385077 168.440317 0.999518 169.439835 170.439399 0.568678   5  
  30  18  2    1   0    0    5  171.505574   0    0  1.216692 172.888139 0.765936 173.771221 0.999534 174.770755 175.770308 1.235499   6  
  31  20  4    4   1    0    2  177.502859   0    0  1.466584 179.118800 0.377958 179.601915 0.999538 180.601454 181.600996 1.402091   6  
  32  20  2    3   0    0    3  183.500133   0    0  1.566440 185.216031 0.500540 185.832422 0.999536 186.831958 187.831515 1.168863   6  
  33  22  2    1   0    0    3  189.497428   0    0  1.416718 191.096690 0.896459 192.112901 0.999546 193.112446 194.112009 0.885636   6  
  34  25  2    3   0    0    3  195.494704   0    0  2.182929 197.826900 0.630600 198.576647 0.999537 199.576184 200.575729 1.419153   7  
  35  28  3    3   1    0    5  202.491541   0    0  1.016880 203.657679 0.359723 204.124131 0.999538 205.123669 206.123232 0.868420   5  
  36  28  4    4   1    0    6  207.489273   0    0  1.166897 208.771867 0.521193 209.405070 0.999548 210.404618 211.404153 0.585179   5  
  37  25  1    1   1    0    6  212.503671   0    0  0.716918 213.386597 0.568322 214.069631 0.999529 215.069159 216.068714 0.935187   5  
  38  25  4    4   1    0    6  217.501403   0    0  1.183411 218.817339 0.307105 219.233949 0.999551 220.233500 221.233040 0.768585   5  
  39  22  4    3   0    0    3  222.499129   0    0  1.399833 224.048425 0.850024 225.014654 0.999541 226.014195 227.013742 0.985616   6  
  40  25  1    1   1    0    7  228.496419   0    0  0.700200 229.362690 0.482815 229.962417 0.999547 230.961965 231.961514 1.035126   5  
  41  25  4    4   1    0    7  233.494140   0    0  1.100494 234.710272 0.235298 235.060110 0.999535 236.059646 237.059201 0.935175   5  
  42  22  2    2   1    0    3  238.491888   0    0  1.933021 240.590930 0.677225 241.373915 0.999538 242.373453 243.372995 0.619105   6  
  43  22  4    4   1    0    5  244.489161   0    0  1.033464 245.638639 0.354445 246.105105 0.999536 247.104640 248.104186 0.885136   5  
  44  19  1    1   1    0    5  249.503555   0    0  1.283340 250.952811 0.443134 251.502659 0.999536 252.502195 253.501754 0.501923   5  
  45  19  4    3   0    0    5  254.501294   0    0  1.233417 255.900661 0.484715 256.500393 0.999536 257.499929 258.499479 0.501881   5  
  46  21  1    1   1    0    5  259.515680   0    0  0.916958 260.615186 0.231098 260.965036 0.999533 261.964570 262.964107 1.051804   5  
  47  21  3    3   1    0    3  264.513419   0    0  1.150009 265.796185 0.627106 266.529180 0.999533 267.528712 268.528273 1.485379   6  
  48  18  2    1   0    0    5  270.510705   0    0  1.083409 271.776807 0.898129 272.793006 0.999531 273.792537 274.792085 1.218840   6  
  49  20  3    2   0    0    2  276.507988   0    0  1.599888 278.240483 0.529039 278.873580 0.999539 279.873119 280.872661 1.135552   6  
  50  22  3    3   1    0    6  282.505272   0    0  1.216662 283.887980 0.564071 284.570995 0.999534 285.570529 286.570081 1.435425   6  
  51  22  4    1   0    0    5  288.502558   0    0  1.516568 290.184949 0.330779 290.634922 0.999541 291.634464 292.634006 1.368739   6  
  52  25  2    3   0    0    5  294.499821   0    0  1.149980 295.782585 0.739537 296.632204 0.999524 297.631728 298.631281 1.368686   6  
  53  28  4    4   1    0    6  300.497109   0    0  2.382837 303.012630 0.645573 303.778959 0.999541 304.778500 305.778049 1.219137   7  
  54  28  2    2   1    0    6  307.510600   0    0  0.916931 308.576786 0.551244 309.243147 0.999548 310.242695 311.242237 0.768595   5  
  55  25  3    3   1    0    6  312.508336   0    0  1.333310 313.991001 0.294981 314.390815 0.999542 315.390357 316.389904 0.618659   5  
  56  25  1    1   1    0    5  317.506062   0    0  1.166741 318.838634 0.368225 319.321910 0.999547 320.321457 321.320995 0.685299   5  
  57  22  4    4   1    0    7  322.503802   0    0  1.183343 323.836536 0.321192 324.269671 0.999535 325.269206 326.268769 0.735264   5  
  58  22  3    3   1    0    7  327.501541   0    0  1.516590 329.150791 0.269159 329.533947 0.999540 330.533487 331.533041 1.468725   6  
  59  19  1    1   1    0    7  333.498812   0    0  0.983541 334.648244 0.272957 335.031451 0.999548 336.030999 337.030566 0.968466   5  
  60  19  1    1   1    0    7  338.496554   0    0  0.833646 339.479436 0.231990 339.829287 0.999537 340.828824 341.828378 1.168339   5  
]; % This session completes at 31-Dec-2018 11:26:48, 345.004s after session start, 341s on 60 trials, totally 379.76s, correctness is 75.000%.

