%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at maoming (       51.0000000000).1-Dec-2018 16:30:487.374257e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   11   2   0    6      7      2.498950 0.833159   3.848324 1.006749   4.964482 3.034654   6  
   2  1   11   3   0    6      6      8.496210 1.083292  10.095484 0.857859  11.061698 2.934742   6  
   3  4   11   4   1    5      6     14.510144 0.900239  15.926163 1.757652  17.791988 2.218381   6  
   4  2   11   2   1    7      7     20.507382 0.783122  21.806805 0.211790  22.123330 3.884296   6  
   5  1   11   3   0    5      3     26.504654 1.049840  28.070625 1.573323  29.753189 2.251735   6  
   6  2   11   2   1    7      5     32.501945 0.917260  33.934624 0.068423  34.117866 3.884306   6  
   7  1   11   2   0    6      6     38.515859 0.949877  39.981869 0.429718  40.531607 3.484483   6  
   8  2   11   3   0    4      3     44.513129 1.116470  46.145719 0.853676  47.111946 2.901417   6  
   9  4   11   4   1    6      6     50.493747 1.000298  52.009724 0.467774  52.592790 3.401190   6  
  10  1   11   1   1    5      7     56.490996 1.133059  58.140250 0.367774  58.623376 3.367791   6  
  11  1   11   1   1    7      6     62.488281 1.083596  64.087453 0.000292  64.204177 3.784325   6  
  12  3   11   3   1    6      3     68.502183 1.266445  70.284732 1.219352  71.617444 2.384986   6  
  13  2   11   2   1    2      7     74.499474 2.499892  77.514758 0.948548  78.580955 1.418740   6  
  14  3   11   3   1    5      6     80.496727 0.949750  81.962738 0.774000  82.845675 3.151276   6  
  15  1   11   2   0    4      5     86.494005 1.266842  88.276541 0.780871  89.176124 2.818109   6  
  16  4   11   4   1    4      6     92.507939 1.366164  94.390397 0.884195  95.389946 2.618237   6  
  17  4   11   3   0    4      6     98.505203 1.550239 100.570942 1.147933 101.837026 2.168406   6  
  18  3   11   3   1    5      6    104.502469 1.232964 106.251677 0.663565 107.034642 2.968055   6  
  19  2   11   2   1    6      5    110.499750 1.050500 112.065694 0.252043 112.432188 3.567778   6  
  20  2   11   4   0    5      6    116.513640 1.233153 118.262865 0.334393 118.712661 3.301229   6  
  21  3   11   3   1    6      6    122.510932 0.917351 123.943617 0.604854 124.659956 3.351201   6  
  22  2   11   3   0    7      2    128.508190 0.783260 129.807608 0.543439 130.457297 3.551134   6  
  23  4   11   2   0    4      5    134.505458 1.449551 136.471231 1.607712 138.187115 1.818592   6  
  24  3   11   3   1    6      6    140.502738 1.133382 142.151986 0.516424 142.785030 3.217909   6  
  25  2   11   2   1    7      6    146.499980 0.883323 147.899378 0.445182 148.449103 3.551122   6  
  26  2   11   2   1    6      6    152.497281 0.850398 153.863328 1.054145 155.029460 2.968050   6  
  27  3   11   3   1    7      6    158.494540 0.999690 160.010511 0.374397 160.493611 3.501152   6  
  28  4   11   4   1    5      6    164.491797 1.399662 166.407601 0.488677 167.007324 2.984572   6  
  29  2   11   2   1    6      6    170.505733 1.133458 172.154979 0.890743 173.154533 2.851423   6  
  30  4   11   4   1    5      6    176.502984 1.399702 178.418781 0.500964 179.035170 2.968056   6  
  31  1   11   4   0    6      6    182.500285 1.034178 184.049573 0.530181 184.699262 3.301235   6  
  32  4   11   4   1    5      7    188.497530 0.866492 189.880226 0.907282 190.896429 3.101270   6  
  33  2   11   2   1    6      7    194.494779 1.116320 196.127382 0.295540 196.543855 3.451163   6  
  34  1   11   3   0    4      7    200.508734 1.450187 202.474516 0.487852 203.074232 2.934730   6  
  35  1   11   4   0    4      3    206.505979 1.549539 208.571721 1.511359 210.187642 1.818577   6  
  36  4   11   2   0    4      6    212.503276 1.766859 214.785564 0.509171 215.401953 2.601538   6  
  37  3   11   3   1    6      6    218.500523 1.066403 220.083144 1.003640 221.199287 2.801332   6  
  38  3   11   3   1    7      8    224.514461 0.866994 225.897164 0.213188 226.230332 3.784360   6  
  39  4   11   4   1    5      6    230.511716 1.033288 232.061018 0.520567 232.694059 3.317892   6  
  40  4   11   4   1    5      8    236.492333 1.033449 238.041651 0.899656 239.057827 2.934754   6  
  41  4   11   4   1    6      7    242.489584 0.949892 243.955596 0.001299 244.072205 3.917539   6  
  42  1   11   1   1    5      8    248.503533 1.183789 250.202770 0.633020 250.952410 3.051342   6  
  43  2   11   3   0    4      4    254.500784 1.632874 256.649817 0.353976 257.116266 2.884750   6  
  44  3   11   3   1    6      6    260.498067 1.183684 262.197297 0.999989 263.313447 2.684830   6  
  45  1   11   3   0    4      3    266.495312 1.849316 268.860917 1.059712 270.027052 1.968447   6  
  46  3   11   3   1    7      7    272.492597 0.967287 273.975259 0.653356 274.741578 3.251237   6  
  47  3   11   3   1    6      7    278.506502 0.816600 279.839248 0.866350 280.822132 3.184613   6  
  48  2   11   2   1    5      7    284.503785 0.983211 286.003107 0.911528 287.019301 2.984718   6  
  49  4   11   3   0    6      6    290.501044 0.983163 292.000370 0.022344 292.133643 3.867650   6  
  50  2   11   2   1    7      7    296.498337 0.883505 297.897708 0.675289 298.680661 3.317765   6  
  51  2   11   2   1    7      7    302.512244 0.749800 303.778347 0.681926 304.577970 3.434509   6  
  52  2   11   2   1    6      6    308.509511 1.166425 310.192077 0.547933 310.858455 3.151287   6  
  53  3   11   3   1    6      6    314.506796 1.033831 316.056111 0.642901 316.805739 3.201288   6  
  54  2   11   2   1    5      5    320.504044 1.183153 322.203276 0.741993 323.052896 2.951300   6  
  55  2   11   2   1    7      5    326.501391 1.150079 328.167248 0.339895 328.617040 3.384484   6  
  56  3   11   3   1    6      5    332.498581 1.083082 334.097860 0.661243 334.864180 3.134639   6  
  57  3   11   3   1    4      6    338.495864 1.466848 340.478294 0.163850 340.761495 3.234592   6  
  58  3   11   4   0    5      4    344.493111 1.283096 346.292305 0.299860 346.708771 3.284543   6  
  59  1   11   1   1    5      7    350.490396 1.000471 352.006375 0.549112 352.672734 3.317901   6  
  60  1   11   2   0    4      5    356.504307 1.666329 358.686647 0.299400 359.103137 2.901407   6  
  61  1   11   3   0    6      5    362.501595 0.983583 364.000931 0.317935 364.434057 3.567772   6  
  62  3   11   3   1    5      7    368.498839 0.933215 369.948081 0.726723 370.781152 3.217921   6  
  63  1   11   1   1    6      5    374.496126 1.166331 376.178682 0.255215 376.545184 3.451181   6  
  64  2   11   2   1    6      6    380.510058 0.934305 381.959392 0.000471 382.076019 3.934259   6  
  65  3   11   3   1    7      7    386.507316 0.850061 387.873356 0.001327 387.989973 4.017565   6  
  66  4   11   4   1    5      6    392.504583 0.966539 393.987241 0.729619 394.836850 3.167964   6  
  67  1   11   1   1    6      6    398.501861 0.933578 399.951201 0.297341 400.367687 3.634402   6  
  68  1   11   2   0    6      6    404.499114 1.382994 406.398244 0.605266 407.114584 2.884607   6  
  69  4   11   4   1    5      6    410.513046 1.033650 412.062339 0.899354 413.078555 2.934734   6  
  70  2   11   2   1    6      5    416.510305 1.149778 418.176211 0.023361 418.309498 3.701037   6  
  71  4   11   4   1    7      6    422.490929 1.083468 424.090154 0.464713 424.673275 3.317878   6  
  72  1   11   4   0    6      6    428.488179 0.999852 430.004164 0.193799 430.304016 3.684286   6  
  73  3   11   4   0    7      6    434.502118 0.883883 435.901506 0.332961 436.351282 3.651059   6  
  74  1   11   2   0    6      6    440.499369 1.066483 442.081996 0.246252 442.448499 3.551109   6  
  75  3   11   3   1    5      4    446.496652 1.200331 448.212543 0.471629 448.795617 3.201267   6  
  76  1   11   3   0    3      3    452.493910 2.199284 455.209345 0.521524 455.842391 2.151665   6  
  77  4   11   3   0    4      4    458.491196 1.533245 460.540261 0.406489 461.056685 2.934694   6  
  78  2   11   4   0    4      6    464.505099 1.766245 466.787407 0.346613 467.253859 2.751483   6  
  79  3   11   3   1    5      6    470.502383 0.916852 471.935067 0.936933 472.984584 3.018026   6  
  80  4   11   3   0    5      3    476.499632 1.599555 478.615344 0.705449 479.431647 2.568178   6  
  81  3   11   3   1    6      7    482.496921 1.083860 484.096194 0.193717 484.396057 3.601094   6  
  82  4   11   3   0    6      5    488.510828 1.199853 490.226730 0.207221 490.543247 3.467819   6  
  83  4   11   3   0    4      6    494.508112 1.267240 496.290589 0.779349 497.190233 2.818107   6  
  84  2   11   2   1    5      7    500.505368 1.166251 502.187945 0.957988 503.254115 2.751490   6  
  85  3   11   3   1    6      6    506.502659 0.917118 507.935330 0.679233 508.734963 3.267921   6  
  86  4   11   2   0    6      6    512.516551 1.199753 514.232450 0.064355 514.415726 3.601073   6  
  87  3   11   3   1    6      6    518.497187 0.800450 519.813267 0.767362 520.696192 3.301224   6  
  88  1   11   2   0    3      6    524.494431 2.116028 527.126572 0.975556 528.209408 1.785272   6  
  89  2   11   3   0    5      3    530.491726 1.050264 532.057677 1.083293 533.257121 2.734833   6  
