%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhaoshihao (       48.0000000000).6-Jan-2019 12:09:497.374315e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   8    2   1    8    2.498865 1.866528   4.481305 0.631660   5.230963 2.768115   6  
   2  1   8    2   0    7    8.496140 2.299629  10.911729 0.127340  11.161606 2.834705   6  
   3  2   8    2   1    6   14.493450 2.033366  16.642467 0.292357  17.042269 2.951268   6  
   4  2   8    2   1    7   20.490720 2.166187  22.773010 0.084452  22.972924 3.017840   6  
   5  3   8    2   0    8   26.504645 2.133017  28.753632 0.585424  29.453317 2.551560   6  
   6  4   8    4   1    8   32.501927 1.932951  34.551011 0.200548  34.867532 3.134630   6  
   7  3   8    3   1    8   38.499214 1.583502  40.198449 0.090492  40.398365 3.601086   6  
   8  4   8   -1   0    2   44.496503 0.000000  47.012044 0.017010  47.145290 2.851441   6  
   9  2   8    2   1    1   50.493771 2.083081  52.692780 0.183830  52.992638 3.001372   6  
  10  2   8    2   1    1   56.491062 2.099647  58.706729 0.111943  58.939949 3.051303   6  
  11  4   8    3   0    8   62.488346 0.966902  63.571178 0.147326  63.837729 4.150760   6  
  12  1   8    2   0    6   68.502282 2.099669  70.717953 0.712736  71.550901 2.451483   6  
  13  2   8    2   1    8   74.516226 1.050194  75.682367 0.436604  76.232119 3.784334   6  
  14  1   8    2   0    1   80.513502 1.416638  82.046145 0.420672  82.579246 3.434491   6  
  15  2   8    2   1    6   86.510783 1.816536  88.443246 1.129102  89.692681 2.318333   6  
  16  4   8    1   0    6   92.508057 1.483331  94.107337 0.606898  94.823688 3.184601   6  
  17  4   8    1   0    7   98.505344 1.649953 100.271220 0.639157 101.020885 2.984695   6  
  18  3   8    3   1    8  104.502624 1.367111 105.985296 0.211207 106.301817 3.701048   6  
  19  2   8    2   1    8  110.499920 1.516363 112.132512 0.454550 112.698916 3.301171   6  
  20  4   8    2   0    8  116.497204 1.666563 118.279736 0.314297 118.712862 3.284479   6  
  21  4   8    2   0    1  122.494476 1.466767 124.077098 0.694886 124.876728 3.117812   6  
  22  1   8    1   1    7  128.508413 2.216215 130.840702 0.478685 131.440434 2.568217   6  
  23  2   8    2   1    8  134.505694 2.049793 136.671393 0.434188 137.221130 2.784800   6  
  24  1   8    2   0    1  140.502981 2.116634 142.735301 0.375283 143.218425 2.784781   6  
  25  3   8    3   1    8  146.500268 1.216678 147.832988 0.096266 148.049556 3.950933   6  
  26  4   8    1   0    8  152.497535 1.549907 154.163461 0.068213 154.346712 3.651066   6  
  27  3   8    3   1    8  158.494834 1.049968 159.660969 0.046832 159.827553 4.167486   6  
  28  2   8    2   1    8  164.492106 1.000135 165.608262 0.045038 165.758203 4.234068   6  
  29  3   8    1   0    8  170.489397 2.149598 172.755027 0.055236 172.921624 3.067881   6  
  30  1   8    1   1    1  176.486664 2.432851 179.035516 0.432445 179.585264 2.401470   6  
  31  4   8    4   1    8  182.500612 1.617234 184.233165 0.551430 184.899528 3.101319   6  
  32  1   8    1   1    8  188.514541 1.916214 190.546966 0.081770 190.746881 3.267909   6  
  33  2   8    2   1    1  194.511840 1.500023 196.127775 0.671900 196.910747 3.101310   6  
  34  2   8    2   1    1  200.509113 2.017380 202.641480 0.580180 203.341169 2.668168   6  
  35  1   8    2   0    7  206.506400 2.116298 208.738713 0.611464 209.471727 2.534908   6  
  36  1   8    2   0    8  212.503679 1.783118 214.402820 0.219552 214.736014 3.267860   6  
  37  3   8    2   0    8  218.500949 1.200154 219.817026 0.089181 220.016938 3.984183   6  
  38  1   8    2   0    8  224.498251 1.616434 226.230786 0.192141 226.530657 3.467686   6  
  39  1   8    4   0    2  230.512174 1.866444 232.494630 0.717377 233.327579 2.684831   6  
  40  1   8    4   0    7  236.509453 1.116697 237.758899 0.710253 238.575207 3.434492   6  
  41  3   8    3   1    7  242.506747 1.999672 244.622459 0.519224 245.255504 2.751466   6  
  42  2   8    2   1    1  248.504018 1.883069 250.503123 0.454704 251.069527 2.934738   6  
  43  2   8    2   1    2  254.501300 0.883506 255.500858 0.297439 255.917345 4.084199   6  
  44  3   8    3   1    8  260.498584 0.933575 261.548124 0.108151 261.764683 4.234139   6  
  45  4   8    2   0    7  266.495877 2.332946 268.944767 0.431087 269.494520 2.501537   6  
  46  4   8    2   0    1  272.493166 2.449335 275.058665 0.332492 275.508453 2.484836   6  
  47  1   8    2   0    6  278.490431 1.916463 280.522841 0.776813 281.405773 2.584738   6  
  48  3   8    3   1    8  284.504379 1.983036 286.603423 0.249463 286.969926 3.034676   6  
  49  3   8    1   0    8  290.501648 1.933096 292.550725 0.145505 292.817276 3.184615   6  
  50  3   8    1   0    8  296.498935 1.833172 298.448061 0.201965 298.764577 3.234601   6  
  51  1   8    2   0    7  302.496227 1.516678 304.128813 0.446423 304.695237 3.301223   6  
  52  4   8    2   0    6  308.493504 2.316248 310.925730 0.283639 311.325556 2.668177   6  
  53  1   8    2   0    8  314.507436 1.949734 316.573180 0.371034 317.056290 2.951364   6  
  54  4   8    3   0    8  320.504720 1.483248 322.103999 0.102301 322.320564 3.684338   6  
  55  2   8    2   1    7  326.502012 1.083323 327.701457 0.975523 328.784307 3.217829   6  
  56  3   8    3   1    8  332.499292 0.950229 333.565476 0.051440 333.732072 4.267278   6  
  57  3   8    1   0    8  338.513229 1.733130 340.362398 0.125558 340.595633 3.417836   6  
  58  4   8    3   0    6  344.510511 1.966277 346.592895 1.272666 347.975611 2.035126   6  
  59  4   8    4   1    4  350.507788 1.749794 352.373629 1.093686 353.573080 2.434945   6  
  60  3   8    3   1    8  356.505069 1.133282 357.754519 0.109014 357.971085 4.034231   6  
  61  1   8    1   1    8  362.502360 1.183454 363.801782 0.065677 363.985020 4.017576   6  
  62  2   8    2   1    7  368.499646 1.216712 369.832370 1.065352 371.015169 2.984653   6  
  63  4   8    2   0    7  374.496914 0.966879 375.579771 0.108737 375.796323 4.200752   6  
  64  2   8    2   1    8  380.494208 1.400079 382.010183 0.089087 382.210091 3.784221   6  
  65  3   8    2   0    8  386.508147 1.749790 388.373965 0.662057 389.156940 2.851425   6  
  66  4   8    1   0    1  392.505424 2.166295 394.787724 0.488245 395.387451 2.618205   6  
  67  1   8    4   0    7  398.502704 1.716459 400.335212 0.969785 401.418048 2.584888   6  
  68  3   8    3   1    8  404.499977 0.733565 405.349606 0.080954 405.549499 4.450721   6  
  69  1   8    1   1    8  410.497279 1.066743 411.680066 0.049746 411.846659 4.150838   6  
  70  3   8    3   1    8  416.494546 1.100083 417.710674 0.018601 417.843968 4.150823   6  
  71  3   8    4   0    6  422.491830 1.966269 424.574232 1.052867 425.740367 2.251649   6  
  72  1   8    2   0    4  428.489124 1.933050 430.538199 1.112900 431.770968 2.218289   6  
  73  4   8    2   0    7  434.486401 1.116824 435.719177 0.907592 436.735374 3.251108   6  
  74  2   8    2   1    7  440.516990 1.049951 441.683144 0.205097 441.999662 4.017569   6  
  75  2   8    2   1    8  446.514279 1.166836 447.797031 0.046599 447.963619 4.050891   6  
  76  1   8    2   0    8  452.511557 1.783170 454.410695 0.080138 454.610619 3.401176   6  
  77  1   8    1   1    8  458.508840 1.449850 460.074802 0.080948 460.274716 3.734364   6  
  78  4   8    3   0    8  464.506120 0.866963 465.489020 0.140475 465.738908 4.267447   6  
  79  4   8    2   0    7  470.503401 1.749765 472.369224 0.428483 472.902318 3.101299   6  
  80  2   8    2   1    8  476.500679 2.166313 478.782992 0.393740 479.282760 2.718092   6  
  81  1   8    1   1    8  482.497967 1.734167 484.347129 0.242578 484.696986 3.301118   6  
  82  2   8    2   1    7  488.511899 1.116842 489.744685 0.146329 490.011228 4.000914   6  
  83  1   8    4   0    3  494.509198 1.866517 496.491622 0.811324 497.424532 2.584890   6  
  84  3   8    2   0    8  500.506464 0.733685 501.356089 0.508153 501.972482 4.034207   6  
  85  4   8    4   1    3  506.503757 2.016282 508.636127 0.766249 509.519062 2.484913   6  
  86  3   8    3   1    8  512.501025 1.399781 514.017027 0.004219 514.133633 3.867634   6  
  87  2   8    2   1    8  518.498316 1.916767 520.530734 0.206967 520.847259 3.151291   6  
  88  3   8    3   1    8  524.495605 0.866787 525.478486 0.004428 525.595112 4.400693   6  
  89  2   8    2   1    8  530.492874 1.966397 532.575272 0.344889 533.025074 2.967953   6  
  90  4   8   -1   0    4  536.490169 0.000000 539.005694 0.010230 539.122300 2.867962   6  
]; % This session completes at 06-Jan-2019 12:19:21, 544.005s after session start, 540s on 90 trials, totally 571.542s.

