%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhaoshihao (       48.0000000000).6-Jan-2019 12:39:577.374315e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   8    1   0    8    2.498860 1.516683   4.131462 0.161547   4.414669 3.584422   6  
   2  1   8    1   1    1    8.496139 2.049654  10.661826 0.524766  11.294880 2.701431   6  
   3  3   8    3   1    8   14.493428 1.133488  15.742858 0.091299  15.942773 4.050795   6  
   4  3   8    3   1    8   20.490703 0.683671  21.290346 0.027519  21.423629 4.567176   6  
   5  2   8    2   1    8   26.504645 0.733625  27.354257 0.049883  27.520849 4.484022   6  
   6  4   8    3   0    8   32.501939 0.567466  33.184954 0.016094  33.318219 4.683940   6  
   7  4   8    2   0    5   38.499218 0.866909  39.482097 1.066335  40.664893 3.334549   6  
   8  3   8    3   1    8   44.513145 1.333237  45.962503 0.000957  46.079106 3.934273   6  
   9  3   8    3   1    8   50.510425 0.700346  51.326733 0.050333  51.493320 4.517347   6  
  10  2   8    2   1    5   56.507718 1.016734  57.640528 1.134033  58.889967 3.117982   6  
  11  2   8    2   1    7   62.504998 1.083402  63.704447 0.104646  63.921021 4.084206   6  
  12  4   8    1   0    4   68.502271 1.783142  70.401414 1.170754  71.684170 2.318326   6  
  13  4   8    2   0    8   74.499557 1.166758  75.782314 0.053609  75.948911 4.050841   6  
  14  4   8    2   0    8   80.496839 0.917029  81.529720 0.040793  81.679638 4.317336   6  
  15  1   8    3   0    8   86.494126 0.567012  87.177150 0.000985  87.293758 4.700463   6  
  16  1   8    2   0    8   92.508057 0.267888  92.891217 0.000904  93.007847 5.000444   6  
  17  4   8    1   0    8   98.505355 0.233752  98.855190 0.863940  99.838086 4.167487   6  
  18  3   8    3   1    8  104.502634 0.350462 104.969080 0.000938 105.085696 4.917166   6  
  19  4   8    3   0    1  110.499922 0.267120 110.883078 0.994756 111.999240 4.000893   6  
  20  4   8    2   0    1  116.497194 2.216287 118.829463 0.079429 119.029371 2.968046   6  
  21  3   8    2   0    1  122.494475 2.316203 124.926709 0.089045 125.126613 2.868092   6  
  22  2   8    3   0    1  128.508421 2.316044 131.057265 0.626125 131.790257 2.218380   6  
  23  2   8    2   1    1  134.505688 2.182834 136.821320 0.072225 137.004558 3.001357   6  
  24  1   8    3   0    8  140.502978 0.716962 141.352602 0.000799 141.469208 4.533945   6  
  25  3   8    2   0    8  146.500260 1.283540 147.899621 0.011341 148.032905 3.967488   6  
  26  2   8    3   0    8  152.497548 0.683760 153.313830 0.001044 153.430450 4.567186   6  
  27  4   8    1   0    5  158.511482 1.649965 160.277305 1.018458 161.410172 2.601534   6  
  28  2   8    1   0    8  164.508766 1.749918 166.374588 0.059341 166.541167 3.467817   6  
  29  1   8    3   0    8  170.506050 2.282976 172.921623 0.000639 173.038235 2.968041   6  
  30  4   8    1   0    5  176.503329 1.566690 178.202564 1.378922 179.701878 2.301679   6  
  31  2   8    2   1    1  182.500608 2.382760 184.999486 0.585248 185.699149 2.301696   6  
  32  1   8    2   0    8  188.497882 0.800678 189.414142 0.041104 189.564076 4.434057   6  
  33  3   8    3   1    1  194.495171 1.832942 196.444288 0.592373 197.143978 2.851423   6  
  34  3   8    3   1    8  200.492463 0.267525 200.875584 0.001935 200.992227 5.000426   6  
  35  1   8    2   0    3  206.489735 2.416279 209.038568 1.352438 210.504579 1.485328   6  
  36  4   8    2   0    8  212.503698 2.016293 214.636038 0.000908 214.752652 3.251158   6  
  37  3   8    3   1    8  218.500961 0.617113 219.233953 0.132326 219.483849 4.517204   6  
  38  1   8    1   1    8  224.498248 0.866888 225.481110 0.006934 225.597744 4.400560   6  
  39  3   8    1   0    8  230.512178 0.600397 231.245182 0.000713 231.361793 4.650622   6  
  40  2   8    1   0    8  236.509460 0.750226 237.392406 0.206713 237.708920 4.300779   6  
  41  1   8    2   0    7  242.506750 0.683595 243.306376 0.069056 243.489636 4.517342   6  
  42  1   8    2   0    7  248.504025 0.700317 249.320317 0.105872 249.536892 4.467362   6  
  43  2   8    2   1    6  254.501316 1.749694 256.367120 0.392848 256.866896 3.134655   6  
  44  1   8    3   0    8  260.498590 1.266562 261.881306 0.000777 261.997923 4.000897   6  
  45  4   8    1   0    8  266.495861 1.399881 268.011848 0.041052 268.161790 3.834279   6  
  46  4   8    2   0    7  272.493152 1.149968 273.759250 0.103072 273.975827 4.017481   6  
  47  3   8    2   0    7  278.490443 1.016787 279.623254 0.564284 280.306274 3.684293   6  
  48  3   8    3   1    8  284.487714 0.733612 285.353994 0.000932 285.470617 4.517188   6  
  49  4   8    3   0    8  290.501655 1.466606 292.084219 0.002678 292.200897 3.800999   6  
  50  4   8    2   0    1  296.515593 1.966400 298.614643 0.278248 298.997815 3.018014   6  
  51  1   8    2   0    8  302.512882 1.183354 303.812298 0.034649 303.962215 4.050892   6  
  52  2   8    1   0    1  308.510157 1.466469 310.092777 0.665250 310.875755 3.134635   6  
  53  3   8    3   1    8  314.507447 0.983477 315.606937 0.398866 316.123375 3.884298   6  
  54  4   8    3   0    8  320.504720 1.100155 321.720836 0.000785 321.837452 4.167499   6  
  55  1   8    1   1    8  326.502013 1.766526 328.384484 0.002405 328.501102 3.501130   6  
  56  3   8    3   1    8  332.499284 1.016777 333.632114 0.000829 333.748721 4.250789   6  
  57  3   8    1   0    2  338.496567 2.232790 340.845500 1.121246 342.078275 1.918465   6  
  58  1   8    1   1    8  344.493847 1.400126 346.009831 0.470604 346.592908 3.401064   6  
  59  1   8    1   1    8  350.491136 0.816899 351.424045 0.013654 351.557325 4.433878   6  
  60  4   8    3   0   -1  356.505078 1.983194 358.604134 0.000000 360.603175 1.402136   6  
  61  4   8    4   1    7  362.502364 1.516400 364.134957 1.115759 365.367715 2.634868   6  
  62  3   8    2   0    5  368.499648 1.133202 369.749076 0.518594 370.382127 3.617744   6  
  63  3   8    2   0    1  374.496911 2.033098 376.645948 0.756940 377.512228 2.484921   6  
  64  1   8    3   0    1  380.510860 1.499773 382.126787 1.048285 383.292927 2.718173   6  
  65  2   8    4   0    8  386.508140 0.300541 386.924613 0.000929 387.041246 4.967133   6  
  66  4   8    3   0    7  392.505425 0.233831 392.855266 0.000744 392.971881 5.033775   6  
  67  2   8    2   1    7  398.502713 0.067549 398.685959 0.060325 398.852564 5.150344   6  
  68  4   8    2   0    7  404.499985 1.066856 405.682791 0.433666 406.232519 3.767627   6  
  69  1   8    3   0    8  410.497267 0.717020 411.330225 0.000935 411.446840 4.550543   6  
  70  2   8    3   0    8  416.494559 1.649860 418.260422 0.000677 418.377033 3.617605   6  
  71  2   8    2   1    1  422.508488 2.332915 424.957380 0.041717 425.107320 2.901391   6  
  72  3   8    4   0    4  428.505773 2.182996 430.804720 0.052237 430.971317 3.034681   6  
  73  2   8    3   0    8  434.503063 0.284246 434.902881 0.000680 435.019488 4.983802   6  
  74  2   8    2   1    2  440.500330 2.332899 442.949230 0.056247 443.115813 2.884754   6  
  75  1   8    2   0    3  446.497602 2.216351 448.946511 0.438199 449.496262 2.501588   6  
  76  1   8    2   0    7  452.494899 0.950040 453.561083 0.000825 453.677692 4.317442   6  
  77  2   8    3   0    7  458.492175 0.433640 459.041849 0.003693 459.158541 4.833879   6  
  78  4   8    3   0    7  464.506114 0.550428 465.172494 0.000755 465.289099 4.717212   6  
  79  3   8    3   1    8  470.503418 0.283766 470.903218 0.000829 471.019830 4.983731   6  
  80  4   8    3   0    8  476.500693 0.184383 476.800546 0.000883 476.917159 5.083642   6  
  81  1   8    2   0    1  482.497973 2.366207 485.046804 0.897994 486.063028 1.935016   6  
  82  1   8    2   0    1  488.511904 2.332818 491.043947 0.928242 492.093631 1.918508   6  
  83  2   8    3   0    8  494.509192 1.733217 496.358351 0.036891 496.508283 3.501138   6  
  84  3   8    2   0    8  500.506479 1.883049 502.538710 0.051827 502.705471 3.301227   6  
  85  1   8    4   0    5  506.503748 1.849710 508.486194 0.000867 508.602808 3.401176   6  
  86  3   8    3   1    6  512.501030 0.533743 513.167406 0.000848 513.284019 4.717255   6  
  87  2   8    1   0    8  518.498328 0.217563 518.848162 0.000950 518.964772 5.033782   6  
  88  2   8    4   0    5  524.495608 1.999736 526.611316 1.346745 528.077316 1.918508   6  
  89  2   8    3   0    8  530.492887 0.900205 531.509084 0.014488 531.642363 4.350713   6  
  90  3   8    2   0    7  536.490159 1.416492 538.022797 0.000893 538.139405 3.850911   6  
]; % This session completes at 06-Jan-2019 12:49:21, 544.005s after session start, 540s on 90 trials, totally 563.383s.

