%% MetaTwins_Computer_exp_Conf for 'zhaoshihao': starting at 06-Jan-2019 12:04:33 (   737431.5032635880).
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  4   9    4   1   -1      6      2.498851 1.116351   4.131460 0.000000   6.130503 0.999586   7.130089   8.129637 0.869450   7  
   2  3   9    3   1    7      6      9.495685 1.249849  11.261554 0.510277  11.877944 0.999549  12.877493  13.877027 1.118856   6  
   3  1   9    3   0   -1      6     15.492967 1.766051  17.775271 0.000000  19.774323 0.999583  20.773906  21.773454 1.219691   8  
   4  1   9    2   0    6      4     23.489340 2.065532  26.071514 0.791899  26.971112 0.999530  27.970642  28.970200 1.019299   7  
   5  3   9    3   1    5      5     30.502835 1.616069  32.635201 1.337036  34.084546 0.999548  35.084094  36.083638 0.919338   7  
   6  3   9    3   1    6      6     37.499664 1.832911  39.848596 0.690593  40.648238 0.999539  41.647776  42.647324 1.352450   7  
   7  4   9    2   0    7      6     44.496485 1.366270  46.378975 0.712417  47.211929 0.999542  48.211471  49.211020 0.785566   6  
   8  1   9    4   0    6      6     50.493768 1.083338  52.093055 0.822687  53.025963 0.999538  54.025501  55.025043 0.968799   6  
   9  1   9    3   0    7      6     56.507722 1.866373  58.889964 1.264706  60.272680 0.999538  61.272218  62.271766 0.736174   7  
  10  3   9    3   1    5      5     63.504543 1.950403  65.970099 1.767785  67.852595 0.999531  68.852126  69.851669 1.153103   8  
  11  2   9    2   1    7      6     71.500917 1.399392  73.416713 1.265086  74.799422 0.999551  75.798973  76.798523 1.202617   7  
  12  2   9    3   0    6      2     78.514413 1.999146  81.029941 1.173878  82.312681 0.999555  83.312235  84.311776 0.702852   7  
  13  2   9    1   0   -1      5     85.511233 1.765978  87.793525 0.000000  89.792586 0.999580  90.792166  91.791724 1.219737   8  
  14  1   9    3   0    6      5     93.507614 1.883167  95.906518 1.038659  97.056007 0.999539  98.055546  99.055098 0.952742   7  
  15  3   9    3   1    5      5    100.504432 1.549426 102.570173 0.939595 103.619703 0.999538 104.619241 105.618785 1.385884   7  
  16  3   9    1   0    1      4    107.501263 2.615600 110.633180 0.348286 111.099639 0.999544 112.099183 113.098739 0.902756   7  
  17  3   9    3   1    6      5    114.498101 2.199114 117.213529 0.898071 118.229738 0.999538 119.229276 120.228823 0.769495   7  
  18  2   9    2   1    2      6    121.494925 1.549309 123.560648 1.254136 124.926702 0.999549 125.926251 126.925804 1.069359   7  
  19  2   9    4   0    5      3    128.508415 1.732427 130.757397 0.532096 131.407098 0.999543 132.406641 133.406196 0.602438   6  
  20  3   9    3   1    6      5    134.505688 1.932694 136.954584 0.453289 137.520984 0.999549 138.520533 139.520083 1.485839   7  
]; % This session completes at 06-Jan-2019 12:07:04, 143.002s after session start, 139s on 20 trials, totally 151.194s.

