%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at anzihe (       48.0000000000).6-Jan-2019 12:39:507.374315e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   7    3   1    6      5      2.498390 1.199508   4.213966 1.085579   5.413215 2.585466   6  
   2  2   7    3   0   -1      5      8.494581 1.032818  10.043588 0.000000  12.042261 1.952534   6  
   3  4   7    2   0   -1      6     14.490778 0.999524  16.006475 0.000000  18.005126 1.985783   6  
   4  4   7    2   0    6      5     20.503599 1.216187  22.235848 0.296529  22.652248 3.351680   6  
   5  1   7    1   1    5      5     26.499779 1.049281  28.065470 0.947119  29.131463 2.868656   6  
   6  3   7    2   0    4      5     32.495969 0.783053  33.795155 0.908915  34.811170 3.185138   6  
   7  4   7    4   1    5      6     38.508825 1.032717  40.057830 0.901246  41.073835 2.935311   6  
   8  3   7    2   0    5      5     44.505016 1.382475  46.403794 0.476407  46.986770 3.018557   6  
   9  1   7    1   1   -1      5     50.501174 1.082799  52.100172 0.000000  54.098813 1.902629   6  
  10  1   7    2   0    5      5     56.497381 0.899619  57.913125 0.178948  58.212951 3.784583   6  
  11  4   7    3   0    5      7     62.510220 0.882750  63.909325 1.042589  65.058603 2.951941   6  
  12  3   7    4   0   -1      5     68.506467 1.699036  70.721650 0.000000  72.720315 1.286401   6  
  13  3   7    3   1   -1      5     74.502588 1.832371  76.851077 0.000000  78.849754 1.153167   6  
  14  4   7    2   0    5      5     80.498762 1.715626  82.730667 0.692099  83.530179 2.468918   6  
  15  4   7   -1   0    6      3     86.494954 2.415449  88.926581 0.384637  89.426426 2.568849   6  
  16  3   7    2   0   -1      6     92.491136 1.232548  94.240024 0.000000  96.238674 1.752714   6  
  17  1   7    2   0    5      4     98.503981 0.366407  99.386761 0.044982  99.536658 4.467506   6  
  18  2   7    2   1   -1      4    104.516809 0.982713 106.015867 0.000000 108.014508 2.002673   6  
  19  3   7   -1   0   -1     -1    110.512999 2.381967 112.911507 0.000000 114.910126 1.103210   6  
  20  1   7    2   0    5      6    116.509198 1.199400 118.224758 1.189594 119.523941 2.485582   6  
  21  1   7    3   0    5      5    122.505382 1.499128 124.520757 0.004253 124.637334 3.368374   6  
  22  2   7    1   0   -1      5    128.501555 1.132667 130.150523 0.000000 132.149175 1.852710   6  
  23  1   7    3   0    5      6    134.497743 1.116150 136.130015 1.793903 138.045490 1.952553   6  
  24  4   7   -1   0    5      3    140.493932 2.382003 142.892281 1.057224 144.058342 1.935805   6  
  25  3   7    3   1    5      6    146.490134 1.399183 148.405571 0.563964 149.088460 2.901790   6  
  26  2   7    2   1    6      5    152.502962 2.265403 155.284515 0.532550 155.934115 2.069172   6  
  27  3   7    4   0   -1      5    158.499142 1.849004 160.864307 0.000000 162.862965 1.136509   6  
  28  3   7    2   0   -1      5    164.511981 2.315378 167.343516 0.000000 169.342176 0.670144   6  
  29  1   7    1   1   -1      7    170.508163 2.015542 173.039883 0.000000 175.038549 0.969953   6  
  30  4   7   -1   0    5     -1    176.504360 2.398578 178.919520 0.964918 180.002134 2.002528   6  
  31  1   7    2   0   -1      5    182.500538 1.515726 184.532578 0.000000 186.531211 1.469558   6  
  32  3   7    3   1   -1      3    188.496711 1.732305 190.745289 0.000000 192.743963 1.252911   6  
  33  1   7   -1   0    5      5    194.509556 2.382081 196.908054 0.806041 197.824133 2.185772   6  
  34  1   7    3   0    4      5    200.505732 1.215911 202.237970 1.047948 203.403906 2.602169   6  
  35  2   7   -1   0   -1     -1    206.501938 2.398485 208.916961 0.000000 210.915730 1.086527   6  
  36  2   7    3   0   -1      3    212.498109 0.516663 213.530791 0.000000 215.529451 2.468997   6  
