%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at anziyi (       48.0000000000).6-Jan-2019 12:09:557.374315e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   8    2   1    5      8      2.498863 1.866491   4.881116 0.655221   5.647420 2.351659   6  
   2  1   8    2   0    4      7      8.496139 2.299839  11.311567 0.918784  12.344384 1.651983   6  
   3  2   8    2   1    5      6     14.493391 2.032660  17.042237 0.443325  17.591982 2.401581   6  
   4  2   8    2   1    5      7     20.490679 2.166693  23.172784 0.931208  24.222305 1.768601   6  
   5  3   8    2   0    5      8     26.487939 2.149476  29.153390 1.370758  30.636032 1.352015   6  
   6  4   8    4   1    6      8     32.501867 1.933270  34.950748 0.876847  35.933645 2.068437   6  
   7  3   8    3   1    6      8     38.515791 1.566295  40.598172 0.830462  41.547738 2.468268   6  
   8  4   8   -1   0    4      2     44.513067 2.482919  47.011928 1.065199  48.194718 1.818566   6  
   9  2   8    2   1    5      1     50.510320 2.066150  53.092482 0.506412  53.708873 2.301685   6  
  10  2   8    2   1    6      1     56.507603 2.083334  59.106416 1.007741  60.222569 1.785265   6  
  11  4   8    3   0    7      8     62.504847 0.949852  63.970853 0.773319  64.853777 3.151311   6  
  12  1   8    2   0    5      6     68.502126 2.100141  71.117606 1.604204  72.833485 1.168865   6  
  13  2   8    2   1    6      8     74.499384 1.066535  76.082003 0.880874  77.081567 2.918056   6  
  14  1   8    2   0    5      1     80.496680 1.433700  82.445771 1.415030  83.978412 2.018481   6  
  15  2   8    2   1    6      6     86.493928 1.832859  88.842861 1.491094  90.442125 1.552031   6  
  16  4   8    1   0    5      6     92.507914 1.483184  94.506956 0.928048  95.539831 2.468248   6  
  17  4   8    1   0    5      7     98.505119 1.649573 100.670795 0.334504 101.120588 2.884765   6  
  18  3   8    3   1    6      8    104.502392 1.366875 106.384867 0.285470 106.784692 3.217926   6  
  19  2   8    2   1    6      8    110.499648 1.516276 112.532076 1.355561 113.998058 2.001762   6  
  20  4   8    2   0    6      8    116.496923 1.666807 118.679284 1.253963 120.045309 1.951852   6  
  21  4   8    2   0    6      1    122.494180 1.466133 124.476629 0.905808 125.492844 2.501461   6  
  22  1   8    1   1    5      7    128.491469 2.233043 131.240213 0.791198 132.139812 1.851879   6  
  23  2   8    2   1    6      8    134.488736 2.065930 137.070893 0.448718 137.637309 2.351481   6  
  24  1   8    2   0    6      1    140.502662 2.116590 143.134800 0.512020 143.767837 2.235045   6  
  25  3   8    3   1    6      8    146.499916 1.216479 148.232458 1.137679 149.481893 2.518259   6  
  26  4   8    1   0    6      8    152.513864 1.533372 154.562930 0.476123 155.146001 2.868078   6  
  27  3   8    3   1    6      8    158.511116 1.033202 160.060413 0.613006 160.793402 3.217946   6  
  28  2   8    2   1    5      8    164.508386 0.983769 166.007711 1.590153 167.706943 2.301666   6  
  29  3   8    1   0    4      8    170.505651 2.132704 173.154460 0.561224 173.837467 2.168409   6  
  30  1   8    1   1    6      1    176.502924 2.416521 179.434920 0.082717 179.634831 2.368329   6  
  31  4   8    4   1    5      8    182.500189 1.616283 184.632550 1.033501 185.782041 2.218368   6  
  32  1   8    1   1    5      8    188.497457 1.933060 190.946346 0.841389 191.895903 2.101794   6  
  33  2   8    2   1    6      1    194.494715 1.516334 196.527132 0.001206 196.643737 3.351212   6  
  34  2   8    2   1    5      1    200.491998 2.033336 203.040826 0.545271 203.707201 2.285017   6  
  35  1   8    2   0    6      7    206.505909 2.115987 209.138055 1.149155 210.404131 1.601965   6  
  36  1   8    2   0    5      8    212.503205 1.783188 214.802142 0.738393 215.651752 2.351670   6  
  37  3   8    2   0    5      8    218.500450 1.199809 220.216327 0.563219 220.899362 3.101223   6  
  38  1   8    2   0    5      8    224.497719 1.616869 226.630084 0.352501 227.096546 2.901403   6  
  39  1   8    4   0   -1      2    230.494983 1.882830 232.893897 0.000000 234.892994 1.102058   6  
  40  1   8    4   0    4      7    236.508922 1.117036 238.141504 0.318805 238.574640 3.434507   6  
  41  3   8    3   1    5      7    242.506183 1.999411 245.021694 0.970014 246.104566 1.901845   6  
