%% MetaTwins_RDMsc_training for 'shiting': starting at _feedback (       48.0000000000).6-Jan-2019 15:13:51 for '7.374316e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  20  3    1   0    0    2    2.499138   0    0  2.132937   4.764805 1.553535   6.430715 0.999532   7.430247   8.429790 0.569576   7  
   2  20  3    1   0    0    2    9.495982   0    0  2.166270  11.794945 0.996793  12.911106 0.999521  13.910627  14.910177 1.085960   7  
   3  22  1   -1   0    0    2   16.492814   0    0  0.000000  19.008342 0.193021  19.308190 0.999558  20.307748  21.307263 0.685657   6  
   4  22  4    1   0    0    2   22.490096   0    0  1.383287  23.989403 1.198372  25.305488 0.999525  26.305013  27.304579 0.685550   6  
   5  22  1   -1   0    0    3   28.504016   0    0  0.000000  31.019572 0.126408  31.252789 0.999548  32.252337  33.251866 0.752400   6  
   6  22  4    3   0    0    2   34.501309   0    0  2.416180  37.133450 0.805361  38.049687 0.999554  39.049241  40.048800 0.952746   7  
   7  25  4    3   0    0    5   41.498148   0    0  1.916324  43.530556 1.494094  45.129824 0.999542  46.129367  47.128909 0.869462   7  
   8  25  1    1   1    0    3   48.494975   0    0  1.016799  49.677773 1.043741  50.827256 0.999540  51.826797  52.826329 1.168874   6  
   9  25  4    3   0    0    6   54.492247   0    0  1.917318  56.557958 1.161562  57.840746 0.999524  58.840269  59.839828 1.152656   7  
  10  25  2    2   1    0    5   61.505733   0    0  2.399489  64.087764 1.663918  65.870438 0.999523  66.869962  67.869524 1.136384   8  
  11  25  2    1   0    0    5   69.502117   0    0  1.599836  71.234668 0.978010  72.317499 0.999542  73.317041  74.316601 0.685632   6  
  12  25  1    2   0    0    5   75.499401   0    0  1.499922  77.115324 0.938059  78.164852 0.999541  79.164393  80.163958 0.835501   6  
  13  28  3    1   0    0    5   81.513337   0    0  1.599881  83.279205 0.654704  84.045533 0.999527  85.045060  86.044616 0.968955   6  
  14  28  4    4   1    0    6   87.510622   0    0  2.199718  89.859562 1.340945  91.308909 0.999524  92.308432  93.307998 0.702847   7  
  15  28  4    1   0    0    6   94.507446   0    0  2.382843  97.039554 0.627528  97.772634 0.999544  98.772178  99.771722 1.235958   7  
  16  28  3    2   0    0    6  101.504267   0    0  2.232735 103.853217 1.015546 104.986037 0.999540 105.985577 106.985119 1.019377   7  
  17  31  2    2   1    0    6  108.501095   0    0  1.683212 110.333621 1.048594 111.499744 0.999538 112.499282 113.498824 0.502515   6  
  18  31  2    2   1    0    6  114.498376   0    0  2.316205 116.930588 0.785030 117.830214 0.999528 118.829742 119.829301 1.169252   7  
  19  27  2    2   1    0    6  121.495212   0    0  2.033111 123.677391 0.465872 124.260625 0.999536 125.260161 126.259727 0.735604   6  
  20  27  1    3   0    0    7  127.492472   0    0  2.132916 129.741312 1.093425 130.940931 0.999541 131.940472 132.940017 1.052553   7  
  21  27  3    3   1    0    7  134.505980   0    0  1.799589 136.488424 0.909962 137.504619 0.999543 138.504161 139.503703 0.502515   6  
  22  27  4    4   1    0    7  140.503271   0    0  2.332810 142.952155 0.957759 144.018331 0.999549 145.017880 146.017429 0.986069   7  
  23  24  3   -1   0    0    3  147.500089   0    0  0.000000 150.015652 0.136297 150.265527 0.999498 151.265025 152.264583 0.735746   6  
