%% MetaTwinsTri_behave_Conf for '_guess': starting at shiwei (       48.0000000000).6-Jan-2019 15:59:217.374317e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   8    1   0    7      7      2.498869 2.049765   5.064375 0.806761   5.980619 2.018478   6  
   2  3   8    3   1    7      7      8.496154 2.032647  11.044993 0.438833  11.594733 2.401628   6  
   3  2   8    2   1    2      7     14.493437 1.449769  16.459204 0.949763  17.525394 2.468224   6  
   4  1   8    1   1    8      3     20.490714 0.799819  21.806782 1.027603  22.939607 3.051279   6  
   5  1   8    1   1    7      6     26.504648 1.133198  28.153909 0.001035  28.270522 3.734283   6  
   6  4   8    1   0    6      6     32.501928 1.782932  34.800892 0.773871  35.683833 2.318245   6  
   7  1   8    2   0    3      5     38.499221 2.182642  41.197998 0.699142  42.014291 1.985052   6  
   8  3   8    1   0    7      6     44.496500 2.149376  47.161946 0.641779  47.911616 2.085000   6  
   9  1   8    1   1    2      6     50.493784 1.816164  52.826062 0.922832  53.858929 2.134945   6  
  10  3   8    2   0    7      6     56.491060 1.999436  59.006590 0.575039  59.689608 2.301522   6  
  11  2   8    2   1    8      6     62.505006 1.116372  64.137593 1.130570  65.387024 2.618213   6  
  12  3   8    2   0    8      6     68.502285 1.266302  70.284804 1.111762  71.517577 2.484940   6  
  13  4   8    2   0    7      6     74.516230 1.632920  76.665249 0.512629  77.298297 2.718152   6  
  14  3   8    2   0    6      6     80.513508 1.549648  82.579241 0.695764  83.395542 2.618187   6  
  15  3   8    1   0    6      6     86.510784 2.049273  89.076294 1.053371  90.242433 1.768575   6  
  16  4   8    1   0    7      6     92.508064 1.199863  94.223969 0.745975  95.090235 2.918067   6  
  17  2   8    2   1    7      7     98.505350 1.333043 100.354507 0.090039 100.554423 3.451155   6  
  18  3   8    3   1    8      5    104.502631 1.532887 106.551707 0.764720 107.434628 2.568241   6  
  19  3   8   -1   0    2      3    110.499921 0.000000 113.015469 0.903284 114.031642 1.968493   6  
  20  1   8    1   1    7      6    116.497195 1.483004 118.496288 0.403511 119.012729 2.984698   6  
  21  1   8    1   1    6      6    122.511138 1.666217 124.693485 0.932322 125.743008 2.268353   6  
  22  2   8    2   1    7      6    128.508418 1.766101 130.790715 0.359870 131.257172 2.751488   6  
  23  3   8    1   0    6      7    134.505699 1.782848 136.804661 0.043543 136.954591 3.051342   6  
  24  3   8    3   1    6      7    140.502985 2.482375 143.501619 0.302005 143.918107 2.085099   6  
  25  1   8    1   1    5      6    146.500264 1.616339 148.632610 0.351861 149.099084 2.901416   6  
  26  2   8    2   1    6      6    152.497556 1.549640 154.563275 0.000821 154.679896 3.317885   6  
  27  1   8    1   1    7      7    158.494836 1.383041 160.393973 1.014651 161.526785 2.468275   6  
  28  4   8   -1   0    1      4    164.492124 0.000000 167.007656 0.741538 167.857253 2.135072   6  
  29  4   8    4   1   -1      2    170.506045 2.365847 173.388069 0.000000 173.671284 2.334963   6  
  30  3   8    3   1    7      7    176.503339 1.316463 178.335837 0.018452 178.469109 3.534396   6  
  31  3   8    2   0    2      3    182.500609 2.182750 185.199398 0.988581 186.298894 1.701882   6  
  32  4   8    4   1    7      2    188.497896 1.366443 190.380381 0.001026 190.496987 3.501064   6  
  33  2   8    2   1    7      7    194.495183 0.966591 195.977835 0.001082 196.094465 3.900842   6  
  34  4   8    4   1    8      7    200.492472 1.899484 202.908032 0.000916 203.024646 2.967921   6  
  35  4   8    2   0    5      7    206.489736 1.582958 208.588785 0.636397 209.338456 2.651373   6  
  36  4   8   -1   0    1      4    212.487021 0.000000 215.002558 0.667070 215.785534 2.201559   6  
  37  4   8    3   0    6      7    218.500975 1.549642 220.566688 0.535429 221.216401 2.784629   6  
  38  4   8    2   0    7      4    224.514909 1.149812 226.180816 0.687921 226.980451 3.034683   6  
  39  2   8    2   1    7      4    230.512204 1.016272 232.044827 0.770093 232.927764 3.084653   6  
  40  1   8    2   0    7      4    236.509472 1.649643 238.675153 1.194243 239.974560 2.035142   6  
  41  2   8    2   1    7      4    242.506745 0.799903 243.822815 0.675329 244.605795 3.401186   6  
  42  2   8    2   1    7      4    248.504029 1.366359 250.386511 0.102211 250.603084 3.401186   6  
  43  1   8   -1   0    1      1    254.501305 0.000000 257.016877 0.545029 257.666544 2.335002   6  
  44  1   8    1   1    2      6    260.498602 2.115832 263.130731 0.088144 263.330642 2.668180   6  
  45  2   8    1   0    2      4    266.512527 1.832721 268.861469 0.027394 268.994749 3.018022   6  
  46  2   8    2   1    6      7    272.509808 1.732954 274.758797 0.011536 274.892069 3.117970   6  
  47  4   8    2   0    1      7    278.507100 1.766257 280.789391 0.403755 281.305839 2.701490   6  
  48  2   8    2   1    6      7    284.504393 1.433014 286.453504 0.028208 286.586762 3.417851   6  
  49  1   8    1   1    6      7    290.501658 0.999882 292.017640 0.015806 292.150911 3.850990   6  
  50  2   8    2   1    6      7    296.498954 1.349706 298.364768 0.000974 298.481379 3.517803   6  
]; % This session completes at 06-Jan-2019 16:04:42, 304.005s after session start, 300s on 50 trials, totally 320.372s.

