%% MetaTwinsTri_behave_Conf for '_guess': starting at shiwei (       48.0000000000).6-Jan-2019 16:05:047.374317e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   8   -1   0    6      3      2.498871 0.000000   5.014426 0.661237   5.780721 2.218376   6  
   2  2   8    3   0    2      4      8.496150 1.299830  10.311988 0.001101  10.428607 3.567764   6  
   3  4   8    3   0    6      6     14.510085 1.249898  16.275950 0.100478  16.492512 3.517808   6  
   4  1   8    3   0    6      3     20.507364 1.782998  22.806322 0.101389  23.022901 2.984699   6  
   5  3   8    3   1    6      5     26.504646 1.432907  28.453764 0.106511  28.670336 3.334533   6  
   6  1   8    3   0    7      5     32.501921 1.766275  34.784234 0.077065  34.967487 3.034662   6  
   7  2   8    3   0    2      5     38.515868 1.832953  40.864809 0.266408  41.247962 2.768138   6  
   8  1   8    3   0    2      5     44.496501 2.299281  47.311883 0.000851  47.428497 2.568092   6  
   9  1   8    3   0    6      5     50.493769 1.916251  52.926016 0.453700  53.492416 2.501490   6  
  10  2   8    4   0    6      5     56.491050 1.882916  58.889978 0.559244  59.556339 2.434884   6  
  11  1   8    1   1    6      7     62.504998 2.199381  65.220439 0.146200  65.486977 2.518229   6  
  12  2   8    4   0    6      5     68.502273 2.166089  71.184396 0.000664  71.301018 2.701501   6  
  13  3   8    3   1    7      7     74.499561 1.316356  76.332062 0.799183  77.248316 2.751480   6  
  14  4   8    1   0    6      7     80.496842 2.382636  83.395533 0.208193  83.712052 2.285014   6  
  15  4   8    2   0    6      5     86.510789 1.732924  88.759760 0.085369  88.959676 3.051335   6  
  16  1   8    4   0    7      5     92.508075 2.199452  95.223514 0.270656  95.606663 2.401633   6  
  17  2   8    3   0    7      5     98.505356 1.533124 100.554423 0.800635 101.470680 2.534890   6  
  18  1   8    3   0    7      5    104.502628 1.499631 106.518395 0.560117 107.184755 2.818093   6  
  19  3   8    2   0    6      5    110.499911 2.199388 113.215346 0.284100 113.615166 2.384847   6  
  20  3   8   -1   0    1      3    116.497199 0.000000 119.012750 0.819836 119.945637 2.051706   6  
  21  3   8    3   1    2      5    122.494474 2.299190 125.309862 0.177947 125.593078 2.401576   6  
  22  4   8    1   0    1      5    128.491755 2.499219 131.507048 0.260076 131.873560 2.118425   6  
  23  3   8    2   0    2      5    134.505704 2.332569 137.354421 0.149729 137.620955 2.384979   6  
  24  4   8    3   0    6      5    140.502971 1.516199 142.535391 0.169485 142.818591 3.184620   6  
  25  1   8    4   0    7      5    146.500271 1.949476 148.965817 0.401258 149.482239 2.518246   6  
  26  4   8    1   0    7      8    152.497542 1.466283 154.479978 0.216460 154.813165 3.184600   6  
  27  4   8    2   0    3      8    158.511492 2.199282 161.226923 0.335751 161.676724 2.334980   6  
  28  4   8    4   1    3      6    164.508762 2.232607 167.257525 0.422620 167.790610 2.218391   6  
  29  2   8    2   1    7      8    170.489388 1.749593 172.755027 0.000835 172.871636 3.117824   6  
  30  3   8    4   0    7      5    176.503332 2.265952 179.285408 0.776120 180.168335 1.835107   6  
  31  1   8    2   0    7      5    182.500613 1.699534 184.716272 0.426369 185.249365 2.751402   6  
  32  1   8    1   1    7      8    188.497898 1.832846 190.846832 0.000851 190.963438 3.034644   6  
  33  4   8    2   0    2      5    194.495169 2.349260 197.360543 0.164615 197.643745 2.351648   6  
  34  3   8    3   1    7      5    200.509121 2.016083 203.041298 0.139846 203.291192 2.718151   6  
  35  3   8    3   1    7      5    206.506402 1.599607 208.622102 0.060907 208.788705 3.217913   6  
  36  4   8    3   0    1      5    212.503676 2.399257 215.419027 0.435289 215.968779 2.035126   6  
  37  1   8    4   0    6      5    218.500961 1.732849 220.749936 0.585884 221.449622 2.551568   6  
  38  2   8    2   1    7      5    224.514902 1.199601 226.230797 0.627865 226.963793 3.051344   6  
  39  1   8    1   1    7      5    230.512177 1.316339 232.344681 0.565790 233.027716 2.984685   6  
  40  4   8    3   0    2      5    236.492801 2.265928 239.274868 0.356667 239.741329 2.251548   6  
  41  1   8    4   0    7      5    242.490094 1.749563 244.755726 0.739263 245.605339 2.384858   6  
  42  4   8    1   0    7      5    248.504028 2.066052 251.086191 0.428399 251.619285 2.384903   6  
  43  3   8    3   1    7      5    254.501310 1.616267 256.633668 0.563555 257.316707 2.684817   6  
  44  2   8    4   0    7      5    260.498583 2.349157 263.363957 1.218734 264.696699 1.302118   6  
  45  3   8    2   0    6      5    266.495874 1.966096 268.978076 0.496720 269.594467 2.401629   6  
  46  2   8    2   1    7      5    272.509820 2.066030 275.091974 0.541357 275.741677 2.268361   6  
  47  3   8    1   0    7      5    278.507102 1.416150 280.439557 0.847700 281.405779 2.601540   6  
  48  1   8    4   0    7      5    284.504375 2.066011 287.086536 0.000971 287.203159 2.801440   6  
  49  2   8    1   0    7      5    290.501661 1.299754 292.317503 1.026605 293.450318 2.551559   6  
  50  3   8    3   1    7      5    296.515594 1.299678 298.331445 0.026421 298.464728 3.551090   6  
]; % This session completes at 06-Jan-2019 16:10:25, 304.003s after session start, 300s on 50 trials, totally 320.946s.

