%% MetaTwins_Computer_exp_Conf for 'shiwei': starting at 06-Jan-2019 15:34:16 (   737431.6489003935).
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  4   9    2   0   -1      6      2.498864 1.366270   4.381352 0.000000   6.380394 0.999598   7.379992   8.379547 0.619553   7  
   2  1   9    4   0   -1      6      9.495703 1.083338  11.094971 0.000000  13.094023 0.999594  14.093617  15.093158 0.902750   7  
   3  3   9    3   1    5      5     16.492543 1.549426  18.558262 1.175852  19.841007 0.999541  20.840548  21.840106 1.152589   7  
   4  3   9    1   0   -1      4     23.489359 2.615600  26.621272 0.000000  28.620325 0.999590  29.619915  30.619466 1.370045   9  
   5  2   9    1   0   -1      5     32.501940 1.765978  34.784236 0.000000  36.783288 0.999596  37.782884  38.782433 1.219604   8  
   6  1   9    3   0    6      5     40.498319 1.883167  42.897224 0.485572  43.496959 0.999543  44.496502  45.496054 0.502326   6  
   7  1   9    3   0   -1      6     46.512248 1.866373  48.894502 0.000000  50.893560 0.999597  51.893156  52.892695 1.119799   8  
   8  3   9    3   1    6      5     54.508629 1.950403  56.974188 1.061489  58.140320 0.999535  59.139856  60.139406 0.869451   7  
   9  4   9    4   1    7      6     61.505467 1.116351  63.138054 0.480850  63.737777 0.999544  64.737321  65.736871 1.268822   6  
  10  3   9    3   1    7      6     67.502742 1.249849  69.268606 0.548995  69.934971 0.999557  70.934528  71.934059 1.068916   6  
  11  3   9    3   1    7      5     73.500026 2.199114  76.215463 0.361728  76.698570 0.999548  77.698118  78.697673 1.302575   7  
  12  2   9    2   1   -1      6     80.496849 1.549309  82.562580 0.000000  84.561621 0.999605  85.561226  86.560777 1.436303   8  
  13  1   9    3   0    7      6     88.509883 1.766051  90.792177 1.224691  92.124926 0.999528  93.124454  94.124012 0.886104   7  
  14  1   9    2   0    6      4     95.506721 2.065532  98.088872 0.628838  98.838540 0.999541  99.838081 100.837630 1.169328   7  
  15  2   9    4   0   -1      3    102.503552 1.732427 104.752528 0.000000 106.751569 0.999602 107.751171 108.750714 1.253054   8  
  16  3   9    3   1   -1      5    110.499907 1.932694 112.948821 0.000000 114.947857 0.999595 115.947452 116.947007 1.053136   8  
  17  2   9    2   1    5      6    118.496294 1.399392 120.412106 0.310355 120.828575 0.999541 121.828116 122.827663 1.168821   6  
  18  2   9    3   0    5      2    124.493585 1.999146 127.009107 0.142834 127.258983 0.999557 128.258540 129.258088 0.735654   6  
  19  3   9    3   1   -1      5    130.490859 1.616069 132.623226 0.000000 134.622268 0.999597 135.621864 136.621417 1.369580   8  
  20  3   9    3   1    5      6    138.487237 1.832911 140.836281 0.758910 141.702441 0.999552 142.701994 143.701537 1.285806   7  
]; % This session completes at 06-Jan-2019 15:36:51, 147.001s after session start, 143s on 20 trials, totally 155.488s.

