%% MetaTwins_RDMsc_training for 'maoyanguang': starting at _feedback (       48.0000000000).6-Jan-2019 18:15:45 for '7.374318e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  18  3    4   0    0    6    2.499138   0    0  1.449890   4.081761 0.820246   5.014664 0.999545   6.014210   7.013759 0.985606   6  
   2  18  1    1   1    0    7    8.496407   0    0  2.066473  10.712039 0.832872  11.661647 0.999518  12.661165  13.660729 1.335856   7  
   3  18  2    4   0    0    7   15.493220   0    0  1.984043  17.592281 0.537081  18.241983 0.999477  19.241459  20.241046 0.752407   6  
   4  18  4    2   0    0    3   21.490483   0    0  2.133098  23.806129 1.317980  25.238776 0.999550  26.238326  27.237871 0.752718   7  
   5  20  1    4   0    0    6   28.503966   0    0  2.350683  30.986165 1.374704  32.468829 0.999517  33.468347  34.467904 0.536304   7  
   6  20  1    1   1    0    7   35.500763   0    0  1.816467  37.483206 0.504668  38.099607 0.999513  39.099121  40.098692 0.902307   6  
   7  20  1    4   0    0    6   41.514704   0    0  1.883965  43.513790 0.953398  44.579969 0.999544  45.579513  46.579054 1.435900   7  
   8  20  4    1   0    0    7   48.511510   0    0  1.716466  50.394015 1.302042  51.810002 0.999561  52.809563  53.809139 1.202595   7  
   9  22  3    1   0    0    4   55.508307   0    0  2.033050  57.690653 1.870859  59.673099 0.999548  60.672647  61.672181 1.336368   8  
  10  22  3    1   0    0    2   63.504663   0    0  2.332904  65.986882 1.291437  67.386242 0.999541  68.385784  69.385348 0.619559   7  
  11  25  2    1   0    0    1   70.501495   0    0  2.200817  72.850427 0.626997  73.583431 0.999544  74.582974  75.582509 1.419214   7  
  12  25  3    1   0    0    3   77.498294   0    0  1.949728  79.597323 1.207474  80.913407 0.999558  81.912965  82.912510 1.085966   7  
  13  28  2    3   0    0    1   84.495117   0    0  1.867066  86.477549 0.548934  87.143908 0.999548  88.143457  89.142988 0.852363   6  
  14  28  3    1   0    0    3   90.492378   0    0  2.432796  93.074550 1.384220  94.573852 0.999555  95.573407  96.572947 1.419536   8  
  15  31  1    1   1    0    7   98.488737   0    0  1.600019 100.254636 0.672125 101.037584 0.999537 102.037120 103.036664 0.952113   6  
  16  31  2    2   1    0    8  104.502610   0    0  1.918506 106.601709 0.975878 107.684552 0.999545 108.684097 109.683622 1.319297   7  
  17  27  4    4   1    0    8  111.499467   0    0  1.399896 113.015448 0.937399 114.064973 0.999545 115.064517 116.064062 0.935646   6  
  18  27  2    2   1    0    8  117.496759   0    0  1.735154 119.362575 0.973155 120.445413 0.999543 121.444955 122.444484 0.552514   6  
  19  24  4    4   1    0    8  123.510669   0    0  1.233307 124.860084 0.858406 125.826290 0.999547 126.825837 127.825380 1.185523   6  
  20  24  1    1   1    0    8  129.507949   0    0  1.500754 131.173878 0.894994 132.190051 0.999556 133.189608 134.189137 0.819025   6  
  21  21  1    1   1    0    5  135.505193   0    0  2.033038 137.670911 1.230402 139.020274 0.999551 140.019825 141.019375 0.986055   7  
  22  21  4    4   1    0    7  142.502010   0    0  1.316575 143.934708 0.946256 145.000881 0.999547 146.000428 146.999972 1.002275   6  
  23  18  3    3   1    0    5  148.499295   0    0  2.483619 151.114778 0.874527 152.097658 0.999539 153.097198 154.096724 0.902796   7  
  24  18  1    1   1    0    5  155.496088   0    0  1.733244 157.411900 1.190518 158.711292 0.999550 159.710843 160.710394 1.285834   7  
  25  16  1    1   1    0    1  162.492899   0    0  1.849743 164.458682 0.780026 165.358264 0.999552 166.357816 167.357368 0.635754   6  
  26  16  2    3   0    0    6  168.506841   0    0  2.183801 170.839104 0.805240 171.755358 0.999561 172.754919 173.754430 1.252634   7  
  27  16  1    1   1    0    1  175.503638   0    0  2.049721 177.702672 0.990618 178.802139 0.999549 179.801688 180.801252 1.202621   7  
  28  16  2    3   0    0    6  182.500475   0    0  2.500397 185.199206 0.579718 185.898912 0.999546 186.898458 187.897997 1.102719   7  
  29  16  4    3   0    0    1  189.497261   0    0  1.783172 191.429733 0.497834 192.046113 0.999539 193.045652 194.045230 0.952267   6  
  30  18  4    4   1    0    6  195.494542   0    0  1.267493 196.877248 0.551558 197.543608 0.999533 198.543141 199.542692 1.452089   6  
  31  18  1    1   1    0    8  201.508467   0    0  1.350044 202.974471 0.936601 204.024010 0.999524 205.023533 206.023089 0.985606   6  
  32  16  2    2   1    0    8  207.505748   0    0  1.917156 209.554815 0.750991 210.421137 0.999489 211.420625 212.420159 0.585813   6  
  33  16  3    3   1    0    8  213.502990   0    0  1.766434 215.385480 1.394373 216.884804 0.999543 217.884347 218.883885 1.119311   7  
  34  14  4    2   0    0    4  220.499802   0    0  2.465959 223.131954 1.164624 224.414702 0.999545 225.414246 226.413788 0.586263   7  
  35  14  4    3   0    0    5  227.496639   0    0  1.900467 229.512380 1.430582 231.061671 0.999532 232.061203 233.060752 0.936031   7  
  36  15  3    3   1    0    5  234.493461   0    0  1.849629 236.475897 0.602762 237.192231 0.999521 238.191752 239.191308 0.802190   6  
  37  15  1    1   1    0    5  240.507376   0    0  1.917225 242.539782 0.961125 243.605969 0.999540 244.605509 245.605028 1.402562   7  
  38  14  3    3   1    0    8  247.504175   0    0  1.333366 248.970180 1.182550 250.269591 0.999539 251.269130 252.268685 0.735716   6  
  39  14  3    3   1    0    8  253.501455   0    0  1.367978 255.000770 0.733878 255.850341 0.999591 256.849931 257.849459 1.152240   6  
  40  13  3    3   1    0    8  259.498703   0    0  1.783038 261.431056 0.420409 261.964271 0.999522 262.963793 263.963360 1.035572   6  
  41  13  2    2   1    0    8  265.495986   0    0  1.434086 267.061933 0.584984 267.761623 0.999546 268.761169 269.760701 1.235542   6  
  42  12  3    3   1    0    8  271.493246   0    0  1.250030 272.892625 0.999305 274.008770 0.999541 275.008311 276.007867 0.985613   6  
  43  12  4    3   0    0    8  277.507178   0    0  1.184140 278.839916 0.341601 279.289696 0.999549 280.289245 281.288788 0.718616   5  
  44  12  2    2   1    0    8  282.504894   0    0  1.633175 284.254073 0.335972 284.703920 0.999513 285.703433 286.702977 1.302102   6  
  45  12  4    3   0    0    8  288.502177   0    0  1.633950 290.284703 0.366936 290.767806 0.999552 291.767358 292.766892 1.235504   6  
  46  12  1    4   0    0    7  294.499433   0    0  2.182899 296.798399 0.720071 297.631335 0.999544 298.630879 299.630436 1.369121   7  
  47  13  4    2   0    0    5  301.496258   0    0  2.300237 303.961788 0.956639 305.027974 0.999542 306.027516 307.027055 0.969402   7  
  48  13  2    2   1    0    6  308.509705   0    0  1.649851 310.308780 1.302984 311.724920 0.999550 312.724469 313.724016 1.285929   7  
  49  13  4    3   0    0    6  315.506522   0    0  1.866445 317.488961 1.063140 318.671769 0.999532 319.671301 320.670847 1.335914   7  
  50  13  2   -1   0    0    2  322.503325   0    0  0.000000 325.018896 0.171492 325.302056 0.999571 326.301627 327.301156 0.702417   6  
  51  13  4    2   0    0    6  328.500607   0    0  1.350812 329.966618 0.309844 330.383097 0.999544 331.382642 332.382183 0.618659   5  
  52  14  2    2   1    0    6  333.498317   0    0  1.866317 335.497457 0.573242 336.180446 0.999537 337.179983 338.179545 0.819013   6  
  53  14  1    1   1    0    8  339.495609   0    0  1.484352 341.111549 1.032713 342.261012 0.999549 343.260560 344.260090 0.735734   6  
  54  13  3    2   0    0    8  345.492859   0    0  1.533305 347.175463 0.769798 348.058380 0.999526 349.057906 350.057467 0.935615   6  
  55  13  4    3   0    0    6  351.490149   0    0  2.350420 353.955681 0.873522 354.938570 0.999546 355.938117 356.937652 1.052713   7  
  56  14  1    1   1    0    3  358.503593   0    0  2.416201 361.069111 1.309675 362.485137 0.999535 363.484672 364.484219 0.519527   7  
  57  14  3   -1   0    0    2  365.500421   0    0  0.000000 368.015949 0.053271 368.182540 0.999539 369.182079 370.181629 0.819024   6  
  58  14  2    2   1    0    3  371.497682   0    0  2.299611 373.946596 0.920584 374.979423 0.999551 375.978974 376.978576 1.019175   7  
  59  13  3    1   0    0    1  378.511165   0    0  2.183706 380.843438 0.525053 381.476482 0.999540 382.476022 383.475549 0.535864   6  
  60  13  2   -1   0    0    2  384.508412   0    0  0.000000 387.023950 0.268341 387.407118 0.999525 388.406643 389.406200 0.602451   6  
]; % This session completes at 06-Jan-2019 18:22:33, 392.004s after session start, 388s on 60 trials, totally 408.742s, correctness is 51.667%.

