%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhaoboxin (       48.0000000000).6-Jan-2019 19:05:577.374318e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   15   2   0    4    2.498861 1.583224   4.281304 1.348288   5.747390 2.251683   6  
   2  3   15   3   1    6    8.496128 1.549788  10.212028 1.375032  11.694683 2.301618   6  
   3  4   15   3   0    5   14.493423 1.699916  16.359255 0.937847  17.408780 2.584773   6  
   4  3   15   3   1    5   20.490703 1.566560  22.173178 1.724906  24.005781 1.985000   6  
   5  1   15   1   1    5   26.504643 1.983002  28.603688 1.235293  29.953106 2.051773   6  
   6  1   15   1   1    6   32.501920 1.583301  34.201092 1.191672  35.500572 2.501585   6  
   7  1   15   2   0    6   38.499216 1.500120  40.181764 0.474644  40.764856 3.234583   6  
   8  1   15   4   0    4   44.496491 1.716559  46.328995 1.331649  47.778330 2.218395   6  
   9  3   15   1   0    2   50.510421 1.766591  52.409580 0.749057  53.275843 2.734819   6  
  10  1   15   3   0    5   56.507719 1.516632  58.190128 0.838307  59.139861 2.868084   6  
  11  1   15   2   0    6   62.505000 1.283374  63.954349 1.284758  65.353697 2.651515   6  
  12  1   15   3   0    5   68.502266 1.666574  70.318141 0.756738  71.184401 2.818048   6  
  13  3   15   2   0    6   74.499559 1.416619  76.132043 0.746509  76.998430 3.001269   6  
  14  3   15   2   0    5   80.496849 1.699728  82.329341 0.554329  82.995716 3.001217   6  
  15  2   15   3   0    6   86.510784 1.433737  88.143375 0.551090  88.809746 3.201253   6  
  16  3   15   1   0    5   92.508063 1.249948  93.990726 1.264792  95.373431 2.634857   6  
  17  4   15   1   0    6   98.505345 1.516650 100.287857 0.812531 101.220787 2.784789   6  
  18  3   15   3   1    6  104.502615 1.416845 106.118560 0.322016 106.551692 3.451161   6  
  19  1   15   2   0    6  110.499909 1.799762 112.548959 0.521834 113.182034 2.818110   6  
  20  4   15   1   0    3  116.497180 1.149930 117.913217 0.598150 118.629563 3.367862   6  
