%% MetaTwins_RDMsc_training for 'yanghongli': starting at _feedback (       49.0000000000).2-Jan-2019 10:57:58 for '7.374375e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  10  4    3   0    0    8    2.499004   0    0  2.066281   4.714615 0.182547   5.014523 0.999549   6.014072   7.013617 0.985622   6  
   2  10  4    4   1    0    4    8.496286   0    0  1.299961   9.912304 0.962826  10.995150 0.999544  11.994694  12.994245 1.002267   6  
   3  10  2    3   0    0    6   14.493562   0    0  1.416916  16.076175 0.810167  16.992440 0.999530  17.991970  18.991524 1.002253   6  
   4  10  3    3   1    0    6   20.507506   0    0  1.583455  22.306692 0.587945  23.006366 0.999556  24.005922  25.005456 1.002250   6  
   5  10  1    1   1    0    7   26.504783   0    0  1.333265  27.954117 0.803617  28.870376 0.999546  29.869922  30.869459 1.135533   6  
   6   9  2    3   0    0    7   32.502053   0    0  1.266687  33.934751 0.203760  34.251270 0.999550  35.250820  36.250359 0.751901   5  
   7   9  4    3   0    0    7   37.499801   0    0  1.000306  38.615814 0.230108  38.965802 0.999554  39.965356  40.964883 1.035116   5  
   8  10  1    2   0    0    3   42.497525   0    0  1.799710  44.413324 0.945588  45.462849 0.999544  46.462393  47.461940 0.535781   6  
   9  10  2    3   0    0    3   48.494812   0    0  2.082794  50.693817 0.420302  51.226893 0.999552  52.226444  53.225997 0.768996   6  
  10  11  3    4   0    0    4   54.492091   0    0  2.482692  57.090913 1.157616  58.357001 0.999543  59.356543  60.356089 0.636189   7  
  11  11  1    1   1    0    6   61.505573   0    0  1.499916  63.171473 1.330951  64.620822 0.999557  65.620379  66.619923 1.385822   7  
  12  11  2    4   0    0    5   68.502392   0    0  1.483230  70.101586 0.840918  71.051242 0.999539  72.050781  73.050334 0.952232   6  
  13  11  2    2   1    0    8   74.499678   0    0  1.483114  76.098852 0.299470  76.515435 0.999543  77.514978  78.514519 1.485310   6  
  14  11  4    4   1    0    5   80.496965   0    0  1.633214  82.246175 0.630877  82.995811 0.999556  83.995367  84.994910 1.002207   6  
  15  10  3    1   0    0    1   86.494236   0    0  2.399498  89.059736 1.300209  90.475756 0.999532  91.475288  92.474851 0.519533   7  
  16  10  4    4   1    0    7   93.491066   0    0  1.366472  94.973725 0.431312  95.523469 0.999553  96.523023  97.522559 1.468643   6  
  17  10  3    4   0    0    6   99.488346   0    0  1.083435 100.704456 0.458674 101.270863 0.999545 102.270408 103.269962 0.718530   5  
  18  10  1    3   0    0    7  104.502739   0    0  1.433223 106.068678 0.335093 106.518482 0.999544 107.518026 108.517567 1.485309   6  
  19  11  1    4   0    0    6  110.500007   0    0  0.949988 111.599520 0.409118 112.115936 0.999549 113.115485 114.115036 0.885110   5  
  20  11  4    4   1    0    4  115.497743   0    0  1.566553 117.180309 0.427088 117.713408 0.999543 118.712951 119.712493 1.285371   6  
  21  11  3    4   0    0    4  121.495022   0    0  1.766405 123.394165 0.196157 123.710677 0.999552 124.710229 125.709783 1.285354   6  
  22  11  1    3   0    0    7  127.492297   0    0  1.583161 129.208197 0.273681 129.591361 0.999541 130.590902 131.590445 1.401975   6  
  23  12  2    2   1    0    2  133.489577   0    0  2.217208 135.821854 1.433095 137.371155 0.999544 138.370699 139.370240 0.619454   7  
  24  12  1    3   0    0    3  140.503062   0    0  1.633011 142.302252 0.218767 142.635425 0.999551 143.634976 144.634531 1.368636   6  
  25  12  4    1   0    0    6  146.500342   0    0  1.200041 147.816411 0.768716 148.699350 0.999537 149.698887 150.698436 1.302014   6  
  26  13  3   -1   0    0    3  152.497629   0    0  0.000000 155.013151 0.065050 155.196397 0.999557 156.195954 157.195501 0.802224   6  
  27  13  3    3   1    0    3  158.494902   0    0  1.716383 160.327402 0.329028 160.760543 0.999550 161.760093 162.759634 1.235361   6  
  28  13  3    3   1    0    3  164.492194   0    0  1.116712 165.791458 0.824250 166.724512 0.999534 167.724046 168.723597 1.268669   6  
  29  12  2    2   1    0    8  170.489463   0    0  2.249538 172.871724 0.074907 173.054964 0.999543 174.054507 175.054057 0.935483   6  
  30  12  3    3   1    0    7  176.486741   0    0  1.483052 178.152666 0.725687 178.985619 0.999536 179.985154 180.984698 1.002115   6  
