%% MetaTwinsTri_behave_Conf for '_notguess': starting at yanghongwei (       49.0000000000).2-Jan-2019 12:48:377.374375e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   9    4   1    1    2.498853 2.116311   4.781118 0.854913   5.747381 2.251690   6  
   2  3   9    3   1    8    8.496146 1.567507  10.212004 0.325730  10.645228 3.351146   6  
   3  2   9    2   1    8   14.493422 1.649839  16.275952 0.716928  17.108896 2.884653   6  
   4  4   9    1   0    1   20.490717 2.133785  22.773003 0.709324  23.589319 2.401607   6  
   5  4   9    3   0    1   26.504637 2.099695  28.786943 1.508537  30.402884 1.601984   6  
   6  3   9    3   1    8   32.501930 1.217559  33.884631 0.389444  34.384407 3.617770   6  
   7  3   9    3   1    8   38.499196 1.066930  39.715322 0.352004  40.181765 3.817653   6  
   8  1   9    3   0    8   44.513139 1.733937  46.462260 0.458693  47.028661 2.984708   6  
   9  2   9    2   1    8   50.510398 0.966920  51.626602 0.141080  51.876455 4.134183   6  
  10  4   9    1   0    1   56.507686 1.916498  58.556781 0.732889  59.406371 2.601536   6  
  11  1   9    1   1    1   62.504983 2.183641  64.803939 0.686141  65.603581 2.401628   6  
  12  1   9    3   0    1   68.502255 2.366298  71.067568 1.033722  72.217227 1.785222   6  
  13  3   9    3   1    8   74.499557 1.367798  76.065493 0.271482  76.448657 3.551052   6  
  14  1   9    3   0    8   80.496806 1.083472  81.729492 0.255047  82.096103 3.900831   6  
  15  3   9    2   0    1   86.494089 1.767282  88.426553 0.690734  89.226191 2.768126   6  
  16  4   9    3   0    8   92.508023 1.766446  94.457166 1.428516  96.006441 2.001813   6  
  17  2   9    2   1    8   98.505313 1.284438  99.971317 0.203445 100.287841 3.717716   6  
  18  2   9    2   1    1  104.502578 1.699756 106.401735 1.366814 107.884389 2.118423   6  
  19  1   9    1   1    8  110.499886 2.000982 112.648899 0.240631 112.998750 3.001379   6  
  20  3   9    2   0    8  116.497145 0.866916 117.546694 0.258400 117.913167 4.084197   6  
  21  2   9    2   1    8  122.494422 1.016837 123.693900 0.241374 124.043717 3.950932   6  
  22  1   9    1   1    8  128.508377 1.284089 129.941051 0.286862 130.340872 3.667708   6  
  23  4   9    2   0    1  134.505637 1.933108 136.638010 0.782517 137.537598 2.468226   6  
  24  3   9    3   1    8  140.502927 1.417291 142.102172 0.344104 142.551989 3.451163   6  
  25  3   9    3   1    1  146.500193 1.916251 148.565941 0.652013 149.332246 2.668068   6  
  26  4   9    2   0    1  152.497462 1.584349 154.213312 0.659270 154.979687 3.017996   6  
  27  1   9    2   0    8  158.511403 1.916438 160.610474 0.244066 160.960302 3.051342   6  
  28  4   9    4   1    8  164.508705 1.000973 165.624860 0.240420 165.974705 4.034229   6  
  29  1   9    4   0    8  170.505968 1.199795 171.872025 0.497687 172.488412 3.517782   6  
  30  1   9    2   0    8  176.503260 0.934490 177.602769 0.264533 177.985925 4.017555   6  
  31  4   9    4   1    8  182.500528 0.950212 183.616652 0.744929 184.466295 3.534466   6  
  32  2   9    2   1    8  188.497802 0.883440 189.530704 0.263298 189.913831 4.084212   6  
  33  2   9    2   1    1  194.495073 2.216291 196.927328 1.396607 198.443308 1.552018   6  
  34  3   9    4   0    8  200.492375 1.117767 201.775130 0.223186 202.108306 3.884299   6  
  35  1   9    2   0    1  206.489639 1.916458 208.588710 0.800192 209.504944 2.484853   6  
  36  2   9    2   1    8  212.486931 1.101095 213.786342 0.250078 214.152836 3.834326   6  
  37  1   9    1   1    8  218.500852 0.850253 219.517095 0.240863 219.866916 4.134004   6  
  38  4   9    4   1    8  224.514792 0.816933 225.497686 0.339446 225.947485 4.067549   6  
  39  4   9    4   1    8  230.512068 0.850206 231.544948 0.343134 231.994759 4.017573   6  
  40  2   9    4   0    1  236.509360 1.183436 237.858761 0.723890 238.691705 3.317895   6  
  41  3   9    3   1    8  242.506685 1.501212 244.255706 0.416289 244.788940 3.217955   6  
  42  1   9    1   1    8  248.503908 1.083379 249.820022 0.395207 250.336411 3.667729   6  
  43  2   9    4   0    1  254.501206 1.167686 255.833798 1.132523 257.083364 2.918076   6  
  44  2   9    3   0    8  260.498475 0.966871 261.631305 0.315232 262.064436 3.934247   6  
  45  1   9    3   0    1  266.495765 1.267963 267.911776 1.197556 269.227860 2.768135   6  
  46  2   9    4   0    1  272.493025 2.132965 274.825320 0.813435 275.758213 2.234961   6  
  47  3   9    3   1    8  278.490320 0.901061 279.573160 0.257041 279.939666 4.050878   6  
  48  4   9    1   0    1  284.504249 1.616536 286.270139 1.047687 287.436256 2.568229   6  
  49  1   9    1   1    3  290.501535 1.750738 292.400683 1.626406 294.133219 1.868534   6  
  50  2   9    2   1    8  296.498809 0.950608 297.614973 0.228580 297.948148 4.050878   6  
]; % This session completes at 12-Jan-2019 12:53:58, 304.005s after session start, 300s on 50 trials, totally 320.422s.

