%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at lifeihong (       49.0000000000).2-Jan-2019 16:31:277.374377e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   14   3   1    6      8      2.498863 0.983568   3.998188 1.228485   5.347570 2.651534   6  
   2  4   14   4   1    3      2      8.496134 1.749928  10.761779 0.182493  11.061644 2.934708   6  
   3  1   14   3   0    5      5     14.493424 1.699669  16.709084 1.045543  17.875223 2.118398   6  
   4  2   14   3   0    4      6     20.490716 1.066493  22.073315 1.648390  23.839189 2.151691   6  
   5  2   14   3   0    6      1     26.504633 1.649573  28.670321 0.618188  29.403326 2.601480   6  
   6  4   14   3   0    2      1     32.501921 2.315951  35.333977 0.778142  36.216896 1.785177   6  
   7  3   14   3   1    4      8     38.499201 0.916581  39.931882 1.245211  41.297929 2.701409   6  
   8  3   14   3   1    5      8     44.496479 1.133164  46.145734 0.952772  47.211920 2.784685   6  
   9  2   14   2   1    6      8     50.493761 1.133138  52.143012 1.139411  53.392455 2.601414   6  
  10  1   14   2   0    7      1     56.491043 0.733336  57.740481 0.962331  58.823320 3.167815   6  
  11  4   14   3   0    6      8     62.488312 1.049846  64.054275 1.495187  65.670208 2.318196   6  
  12  1   14   1   1    4      1     68.485597 1.699539  70.701261 0.586188  71.400938 2.584718   6  
  13  4   14   2   0    6      1     74.516191 2.349268  77.381561 0.185572  77.681417 2.335019   6  
  14  3   14   2   0    5      1     80.513483 1.333044  82.362634 0.991149  83.462140 2.551555   6  
  15  1   14   2   0    3      1     86.510764 2.465887  89.492724 0.981829  90.592229 1.418758   6  
  16  3   14   2   0    3      1     92.508026 2.415878  95.440030 1.210228  96.756110 1.252146   6  
  17  1   14  -1   0    3      2     98.505308 0.000000 101.020839 1.129212 102.270272 1.735270   6  
  18  1   14   2   0    3      4    104.502585 1.566281 106.584981 1.118285 107.817751 2.185069   6  
  19  4   14  -1   0    1      4    110.499876 0.000000 113.015402 0.821525 113.948308 2.051784   6  
  20  4   14   4   1    6      2    116.513813 1.233041 118.263009 0.744597 119.112625 2.901406   6  
  21  3   14   3   1    4      2    122.511086 1.549519 124.576817 1.225096 125.909548 2.101775   6  
  22  4   14   1   0    5      6    128.508361 0.799910 129.824428 1.321107 131.257117 2.751480   6  
  23  4   14   4   1    4      2    134.505649 1.066516 136.088259 1.118166 137.321044 2.684835   6  
  24  2   14   2   1    2      1    140.502924 2.265731 143.284993 0.397097 143.801428 2.201722   6  
  25  4   14   4   1    6      1    146.500202 1.316482 148.332699 1.654782 150.098577 1.901860   6  
  26  2   14   1   0    5      1    152.497481 2.099231 155.112968 1.272306 156.495663 1.502052   6  
  27  1   14   2   0    2      6    158.494764 2.449259 161.460091 0.676424 162.243066 1.751934   6  
  28  1   14   2   0    3      1    164.508706 2.449194 167.474016 1.276737 168.856726 1.152209   6  
  29  3   14   2   0    6      1    170.505979 1.116453 172.138566 1.413127 173.671206 2.335000   6  
  30  2   14   3   0    6      2    176.503250 1.049811 178.069223 0.896582 179.085415 2.918082   6  
  31  2   14   1   0    6      6    182.500539 0.766779 183.783297 1.063572 184.966090 3.034678   6  
  32  3   14   1   0    3      5    188.497828 2.282584 191.296542 0.529632 191.946257 2.051783   6  
  33  2   14  -1   0    2      4    194.495089 0.000000 197.010649 1.588794 198.709858 1.285450   6  
  34  1   14   1   1    6      6    200.492378 0.999714 202.008366 0.894656 203.007914 2.984665   6  
  35  3   14  -1   0    2      3    206.506311 2.499179 209.021868 1.245650 210.387892 1.618597   6  
  36  1   14   1   1    3      6    212.503593 0.899882 213.919610 1.451756 215.485580 2.518182   6  
  37  2   14  -1   0    3      4    218.500874 0.000000 221.016436 1.011315 222.132558 1.868472   6  
  38  4   14   3   0    2      1    224.498160 2.415888 227.430156 0.605756 228.146497 1.851806   6  
  39  3   14   1   0    1      1    230.495421 2.499088 233.510734 0.659308 234.277048 1.718516   6  
  40  2   14   1   0    6      1    236.492711 1.233175 238.241916 0.785040 239.141517 2.851304   6  
  41  2   14  -1   0    1      1    242.489991 0.000000 245.005541 0.962213 246.088366 1.901722   6  
  42  4   14   3   0    6      1    248.487272 1.199729 250.203154 0.944696 251.252680 2.734674   6  
  43  2   14  -1   0    1      3    254.501214 0.000000 257.016751 0.613500 257.749737 2.251536   6  
  44  3   14  -1   0    1      1    260.515139 2.499089 263.030707 0.331124 263.480474 2.534903   6  
  45  4   14   1   0    2      1    266.512422 2.066185 269.094594 0.723616 269.927540 2.085115   6  
  46  3   14   3   1    3      1    272.509704 1.016392 274.042342 0.828739 274.991908 3.018028   6  
  47  3   14   3   1    5      1    278.506989 0.983166 280.006307 1.032442 281.155788 2.851422   6  
  48  1   14   1   1    4      8    284.504267 0.750029 285.770359 1.248702 287.136408 2.868081   6  
  49  2   14   1   0    6      1    290.501548 1.016270 292.034170 1.060224 293.200310 2.801456   6  
  50  2   14   1   0    3      6    296.498820 2.166037 299.180935 0.570933 299.863961 2.135087   6  
  51  3   14   4   0    3      6    302.512762 2.399273 305.428097 0.774264 306.311044 1.701944   6  
  52  3   14   4   0    6      5    308.510043 0.899933 309.926064 0.820672 310.858981 3.151279   6  
  53  1   14   2   0    5      8    314.507322 0.716699 315.740100 1.584685 317.439326 2.568228   6  
  54  2   14   3   0    6      2    320.504593 1.016319 322.037238 1.111680 323.270010 2.734815   6  
  55  4   14  -1   0    3      6    326.501880 2.499167 329.017422 1.036292 330.166871 1.835230   6  
  56  1   14   1   1    5     -1    332.499149 1.249756 334.265013 1.029685 335.414504 2.584882   6  
  57  4   14   3   0    6      2    338.496440 1.599546 340.612147 0.859228 341.578372 2.418299   6  
  58  4   14  -1   0    3      3    344.510382 0.000000 347.025926 1.149510 348.291989 1.718621   6  
  59  3   14   2   0    3      1    350.507655 1.899293 352.923232 0.766459 353.806160 2.201719   6  
  60  2   14   2   1    3      1    356.504928 1.849282 358.870532 0.662971 359.653510 2.351657   6  
  61  3   14   1   0    6      8    362.502208 0.899888 363.918233 1.162765 365.200986 2.801458   6  
  62  4   14   1   0    4      1    368.499487 1.599605 370.615196 1.237691 371.964594 2.035124   6  
  63  2   14   2   1    2      6    374.496770 0.849901 375.862817 1.531318 377.512070 2.484938   6  
  64  1   14   1   1    5      5    380.494049 0.749974 381.760148 0.914127 382.793009 3.201266   6  
  65  1   14   4   0    2      2    386.491331 2.165971 389.173451 0.418315 389.706544 2.284982   6  
  66  2   14   1   0    6      6    392.505279 0.799925 393.821339 1.182337 395.120751 2.884693   6  
  67  1   14   2   0    2      1    398.502545 1.966112 400.984756 1.099920 402.200870 1.801852   6  
  68  2   14  -1   0    2      4    404.499817 0.000000 407.032018 1.172897 408.314758 1.685215   6  
  69  3   14   1   0    2      1    410.497099 2.099357 413.112588 0.554062 413.778944 2.218311   6  
  70  3   14   1   0    3      1    416.494391 1.666191 418.676726 1.165793 419.959478 2.035036   6  
  71  2   14   2   1    3      1    422.491669 1.932773 424.940557 0.818666 425.873473 2.118306   6  
  72  4   14   1   0    4     -1    428.488946 1.932756 430.937825 0.926920 431.970696 2.018349   6  
  73  1   14  -1   0    2      3    434.486220 0.000000 437.018437 1.258470 438.384442 1.601875   6  
  74  1   14  -1   0    1      1    440.500158 0.000000 443.015683 0.367203 443.498810 2.501422   6  
  75  2   14   1   0    2      8    446.497453 2.149312 449.162908 0.567120 449.845927 2.151562   6  
  76  2   14   1   0    3      1    452.511375 1.749522 454.777013 0.899494 455.793225 2.218375   6  
  77  3   14   3   1    3      2    458.508656 0.983216 460.007977 1.284882 461.407346 2.601536   6  
  78  1   14   3   0    3      1    464.505933 2.116058 467.138078 0.817452 468.070990 1.935169   6  
  79  3   14   3   1    4      1    470.503223 1.216503 472.235786 1.447451 473.801715 2.201722   6  
  80  3   14   4   0    2     -1    476.500493 2.049517 479.065992 1.214408 480.398732 1.601982   6  
  81  4   14   1   0    3      2    482.514454 1.999387 485.029956 0.670355 485.812942 2.201718   6  
  82  1   14  -1   0    1      2    488.511708 2.499211 491.027272 0.340747 491.477044 2.534905   6  
  83  4   14   4   1    2      1    494.508986 2.316022 497.341044 0.401035 497.857476 2.151744   6  
  84  4   14   1   0    2      5    500.506259 2.399282 503.421609 0.411007 503.938043 2.068461   6  
  85  3   14   1   0    4      2    506.503553 0.783488 507.802960 1.447609 509.368910 2.634878   6  
  86  4   14   2   0    3      1    512.500829 2.182722 515.199611 0.777114 516.082540 1.918514   6  
  87  4   14   3   0    4      1    518.498102 1.349785 520.363924 1.312450 521.796610 2.201733   6  
  88  4   14   2   0    2      5    524.495392 2.382635 527.394073 0.376922 527.877192 2.118426   6  
  89  2   14   2   1    4     -1    530.509322 1.582914 532.608379 1.146743 533.874473 2.135080   6  
  90  1   14  -1   0    1      4    536.506608 2.499148 539.022147 0.491745 539.621858 2.384974   6  
]; % This session completes at 12-Jan-2019 16:40:49, 544.005s after session start, 540s on 90 trials, totally 561.835s.

