%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at lifeiyue (       49.0000000000).2-Jan-2019 16:10:487.374377e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   13   2   1    7      6      2.498992 0.583680   3.598508 1.230132   4.947903 3.051297   6  
   2  2   13   2   1    6      5      8.496284 0.966605   9.978950 1.140276  11.245033 2.751400   6  
   3  4   13   3   0    4      6     14.510216 1.716215  16.742555 0.905884  17.758756 2.251695   6  
   4  2   13   2   1    4      7     20.507520 1.583663  22.606563 1.219226  23.939290 2.068445   6  
   5  4   13   4   1    5      5     26.504768 1.583095  28.603831 1.638868  30.353030 1.651991   6  
   6  1   13   1   1    4      7     32.502081 1.950711  34.967613 1.036403  36.117102 1.885196   6  
   7  3   13   3   1    7      7     38.499338 0.983247  39.998655 0.807411  40.914915 3.084502   6  
   8  1   13   1   1    4      2     44.513329 1.633714  46.662309 1.259015  48.028357 1.985156   6  
   9  4   13   2   0    5      5     50.510552 1.549447  52.576295 0.966504  53.659133 2.351644   6  
  10  4   13   4   1    6      4     56.507851 1.333659  58.357025 1.389370  59.856326 2.151736   6  
  11  1   13   2   0    5      3     62.488443 1.599413  64.604156 1.155764  65.870259 2.118352   6  
  12  1   13   1   1    4      6     68.502400 1.866385  70.884657 0.614677  71.617662 2.384968   6  
  13  3   13   3   1    5      7     74.499676 1.516381  76.532086 1.031596  77.681574 2.318330   6  
  14  3   13   1   0    2      5     80.496969 2.150033  83.162415 0.659828  83.928736 2.068448   6  
  15  3   13   2   0    4      5     86.494218 1.499641  88.510011 1.022428  89.642809 2.351639   6  
  16  2   13   2   1    5      3     92.491526 1.533678  94.540588 1.365227  96.023249 1.968501   6  
  17  4   13   2   0    3      3     98.505440 2.099332 101.120935 0.600822 101.837267 2.168421   6  
  18  2   13   2   1    4      3    104.502737 1.650248 106.668421 1.313714 108.101105 1.901855   6  
  19  3   13   3   1    5      7    110.499986 1.316420 112.332507 1.275855 113.715219 2.285018   6  
  20  2   13   4   0    3      3    116.497291 2.016764 119.029480 1.644349 120.778683 1.218836   6  
  21  3   13   3   1    4      7    122.494552 1.899517 124.910145 0.986394 126.009662 1.984997   6  
  22  3   13   3   1    5      7    128.508507 1.449882 130.474292 1.256442 131.840337 2.168418   6  
  23  1   13   1   1    6      3    134.505781 1.433019 136.454896 1.196984 137.770961 2.235054   6  
  24  4   13   2   0    4      3    140.503115 1.783078 142.802029 1.656947 144.567901 1.435382   6  
  25  3   13   3   1    5      5    146.500349 1.382894 148.399476 1.195378 149.715546 2.284959   6  
  26  4   13   2   0    3      3    152.497634 2.066780 155.079797 0.946372 156.146018 1.851797   6  
  27  1   13   1   1    4      3    158.511541 1.999466 161.027088 1.107955 162.243201 1.768592   6  
  28  3   13   3   1    6      7    164.508843 1.566727 166.591276 1.206051 167.907304 2.101772   6  
  29  1   13   1   1    7      6    170.506122 1.299802 172.321959 1.482077 173.921251 2.085090   6  
  30  2   13   2   1    5      3    176.503407 1.666470 178.685743 0.720454 179.518681 2.484932   6  
  31  4   13   3   0    2      4    182.517328 2.299328 185.332723 1.339120 186.782087 1.235478   6  
  32  1   13   1   1    7      6    188.497968 0.950222 189.963957 1.117640 191.196790 2.801416   6  
  33  4   13   1   0    7      5    194.495215 1.649648 196.660915 1.799202 198.576714 1.418743   6  
  34  3   13   3   1    6      6    200.492517 1.250209 202.258381 1.034491 203.407871 2.584870   6  
  35  3   13   4   0    6      3    206.489789 1.249817 208.255662 1.398026 209.771630 2.218266   6  
  36  1   13   3   0    5      6    212.503745 1.916922 214.935960 1.029651 216.085450 1.918507   6  
  37  2   13   2   1    5      4    218.500993 1.449757 220.466794 1.291411 221.866167 2.135072   6  
  38  1   13   1   1    7      3    224.498297 1.433417 226.447420 1.063343 227.630216 2.368311   6  
  39  3   13   3   1    7      6    230.495557 1.249763 232.261458 0.829711 233.211001 2.784725   6  
  40  1   13   1   1    7      6    236.492855 0.866983 237.875563 1.362357 239.358271 2.634786   6  
  41  4   13   2   0    5      3    242.506780 1.616212 244.639154 1.111080 245.855261 2.151754   6  
  42  4   13   1   0    5      4    248.504077 1.217208 250.236625 1.187771 251.536028 2.468269   6  
  43  3   13   1   0    4      3    254.501329 1.632779 256.650386 1.051206 257.816501 2.185064   6  
  44  3   13   3   1    2      7    260.498627 2.216266 263.230728 0.873646 264.213608 1.785246   6  
  45  2   13   2   1    4      3    266.495895 1.566314 268.578286 0.736014 269.427926 2.568022   6  
  46  4   13   4   1    5      2    272.509845 1.100566 274.125779 0.798587 275.042021 2.968071   6  
  47  4   13   2   0    5      3    278.507110 1.383047 280.406259 1.163828 281.688999 2.318338   6  
  48  2   13   2   1    7      3    284.504404 2.066362 287.086567 0.364675 287.569677 2.434953   6  
  49  2   13   4   0    1      5    290.501671 2.449268 293.466997 0.962297 294.549839 1.451950   6  
  50  2   13   2   1    2      4    296.515615 2.049854 299.081130 0.741633 299.930743 2.085091   6  
  51  3   13   3   1    2      7    302.512882 1.932803 304.961782 0.256257 305.328279 2.684844   6  
  52  4   13   2   0    3      5    308.493515 1.900253 310.909094 1.116036 312.141859 1.851870   6  
  53  1   13   1   1    5      4    314.490766 1.233154 316.239996 1.573207 317.922570 2.068386   6  
  54  1   13   1   1    2      5    320.488060 2.366586 323.370105 0.911732 324.402970 1.585331   6  
  55  2   13   3   0    5      6    326.502001 1.349735 328.367841 0.977414 329.450670 2.551568   6  
  56  3   13   3   1    6      7    332.499295 1.350093 334.365123 0.999770 335.481278 2.518241   6  
  57  1   13   1   1    5      6    338.496561 1.316469 340.329061 1.040172 341.478549 2.518254   6  
  58  3   13   2   0    5      3    344.493854 1.683593 346.692862 0.814434 347.625770 2.368311   6  
  59  4   13   1   0    6      4    350.491116 1.399549 352.406923 1.655027 354.172784 1.818396   6  
  60  1   13   3   0    6      6    356.505071 1.383370 358.404209 1.002873 359.520373 2.484919   6  
  61  3   13   3   1    3      6    362.502326 2.116034 365.134501 0.954861 366.200667 1.801898   6  
  62  1   13   1   1    7      6    368.499620 0.950307 369.965627 1.613916 371.698173 2.301689   6  
  63  2   13   3   0    2      5    374.496896 2.349226 377.362272 0.566072 378.045281 1.951743   6  
  64  3   13   3   1    3      5    380.510833 2.099732 383.126320 0.755714 383.992599 2.018473   6  
  65  2   13   4   0    5      4    386.508100 1.766072 388.790419 1.631297 390.539627 1.468721   6  
  66  2   13   3   0    6      6    392.505403 1.783560 394.804359 0.933232 395.853879 2.151740   6  
