%% MetaTwins_RDMsc_training for 'lifeiyue': starting at _feedback (       49.0000000000).2-Jan-2019 15:46:28 for '7.374377e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  15  3    3   1    0    7    2.498857   0    0  1.866772   4.481293 0.175284   4.764521 0.999529   5.764050   6.763659 1.235421   6  
   2  15  2    4   0    0    7    8.496143   0    0  1.134401   9.745582 0.154621  10.012125 0.999549  11.011675  12.011214 0.985161   5  
   3  15  2    2   1    0    7   13.493874   0    0  2.249360  15.859471 0.125051  16.092712 0.999527  17.092238  18.091784 0.902276   6  
   4  15  1    2   0    0    7   19.491160   0    0  1.667385  21.273682 0.134687  21.523581 0.999541  22.523122  23.522665 1.468712   6  
   5  15  3    3   1    0    7   25.505095   0    0  1.916557  27.537501 0.160436  27.804050 0.999538  28.803588  29.803144 1.202118   6  
   6  15  4    4   1    0    7   31.502372   0    0  1.817510  33.434841 0.183941  33.734694 0.999552  34.734246  35.733789 1.268810   6  
   7  14  1    4   0    0    7   37.499649   0    0  2.099642  39.748622 0.200575  40.065145 0.999553  41.064698  42.064247 0.935548   6  
   8  14  2    2   1    0    4   43.496933   0    0  2.300298  45.912552 0.659198  46.678830 0.999587  47.678417  48.677911 1.319251   7  
   9  14  1    2   0    0    6   50.493743   0    0  2.249476  52.859352 0.281573  53.259163 0.999549  54.258712  55.258273 0.735582   6  
  10  14  1    4   0    0    7   56.491042   0    0  2.067288  58.673381 0.364819  59.156494 0.999560  60.156054  61.155573 0.835677   6  
  11  15  3    3   1    0    4   62.488315   0    0  1.916183  64.520749 0.557454  65.187105 0.999533  66.186637  67.186183 0.802211   6  
  12  15  2    2   1    0    4   68.485641   0    0  1.983746  70.617967 0.518306  71.251002 0.999558  72.250560  73.250084 0.735715   6  
  13  14  2    3   0    0    6   74.499527   0    0  2.116253  76.731841 0.299384  77.148332 0.999532  78.147864  79.147434 0.852137   6  
  14  14  1    2   0    0    6   80.513469   0    0  2.033946  82.662503 0.186845  82.962368 0.999538  83.961906  84.961459 1.052236   6  
  15  15  1    4   0    0    7   86.510738   0    0  1.149855  87.776846 0.472781  88.359937 0.999511  89.359448  90.359017 0.651954   5  
  16  15  1    3   0    0    6   91.508491   0    0  1.784403  93.440933 0.364973  93.924062 0.999545  94.923608  95.923136 1.085569   6  
  17  16  3    3   1    0    6   97.505751   0    0  2.232955  99.888015 0.222210 100.221185 0.999546 101.220731 102.220278 0.785701   6  
  18  16  2    2   1    0    6  103.503049   0    0  1.484192 105.118936 0.205046 105.435500 0.999550 106.435050 107.434585 0.568708   5  
  19  14  2    2   1    0    6  108.500769   0    0  2.266249 110.899696 0.217627 111.232864 0.999565 112.232429 113.231962 0.769043   6  
  20  14  2    3   0    0    6  114.498059   0    0  1.900893 116.530488 0.349447 116.996921 0.999555 117.996476 118.996010 1.002289   6  
  21  14  4    4   1    0    7  120.511981   0    0  1.216719 121.844710 0.374982 122.327818 0.999555 123.327373 124.326933 0.685280   5  
  22  14  1    4   0    0    6  125.509729   0    0  1.567474 127.192297 0.330388 127.642088 0.999557 128.641645 129.641175 1.368782   6  
  23  14  3    2   0    0    7  131.506995   0    0  1.200037 132.839736 0.220475 133.172914 0.999566 134.172480 135.171999 0.835224   5  
  24  15  4    4   1    0    6  136.504734   0    0  1.534173 138.153987 0.300961 138.570471 0.999542 139.570013 140.569546 1.435418   6  
  25  15  2    2   1    0    7  142.502008   0    0  1.499791 144.134630 0.635443 144.884268 0.999541 145.883809 146.883384 1.118858   6  
  26  14  3    4   0    0    6  148.499291   0    0  1.317712 149.965277 0.585892 150.664973 0.999559 151.664532 152.664059 1.335465   6  
  27  14  1    4   0    0    4  154.496558   0    0  2.332889 156.978782 0.621705 157.711775 0.999553 158.711328 159.710872 1.285928   7  
  28  15  1    3   0    0    6  161.510063   0    0  2.100446 163.725768 0.439823 164.275470 0.999539 165.275009 166.274548 0.735725   6  
  29  15  4    4   1    0    6  167.507333   0    0  2.099660 169.756320 0.384535 170.256078 0.999556 171.255633 172.255187 0.752388   6  
  30  15  1    2   0    0    6  173.504622   0    0  1.784042 175.470388 0.482000 176.070123 0.999548 177.069671 178.069205 0.935631   6  
  31  15  2    2   1    0    6  179.501893   0    0  1.183362 180.817990 0.136095 181.067872 0.999525 182.067397 183.066929 0.935188   5  
  32  15  1    2   0    0    7  184.499635   0    0  1.117421 185.749076 0.456772 186.315464 0.999601 187.315065 188.314546 0.685321   5  
  33  15  3    4   0    0    6  189.497352   0    0  1.666544 191.313211 0.306566 191.729679 0.999534 192.729213 193.728740 1.268812   6  
  34  16  3    2   0    0    6  195.494647   0    0  2.383449 198.010190 0.531194 198.659868 0.999541 199.659409 200.658950 1.335912   7  
  35  16  2    4   0    0    6  202.491458   0    0  2.266236 204.873735 0.329649 205.323509 0.999543 206.323052 207.322595 0.669037   6  
  36  18  2    2   1    0    4  208.505400   0    0  2.050479 210.671095 0.777560 211.554018 0.999559 212.553578 213.553106 1.452527   7  
  37  18  4    3   0    0    6  215.502219   0    0  1.816381 217.434687 1.798310 219.350485 0.999545 220.350030 221.349582 0.652792   7  
  38  18  3    2   0    0   -1  222.499046   0    0  2.049662 224.698059 0.000000 226.697170 0.999532 227.696702 228.696244 1.303033   8  
  39  18  2    2   1    0    4  230.495420   0    0  2.132915 232.760954 0.736857 233.610665 0.999554 234.610219 235.609773 1.385759   7  
  40  18  3    3   1    0    7  237.492257   0    0  1.950767 239.557983 0.240353 239.907864 0.999499 240.907363 241.906893 1.085591   6  
  41  16  3    4   0    0    6  243.489529   0    0  1.899715 245.505282 0.454826 246.071682 0.999567 247.071248 248.070782 0.918821   6  
  42  16  4    2   0    0    6  249.486809   0    0  1.834117 251.452610 0.224276 251.785756 0.999564 252.785320 253.784854 1.202153   6  
  43  18  4    4   1    0    6  255.517403   0    0  2.299546 257.932967 0.432931 258.482728 0.999542 259.482270 260.481819 0.535811   6  
  44  18  4    3   0    0    4  261.514681   0    0  1.750926 263.397183 0.490273 263.996886 0.999553 264.996439 265.995976 1.018931   6  
  45  18  3    2   0    0    5  267.511961   0    0  1.400167 269.061278 1.075529 270.244051 0.999552 271.243603 272.243156 0.769030   6  
  46  20  3    3   1    0    7  273.509245   0    0  1.434093 275.058547 0.420197 275.591625 0.999551 276.591175 277.590718 1.418765   6  
  47  20  1    1   1    0    7  279.506513   0    0  1.716673 281.339013 0.827459 282.271927 0.999548 283.271475 284.271031 0.735712   6  
  48  18  1    1   1    0    7  285.503797   0    0  1.983827 287.602853 0.391142 288.102632 0.999542 289.102174 290.101700 0.902320   6  
  49  18  3    3   1    0    4  291.501069   0    0  1.416552 293.033717 0.843462 293.983283 0.999555 294.982838 295.982392 1.018909   6  
  50  16  4    4   1    0    6  297.498356   0    0  1.651822 299.264222 0.463790 299.847293 0.999543 300.846836 301.846368 1.152243   6  
