%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at guanfasheng (       49.0000000000).2-Jan-2019 16:20:587.374377e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10  -1   0    1      7      2.498967 0.000000   5.031164 1.793601   6.930306 1.068891   6  
   2  4   10  -1   0    1     -1      8.496257 0.000000  11.011796 1.136288  12.261221 1.735242   6  
   3  4   10  -1   0    1      1     14.493531 0.000000  17.025757 0.729689  17.875332 2.118412   6  
   4  1   10  -1   0    1      1     20.490815 0.000000  23.023007 0.935718  24.072526 1.918458   6  
   5  4   10  -1   0    1      1     26.504767 0.000000  29.020322 0.713541  29.853239 2.151678   6  
   6  2   10  -1   0    1      1     32.502035 0.000000  35.017590 0.741148  35.867179 2.135066   6  
   7  2   10  -1   0    1      1     38.499322 0.000000  41.014883 0.719349  41.847807 2.151639   6  
   8  2   10  -1   0    1      2     44.496603 0.000000  47.028812 0.766032  47.911716 2.084989   6  
   9  2   10   1   0    1     -1     50.493887 2.366316  53.375905 0.044799  53.525846 2.468125   6  
  10  4   10   1   0    1     -1     56.491159 2.482609  59.489812 0.602904  60.206156 1.785075   6  
  11  4   10   2   0    2     -1     62.505110 1.916196  64.937330 0.968312  66.020185 1.985203   6  
  12  2   10   3   0    3     -1     68.502384 1.233101  70.251599 1.301639  71.667617 2.335006   6  
  13  3   10   4   0    6     -1     74.516336 1.732931  76.765317 0.708296  77.581605 2.434955   6  
  14  3   10   3   1    6     -1     80.513607 1.616282  82.645970 0.613676  83.378980 2.634859   6  
  15  3   10   2   0    5      6     86.510890 2.049386  89.076392 0.452349  89.642808 2.368315   6  
  16  4   10   4   1    5      2     92.508165 1.915983  94.940406 1.123996  96.173179 1.835222   6  
  17  3   10   2   0    5      2     98.505460 1.616096 100.637827 0.575318 101.320844 2.684839   6  
  18  1   10   1   1    1      1    104.502727 2.465780 107.484713 0.377322 107.967838 2.035119   6  
  19  4   10   2   0    3      1    110.500014 1.566349 112.582414 0.899481 113.598612 2.401634   6  
  20  2   10   2   1    2      1    116.497308 2.315800 119.329363 0.592643 120.029027 1.968507   6  
  21  3   10   4   0    7     -1    122.511238 1.582806 124.610292 0.618372 125.343286 2.668174   6  
  22  3   10   2   0    4      1    128.508523 1.916161 130.940746 1.013747 132.073575 1.935171   6  
  23  1   10   2   0    3      2    134.505806 1.782854 136.804752 1.382950 138.304090 1.701944   6  
  24  4   10   3   0    3      5    140.503089 2.099408 143.118577 1.074080 144.301357 1.701961   6  
  25  2   10  -1   0    2      1    146.500362 0.000000 149.015908 0.938574 150.065425 1.935180   6  
  26  3   10   3   1    6      1    152.497645 1.316530 154.330152 1.377704 155.812812 2.185064   6  
  27  1   10   3   0    8      5    158.494921 2.149374 161.160390 1.171927 162.443129 1.552005   6  
  28  2   10   3   0    6      2    164.492205 1.666079 166.674560 0.652554 167.440872 2.551548   6  
  29  3   10   4   0    8      2    170.489493 1.832834 172.838417 1.832271 174.787542 1.202118   6  
  30  1   10   3   0    6      6    176.503428 1.982867 179.002302 0.218325 179.335475 2.668095   6  
  31  2   10   1   0    1      1    182.500718 1.949457 184.966261 0.042051 185.116192 2.884666   6  
  32  1   10   3   0    7      5    188.497999 1.616372 190.630358 0.766280 191.513299 2.484822   6  
  33  2   10   2   1    5      2    194.495275 2.382700 197.393971 0.788088 198.293543 1.701837   6  
  34  1   10   3   0    6      5    200.492566 2.215947 203.224652 0.809482 204.140905 1.851745   6  
  35  4   10   3   0    5      5    206.489846 1.649563 208.655526 0.449022 209.221945 2.767964   6  
