%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at guanfasheng (       49.0000000000).2-Jan-2019 16:31:367.374377e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   14   3   1    8    2.498862 0.966877   3.581708 0.965603   4.664551 3.334531   6  
   2  4   14   4   1    2    8.496148 1.733024  10.345306 0.672451  11.128294 2.868081   6  
   3  1   14   3   0    5   14.493423 1.683207  16.309269 0.819174  17.242187 2.751481   6  
   4  2   14   3   0    6   20.507364 1.033454  21.690168 0.729307  22.539776 3.467816   6  
   5  2   14   3   0    1   26.504647 1.633253  28.303825 1.208686  29.619906 2.384961   6  
   6  4   14   3   0    1   32.501935 2.299588  34.950818 0.822018  35.883739 2.118397   6  
   7  3   14   3   1    8   38.499216 0.900153  39.532078 0.248202  39.898575 4.100855   6  
   8  3   14   3   1    8   44.496497 1.116833  45.762582 0.804064  46.678838 3.317859   6  
   9  2   14   2   1    8   50.493780 1.116650  51.743042 0.286449  52.143028 3.850945   6  
  10  1   14   2   0    1   56.491059 0.716984  57.357251 0.865677  58.340236 3.651012   6  
  11  4   14   3   0    8   62.504998 1.016954  63.704459 0.543553  64.354161 3.651027   6  
  12  1   14   1   1    1   68.502273 1.666586  70.284683 1.333079  71.734150 2.268311   6  
  13  4   14   2   0    1   74.499560 2.349542  77.015085 0.763653  77.898017 2.101729   6  
  14  3   14   2   0    1   80.496847 1.333301  82.012823 1.211286  83.328903 2.668126   6  
  15  1   14   2   0    1   86.494124 2.466235  89.126265 0.804189  90.042513 1.951801   6  
  16  3   14   2   0    1   92.491409 2.416110  95.090222 1.120983  96.323002 1.668582   6  
  17  1   14  -1   0    2   98.505353 0.000000 101.020901 0.001699 101.137489 2.868034   6  
  18  1   14   2   0    4  104.502631 1.549961 106.201861 1.834917 108.150975 1.851828   6  
  19  4   14  -1   0    4  110.499903 0.000000 113.015449 0.092879 113.215337 2.784752   6  
  20  4   14   4   1    2  116.497183 1.233322 117.846568 1.147751 119.112678 2.884687   6  
  21  3   14   3   1    2  122.494465 1.549746 124.210356 0.763348 125.093299 2.901325   6  
  22  4   14   1   0    6  128.491750 0.800205 129.424664 0.911160 130.440865 3.551048   6  
