%% MetaTwins_RDMsc_training for 'guanfasheng': starting at _nofeedback (       49.0000000000).2-Jan-2019 15:36:41 for '7.374377e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  2    2   1    0    6    2.498971   0    0  0.983401   3.598487 1.171255   4.881228  0   0    4.881228 1.117955   4  
   2  20  3    3   1    0    8    6.497154   0    0  0.866925   7.479954 0.879894   8.479604  0   0    8.479604 0.517729   3  
   3  18  3    3   1    0    3    9.495804   0    0  1.849749  11.478234 0.885409  12.477784  0   0   12.477784 0.518167   4  
   4  18  3    3   1    0    3   13.494000   0    0  1.533269  15.193217 1.229644  16.542610  0   0   16.542610 1.451480   5  
   5  16  1    1   1    0    2   18.508375   0    0  2.316588  20.957205 1.448765  22.523228  0   0   22.523228 1.485375   6  
   6  16  4    4   1    0    5   24.505657   0    0  1.150153  25.805076 1.245349  27.171128  0   0   27.171128 0.834775   4  
   7  14  2    2   1    0    7   28.503847   0    0  0.800303  29.420097 1.265244  30.802814  0   0   30.802814 1.201269   4  
   8  14  3    3   1    0    8   32.502038   0    0  1.166695  33.818104 0.631172  34.567767  0   0   34.567767 1.434511   4  
   9  13  1   -1   0    0    1   36.500220   0    0  0.000000  39.015756 0.748246  39.882035  0   0   39.882035 1.118417   5  
  10  13  2    2   1    0    6   41.497955   0    0  0.800239  42.447527 0.649661  43.213852  0   0   43.213852 0.784349   3  
  11  13  1   -1   0    0    1   44.496585   0    0  0.000000  47.012147 0.114434  47.245356  0   0   47.245356 0.751476   4  
  12  13  1   -1   0    0    3   48.494786   0    0  0.000000  51.010348 0.103522  51.226885  0   0   51.226885 0.768089   4  
  13  13  2    3   0    0    1   52.492982   0    0  1.150109  53.792393 1.443741  55.341690  0   0   55.341690 0.651433   4  
  14  13  1   -1   0    0    1   56.491165   0    0  0.000000  59.006715 1.582246  60.705925  0   0   60.705925 1.285341   6  
  15  13  2    3   0    0    8   62.505099   0    0  1.033434  63.687901 0.182063  63.987773  0   0   63.987773 1.017557   3  
  16  14  1   -1   0    0    1   65.503740   0    0  0.000000  68.019281 0.909155  69.035476  0   0   69.035476 0.968504   5  
  17  14  1    2   0    0    1   70.501483   0    0  0.716980  71.351106 1.260065  72.717146  0   0   72.717146 1.284555   4  
  18  14  1    3   0    0   -1   74.499663   0    0  0.816809  75.465901 0.000000  77.464935  0   0   77.464935 0.534953   4  
  19  14  4    1   0    0    8   78.497854   0    0  2.416010  81.046703 0.584600  81.746389  0   0   81.746389 1.251689   5  
  20  15  1    3   0    0    2   83.495600   0    0  1.416399  85.078204 1.470458  86.660819  0   0   86.660819 1.335009   5  
  21  15  2    3   0    0   -1   88.493319   0    0  1.833177  90.542357 0.000000  92.541438  0   0   92.541438 1.452104   6  
  22  15  2    2   1    0    4   94.490599   0    0  1.233519  95.856659 1.912817  97.889062  0   0   97.889062 1.101690   5  
  23  15  4   -1   0    0    4   99.488348   0    0  0.000000 102.003887 0.019550 102.137133  0   0  102.137133 0.851323   4  
  24  15  4    4   1    0    5  103.486529   0    0  1.833058 105.435641 1.010179 106.551807  0   0  106.551807 1.434783   5  
  25  14  3    3   1    0    6  108.500928   0    0  1.483271 110.116785 1.141569 111.366288  0   0  111.366288 0.634855   4  
  26  14  4   -1   0    0    2  112.499108   0    0  0.000000 115.014664 0.194082 115.314492  0   0  115.314492 0.684845   4  
  27  14  3    3   1    0    4  116.497287   0    0  2.316298 118.929535 0.690580 119.729165  0   0  119.729165 1.268360   5  
  28  13  2    2   1    0    5  121.511688   0    0  1.283369 122.911062 0.686047 123.710679  0   0  123.710679 1.301243   4  
  29  13  1    3   0    0    6  125.509875   0    0  2.099663 127.725541 0.644843 128.475198  0   0  128.475198 0.534912   4  
  30  13  1    3   0    0    6  129.508065   0    0  1.266713 130.890597 0.249991 131.257274  0   0  131.257274 0.751016   3  
  31  14  2    3   0    0    6  132.506698   0    0  1.799827 134.439166 0.239510 134.789010  0   0  134.789010 1.217909   4  
  32  14  4    3   0    0    7  136.504886   0    0  1.366703 138.054138 0.420193 138.587285  0   0  138.587285 1.417779   4  
  33  15  3    3   1    0    6  140.503084   0    0  1.449985 142.152342 0.412645 142.685428  0   0  142.685428 1.317797   4  
  34  15  1    1   1    0    4  144.501276   0    0  2.316024 146.966816 0.961955 148.033005  0   0  148.033005 0.968352   5  
  35  14  3    3   1    0    6  149.515664   0    0  1.933092 151.631376 0.515887 152.264417  0   0  152.264417 0.751478   4  
  36  14  1   -1   0    0    2  153.513848   0    0  0.000000 156.029389 0.110487 156.245952  0   0  156.245952 0.768125   4  
  37  14  3    3   1    0    5  157.512048   0    0  1.083443 158.778133 0.573913 159.461151  0   0  159.461151 0.551116   3  
  38  13  4    3   0    0    1  160.510669   0    0  2.382844 163.175962 0.999778 164.292288  0   0  164.292288 0.718622   5  
  39  13  2    3   0    0    5  165.508414   0    0  1.166617 166.841067 0.433254 167.390900  0   0  167.390900 0.617740   3  
  40  14  2    3   0    0    5  168.507056   0    0  1.150127 169.806471 0.343246 170.256259  0   0  170.256259 0.751017   3  
  41  14  2    2   1    0    5  171.505682   0    0  0.850304 172.471930 0.520993 173.104980  0   0  173.104980 0.900954   3  
  42  14  2    2   1    0    4  174.504331   0    0  1.866441 176.503432 0.932244 177.552953  0   0  177.552953 1.451607   5  
  43  13  3    4   0    0    1  179.502075   0    0  1.266571 180.901289 1.039787 182.050914  0   0  182.050914 0.951333   4  
  44  13  4    2   0    0    4  183.500259   0    0  1.517034 185.132802 1.063408 186.315650  0   0  186.315650 0.684742   4  
  45  14  1    2   0    0    5  187.498445   0    0  2.216292 189.847325 0.812640 190.780288  0   0  190.780288 1.218259   5  
  46  14  4    4   1    0    8  192.512830   0    0  1.166760 193.812253 0.247549 194.178752  0   0  194.178752 0.834323   3  
  47  14  2   -1   0    0   -1  195.511479   0    0  0.000000 198.027015 0.000000 200.026062  0   0  200.026062 0.985641   6  
  48  14  4    2   0    0    5  201.508757   0    0  2.366225 204.007488 0.589803 204.707313  0   0  204.707313 1.301683   5  
  49  14  4    2   0    0    2  206.506493   0    0  2.449522 209.105253 1.486337 210.704594  0   0  210.704594 1.302131   6  
  50  15  4    2   0    0   -1  212.503767   0    0  1.833076 214.452893 0.000000 216.451948  0   0  216.451948 0.552059   5  
  51  15  1    1   1    0    7  217.501516   0    0  1.299899 218.950860 0.573174 219.633886  0   0  219.633886 1.367864   4  
  52  15  4    4   1    0    6  221.499704   0    0  2.016349 223.632068 0.997805 224.748225  0   0  224.748225 1.251665   5  
  53  14  3    3   1    0    7  226.497442   0    0  0.933356 227.563626 0.470789 228.146692  0   0  228.146692 0.850883   3  
  54  14  3    3   1    0    7  229.496081   0    0  0.900199 230.545549 0.211277 230.862116  0   0  230.862116 1.134065   3  
