%% MetaTwinsTri_behave_Conf for '_guess': starting at wangjiaqi (       49.0000000000).3-Jan-2019 17:31:207.374387e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   11   4   0    6      7      2.498853 1.033271   4.048158 0.613980   4.781166 3.217919   6  
   2  4   11   4   1    7      6      8.496145 0.949970   9.962143 0.372201  10.445267 3.551069   6  
   3  3   11   3   1    8      7     14.493424 0.849878  15.859465 0.022330  15.992744 4.000869   6  
   4  1   11   4   0    8      8     20.490715 0.916602  21.923404 0.153147  22.189946 3.800908   6  
   5  4   11   4   1    8      8     26.487997 0.699883  27.704107 0.250279  28.070604 3.917523   6  
   6  3   11   4   0    5      3     32.501937 1.583038  34.600989 0.526106  35.234025 2.768002   6  
   7  2   11   4   0    4      7     38.499224 1.049846  40.065164 0.864320  41.048052 2.951229   6  
   8  2   11   4   0    8      6     44.513162 0.983258  46.012477 0.372300  46.495577 3.517811   6  
   9  3   11   3   1    5      7     50.510438 1.133158  52.159694 0.561947  52.826062 3.184601   6  
  10  3   11   4   0    5      5     56.507710 1.049866  58.073680 0.520482  58.706724 3.301215   6  
  11  4   11   4   1    8      7     62.505002 0.766521  63.787750 0.594527  64.487429 3.517796   6  
  12  3   11   3   1    8      7     68.502281 0.899951  69.918306 0.462933  70.501383 3.501131   6  
  13  4   11   4   1    8      6     74.499615 0.833185  75.848958 0.293397  76.248769 3.751012   6  
  14  4   11   4   1    8      5     80.496937 0.749898  81.762937 0.379594  82.262709 3.734358   6  
  15  4   11   4   1    5      7     86.510786 1.266207  88.293302 0.700169  89.109619 2.901394   6  
  16  4   11   4   1    8      7     92.508067 0.966593  93.990730 1.083965  95.190176 2.818110   6  
  17  3   11   3   1    5      2     98.505352 1.516284 100.537752 0.600151 101.254108 2.751464   6  
  18  4   11   4   1    5      6    104.502624 1.449445 106.468401 0.314985 106.901546 3.101311   6  
  19  2   11   2   1    5      3    110.499908 1.782851 112.798857 0.520156 113.431907 2.568226   6  
  20  1   11   1   1    6      7    116.497185 1.449813 118.462964 0.503114 119.079361 2.918031   6  
  21  1   11   3   0    6      5    122.494466 1.682770 124.693476 0.490075 125.293204 2.701451   6  
  22  2   11   4   0    8      3    128.491760 0.816687 129.824486 0.690610 130.624119 3.367793   6  
  23  2   11   4   0    6      7    134.489027 1.183163 136.188267 0.418048 136.721361 3.267813   6  
  24  4   11   4   1    6      6    140.502983 1.099853 142.118916 0.482036 142.718641 3.284444   6  
  25  4   11   3   0    5      3    146.500250 1.566238 148.582639 0.200020 148.899172 3.101176   6  
  26  1   11   4   0    4      2    152.497539 1.932786 154.946435 0.404242 155.462863 2.534735   6  
  27  2   11   2   1    3      3    158.511484 2.132728 161.160273 0.206290 161.476802 2.534899   6  
  28  3   11   4   0    8      7    164.508766 0.866525 165.891464 0.774257 166.774409 3.234578   6  
  29  4   11   1   0    5      3    170.506035 1.349691 172.371860 0.654710 173.138183 2.868092   6  
  30  4   11   4   1    8      7    176.503315 0.799945 177.819393 0.404009 178.335823 3.667720   6  
  31  1   11   3   0    2      4    182.500584 2.115971 185.132743 0.264184 185.515911 2.484920   6  
  32  3   11   4   0    5      7    188.497884 1.149800 190.163807 0.493545 190.763525 3.234600   6  
  33  1   11   1   1    5      5    194.511822 1.282956 196.311016 0.359702 196.777462 3.234589   6  
  34  4   11   4   1    8      7    200.509098 0.716612 201.741880 0.471605 202.324959 3.684388   6  
  35  2   11   4   0    6      3    206.506382 1.432855 208.455500 0.909236 209.471703 2.534921   6  
  36  4   11   4   1    5      6    212.503666 1.083198 214.102951 0.345003 214.569406 3.434497   6  
  37  1   11   4   0    5      6    218.500950 1.432979 220.450054 0.574078 221.133100 2.868088   6  
  38  1   11   1   1    5      3    224.498237 1.682708 226.697246 0.466805 227.280301 2.718149   6  
  39  2   11   4   0    5      5    230.495516 1.466328 232.477937 0.464508 233.061027 2.934685   6  
  40  1   11   2   0    3      3    236.492807 2.099401 239.108286 0.288336 239.508100 2.484861   6  
  41  4   11   3   0    4      2    242.490084 1.866109 244.872335 0.532250 245.522036 2.468185   6  
  42  2   11   3   0    6      6    248.487368 1.433040 250.436485 1.238295 251.785859 2.201623   6  
  43  2   11   4   0    8      6    254.501297 0.949781 255.967301 0.560192 256.633679 3.367706   6  
  44  1   11   1   1    2      3    260.498575 1.533030 262.547648 0.280447 262.947491 3.051154   6  
  45  2   11   4   0    8      7    266.512528 0.799778 267.828596 0.726486 268.661545 3.351209   6  
  46  3   11   3   1    5      7    272.509814 1.333113 274.358975 0.829406 275.308537 2.701503   6  
  47  1   11   4   0    8      7    278.507097 0.699989 279.723201 1.011147 280.839359 3.167950   6  
  48  2   11   2   1    2      3    284.504361 2.265829 287.286442 0.166718 287.569652 2.434946   6  
  49  2   11   1   0    5      5    290.501645 1.882877 292.900554 0.539870 293.550269 2.451612   6  
  50  3   11   3   1    7      7    296.498932 1.049926 298.064888 0.568577 298.747919 3.251234   6  
]; % This session completes at 13-Jan-2019 17:36:40, 304.003s after session start, 300s on 50 trials, totally 320.459s.

