%% MetaTwinsTri_behave_Conf for '_guess': starting at wangsiqi (       49.0000000000).3-Jan-2019 17:53:237.374387e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   11   2   0    8      6      2.498904 1.549606   4.564635 0.613736   5.297635 2.701491   6  
   2  2   11   2   1    7      6      8.496182 1.566236  10.578576 0.635168  11.328229 2.668188   6  
   3  3   11   3   1    8      6     14.493458 1.216349  16.226014 0.032667  16.375944 3.617744   6  
   4  1   11   1   1    7      8     20.507399 1.349652  22.373216 0.570893  23.056244 2.951391   6  
   5  4   11   3   0    7      5     26.504675 1.649551  28.670365 0.060848  28.836953 3.167964   6  
   6  2   11   2   1    7      3     32.501963 1.682787  34.700965 0.476281  35.284037 2.718148   6  
   7  1   11   1   1    6      2     38.499236 1.816135  40.831511 0.100971  41.048081 2.951391   6  
   8  1   11   2   0    6      3     44.513179 1.749530  46.778811 0.415276  47.311916 2.701485   6  
   9  1   11   1   1    6      3     50.510461 2.099348  53.125930 1.007367  54.242093 1.768593   6  
  10  1   11   3   0    5      1     56.507729 1.799308  58.823344 0.623039  59.556345 2.451634   6  
  11  2   11   1   0    5      2     62.505008 2.016039  65.037190 0.836102  65.986771 2.018473   6  
  12  3   11   3   1    7      6     68.502290 1.766070  70.784587 0.000956  70.901210 3.101304   6  
  13  2   11   1   0    6      6     74.499582 1.283023  76.298754 0.241961  76.648591 3.351039   6  
  14  4   11   1   0    7      3     80.496864 1.382877  82.395990 0.082196  82.595900 3.401038   6  
  15  2   11   2   1    7      6     86.494138 1.782776  88.793090 0.000858  88.909705 3.084535   6  
  16  4   11   3   0    7      3     92.491407 1.716101  94.723733 0.423103  95.256819 2.734718   6  
  17  2   11   3   0    7      2     98.488696 1.632853 100.637708 0.681082 101.437345 2.551495   6  
  18  1   11   3   0    6      6    104.502623 2.232603 107.251393 0.000810 107.367991 2.634793   6  
  19  3   11   1   0    7      2    110.499908 1.682878 112.698912 0.000784 112.815534 3.184554   6  
  20  2   11   1   0    7      3    116.497193 2.032645 119.046041 0.034044 119.195956 2.801444   6  
  21  4   11   3   0    8      1    122.494475 1.732830 124.743446 0.072703 124.926693 3.067995   6  
  22  4   11   3   0    7      2    128.508402 1.299661 130.324269 0.603438 131.040590 2.968057   6  
  23  1   11   1   1    6      8    134.505685 1.649536 136.671362 0.411027 137.187794 2.818126   6  
  24  2   11   2   1    5      4    140.502971 1.932661 142.951852 0.107310 143.168425 2.834766   6  
  25  4   11   1   0    5      4    146.500250 1.732820 148.749219 0.492136 149.348945 2.651525   6  
  26  3   11   3   1    6      2    152.497533 1.766091 154.779826 0.279516 155.179646 2.818112   6  
  27  3   11   3   1    6      5    158.511462 1.232911 160.260674 0.257621 160.627166 3.384517   6  
  28  2   11   2   1    7      5    164.508747 1.616060 166.641102 0.111751 166.857669 3.151312   6  
  29  1   11   1   1    7      6    170.506023 1.416181 172.438488 0.000680 172.555093 3.451150   6  
  30  3   11   3   1    7      5    176.503309 1.816103 178.835582 0.000802 178.952197 3.051337   6  
  31  1   11   1   1    6      6    182.500585 1.216177 184.233118 0.001001 184.349733 3.651074   6  
  32  1   11   2   0    6      3    188.514511 1.399642 190.430310 0.143063 190.680207 3.334545   6  
  33  2   11   1   0    6      3    194.511785 1.532970 196.560864 0.010686 196.677491 3.334540   6  
  34  3   11   4   0    6      3    200.492427 1.532938 202.541481 0.491887 203.141225 2.851254   6  
  35  1   11   3   0    5      5    206.489710 1.982613 208.988572 0.901021 210.004766 1.984996   6  
  36  1   11   1   1    6      4    212.503634 1.882619 214.902554 0.478513 215.502273 2.501490   6  
  37  4   11   3   0    5      4    218.500916 1.532919 220.549976 1.333579 221.999305 2.001749   6  
  38  2   11   2   1    5      6    224.498195 1.849344 226.863797 0.869369 227.846669 2.151682   6  
  39  3   11   3   1    4      3    230.495471 2.382571 233.394162 0.509116 234.010546 1.985102   6  
  40  4   11   3   0    4      2    236.492755 1.932756 238.941649 0.193768 239.241517 2.751431   6  
  41  3   11   1   0    5      4    242.506687 1.999393 245.022217 0.923524 246.055077 1.951844   6  
  42  4   11   1   0    5      4    248.503966 1.949508 250.969523 0.648692 251.735833 2.268361   6  
  43  1   11   4   0    6      4    254.501247 1.749447 256.766892 0.000683 256.883498 3.117981   6  
  44  4   11   3   0    6      5    260.498527 1.349714 262.364352 0.000836 262.480966 3.517795   6  
  45  4   11   1   0    4      3    266.495802 1.932738 268.944685 1.120517 270.177472 1.818563   6  
  46  4   11   4   1    3      4    272.509755 1.849358 274.875337 0.000907 274.991940 3.018039   6  
  47  2   11   4   0    3      3    278.507031 1.782868 280.805991 0.531776 281.455680 2.551576   6  
  48  4   11   3   0    4      5    284.504313 2.099273 287.119777 0.921457 288.152650 1.851884   6  
  49  1   11   1   1    3      6    290.501581 1.915933 292.933812 0.155032 293.200363 2.801454   6  
  50  1   11   3   0    3      5    296.498860 1.599333 298.614576 0.314097 299.047718 2.951363   6  
]; % This session completes at 13-Jan-2019 17:58:43, 304.003s after session start, 300s on 50 trials, totally 319.576s.

