%% MetaTwins_RDMsc_training for 'wangsiqi': starting at _nofeedback (       49.0000000000).3-Jan-2019 17:05:04 for '7.374387e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  22  4    4   1    0    8    2.498854   0    0  1.250037   3.864910 0.254182   4.231418  0   0    4.231418 0.767674   3  
   2  22  4    4   1    0    8    5.497507   0    0  0.850229   6.463743 0.112413   6.696958  0   0    6.696958 1.300760   3  
   3  19  2    2   1    0    8    8.496154   0    0  1.333317   9.945496 0.389415  10.445266  0   0   10.445266 0.551087   3  
   4  19  4    4   1    0    8   11.494784   0    0  1.566524  13.177349 0.071242  13.360604  0   0   13.360604 0.634386   3  
   5  17  3    3   1    0    7   14.493427   0    0  1.899532  16.559100 0.138273  16.809038  0   0   16.809038 1.184575   4  
   6  17  1    1   1    0    6   18.491604   0    0  1.183449  19.840929 0.311940  20.257489  0   0   20.257489 0.734295   3  
   7  15  1    1   1    0    6   21.490250   0    0  1.066788  22.689560 0.576163  23.372732  0   0   23.372732 0.617698   3  
   8  15  1    1   1    0    6   24.505555   0    0  1.050028  25.721664 0.107433  25.938230  0   0   25.938230 1.067485   3  
   9  14  1    1   1    0    6   27.504194   0    0  0.850065  28.487012 0.151061  28.753629  0   0   28.753629 1.250718   3  
  10  14  2    2   1    0    7   30.502831   0    0  1.166772  31.802247 0.199046  32.118758  0   0   32.118758 0.884221   3  
  11  13  4    1   0    0    6   33.501465   0    0  1.400049  35.067425 0.181581  35.367298  0   0   35.367298 0.634323   3  
  12  13  2    2   1    0    8   36.500106   0    0  1.183339  37.799380 0.213939  38.132727  0   0   38.132727 0.867518   3  
  13  13  4    3   0    0    4   39.498753   0    0  2.099595  41.781049 0.031102  41.930982  0   0   41.930982 1.067897   4  
  14  13  4    2   0    0    7   43.496928   0    0  1.050126  44.696323 0.338946  45.146196  0   0   45.146196 0.850871   3  
  15  14  2    2   1    0    7   46.495576   0    0  1.266796  47.878275 0.155317  48.144825  0   0   48.144825 0.850861   3  
  16  14  3    3   1    0    7   49.494218   0    0  1.350105  51.010189 0.141803  51.260085  0   0   51.260085 0.734241   3  
  17  13  4    3   0    0    4   52.492857   0    0  1.449918  54.125453 0.349664  54.591900  0   0   54.591900 1.401051   4  
  18  13  4    4   1    0    7   56.491040   0    0  1.483203  58.090276 0.130555  58.340204  0   0   58.340204 0.650932   3  
  19  13  3    1   0    0    4   59.489676   0    0  1.300190  60.955647 0.472025  61.538755  0   0   61.538755 1.451014   4  
  20  13  1    3   0    0    7   63.487863   0    0  2.299540  65.970078 0.031054  66.120000  0   0   66.120000 0.867932   4  
  21  14  4    3   0    0    4   67.486044   0    0  1.200036  68.818677 0.044715  68.968715  0   0   68.968715 1.017402   3  
  22  14  2    2   1    0    7   70.518009   0    0  1.533082  72.200576 0.263940  72.583744  0   0   72.583744 1.434500   4  
  23  14  2    4   0    0    4   74.516190   0    0  1.033495  75.682338 0.573475  76.365361  0   0   76.365361 0.651053   3  
  24  14  3    3   1    0    5   77.514827   0    0  2.499436  80.180293 0.423633  80.713383  0   0   80.713383 1.301680   5  
  25  14  4    4   1    0    3   82.512566   0    0  1.566346  84.295098 0.005535  84.411712  0   0   84.411712 0.601083   3  
  26  13  1    1   1    0    8   85.511205   0    0  1.500017  87.177097 0.058659  87.343719  0   0   87.343719 0.667727   3  
  27  13  1    3   0    0    8   88.509842   0    0  1.549806  90.242399 0.151536  90.508941  0   0   90.508941 0.501141   3  
  28  13  1    4   0    0    7   91.508494   0    0  2.049435  93.724144 0.052947  93.890737  0   0   93.890737 1.117977   4  
  29  14  3    3   1    0    6   95.506673   0    0  1.366601  97.072590 0.275126  97.455798  0   0   97.455798 0.551099   3  
