%% MetaTwinsTri_behave_Conf for '_guess': starting at donglanxing (       49.0000000000).2-Jan-2019 18:56:547.374378e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   8    3   1    6      7      2.498862 1.033208   4.048166 0.845299   5.014397 2.984686   6  
   2  1   8    4   0    4      5      8.496152 1.433058  10.445256 0.367033  10.928368 3.067974   6  
   3  3   8    3   1    3      6     14.493429 1.399577  16.409213 0.000822  16.525824 3.467771   6  
   4  4   8    4   1    6      7     20.490695 0.949928  21.956697 0.676722  22.739673 3.251196   6  
   5  1   8    2   0    3      3     26.504636 1.133120  28.153911 0.605185  28.870244 3.134542   6  
   6  2   8    4   0    2      3     32.501922 1.466326  34.484356 0.278037  34.867507 3.134541   6  
   7  3   8    3   1    5      7     38.499192 1.016537  40.031828 0.815316  40.964753 3.034560   6  
   8  1   8    2   0    2      3     44.496475 1.499576  46.512228 0.254917  46.878733 3.117836   6  
   9  4   8    4   1    7      7     50.493772 0.799896  51.809829 0.670446  52.592799 3.401030   6  
  10  4   8    4   1    6      7     56.507686 0.999880  58.023674 0.568830  58.706686 3.301241   6  
  11  1   8    1   1    2      7     62.504975 1.416173  64.437425 0.244320  64.787278 3.217930   6  
  12  4   8    4   1    6      7     68.502253 0.849782  69.868308 0.420325  70.401388 3.601104   6  
  13  1   8    3   0    1      4     74.499536 1.849419  76.865128 0.017768  76.998404 3.001369   6  
  14  2   8    4   0    3      3     80.513482 0.833065  81.862851 0.595809  82.579207 3.434493   6  
  15  1   8    3   0    3      2     86.510752 1.766196  88.793054 0.000699  88.909671 3.101307   6  
  16  2   8    4   0    7      6     92.508027 0.999828  94.024004 0.615328  94.757018 3.251245   6  
  17  3   8    4   0    7      7     98.505313 0.816568  99.838039 0.578460 100.537722 3.467813   6  
  18  1   8    1   1    3      3    104.502593 1.449645 106.468366 0.000695 106.584987 3.417838   6  
  19  4   8    4   1    7      7    110.499865 0.899709 111.915883 0.030553 112.065831 3.934267   6  
  20  2   8    2   1    3      5    116.497145 1.282884 118.296336 0.529389 118.946033 3.051345   6  
  21  4   8    4   1    3      6    122.494409 1.366149 124.376904 0.174332 124.660116 3.334537   6  
  22  4   8    4   1    3      5    128.508368 1.232896 130.257562 0.565147 130.940604 3.067998   6  
  23  2   8    3   0    5      4    134.505645 1.083044 136.104917 0.834747 137.054487 2.951376   6  
  24  4   8    4   1    5      7    140.502921 1.049870 142.068873 0.424159 142.601976 3.401181   6  
  25  3   8    3   1    7      7    146.500200 0.749727 147.766293 0.607577 148.482638 3.517769   6  
  26  3   8    4   0    7      3    152.497464 0.816525 153.830221 0.609297 154.546561 3.451106   6  
  27  1   8    1   1    6      2    158.494748 1.132977 160.144015 0.473259 160.727085 3.267824   6  
  28  2   8    2   1    2      4    164.492051 1.532844 166.541104 0.317201 166.974244 3.017961   6  
  29  2   8    3   0    4      2    170.489327 1.549560 172.555055 0.000715 172.671663 3.317792   6  
  30  2   8    4   0    3      3    176.503256 1.599538 178.618962 0.000867 178.735581 3.267797   6  
  31  2   8    3   0    2      3    182.500537 1.615989 184.632898 0.351814 185.099370 2.901257   6  
  32  2   8    2   1    2      4    188.497815 1.582908 190.596858 0.059738 190.763451 3.234429   6  
  33  2   8    4   0    7      6    194.511749 0.966384 195.994433 0.351593 196.460867 3.551111   6  
  34  3   8    3   1    7      3    200.509019 0.749811 201.775124 0.327885 202.208260 3.801007   6  
  35  4   8    4   1   -1      6    206.506304 1.782779 208.805279 0.000000 208.821934 3.184615   6  
  36  4   8    2   0    5      7    212.503599 1.199602 214.219476 0.431152 214.769218 3.234598   6  
  37  2   8    4   0    6      8    218.500866 0.799787 219.816943 0.206541 220.133478 3.867636   6  
  38  3   8    3   1    1      5    224.498147 1.649627 226.663844 0.000754 226.780453 3.217928   6  
  39  1   8    4   0    7      6    230.512089 0.833196 231.861468 0.309324 232.277953 3.734363   6  
  40  2   8    4   0    7      6    236.509361 0.966524 237.992024 0.413216 238.525113 3.484495   6  
  41  1   8    1   1    6      7    242.506651 0.916503 243.939336 0.429768 244.489084 3.517793   6  
  42  3   8    4   0    7      7    248.503931 0.783121 249.803332 0.840971 250.752916 3.251244   6  
  43  1   8    1   1    3      5    254.501209 1.149688 256.167117 0.451116 256.733536 3.267917   6  
  44  1   8    4   0    8      6    260.498483 0.749941 261.764585 0.522364 262.397628 3.601092   6  
  45  4   8    4   1    7      7    266.495759 0.783339 267.795171 0.709138 268.611474 3.384517   6  
  46  3   8    4   0    3      5    272.493034 1.266172 274.275578 0.306916 274.692044 3.301234   6  
  47  1   8    3   0    8      6    278.506978 0.916742 279.939665 0.542805 280.589379 3.417835   6  
  48  2   8    4   0    7      7    284.504266 0.799910 285.820334 0.290760 286.220153 3.784331   6  
  49  3   8    4   0    2      5    290.501541 1.316139 292.334038 0.119715 292.567277 3.434455   6  
  50  3   8    3   1    5      6    296.498843 1.032917 298.048124 0.651986 298.814440 3.184544   6  
]; % This session completes at 12-Jan-2019 19:02:14, 304.003s after session start, 300s on 50 trials, totally 320.553s.

