%% MetaTwinsTri_behave_Conf for '_notguess': starting at donglanyue (       49.0000000000).2-Jan-2019 18:45:217.374378e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   16   3   0    8    2.498880 0.950047   3.565065 0.231992   3.914904 4.084193   6  
   2  1   16   3   0    1    8.496160 1.167784   9.778918 0.271342  10.162073 3.834304   6  
   3  1   16   2   0    4   14.510098 1.033399  15.742880 0.243895  16.092703 3.917619   6  
   4  1   16   3   0    7   20.507386 0.851449  21.473611 0.272557  21.856772 4.150838   6  
   5  1   16   2   0    7   26.504659 0.833481  27.454244 0.301694  27.870695 4.134187   6  
   6  1   16   1   1    5   32.501930 2.099424  34.750926 0.523182  35.383952 2.618235   6  
   7  1   16   2   0    4   38.515875 1.400896  40.048515 0.234389  40.398363 3.617736   6  
   8  2   16   3   0    6   44.496486 1.416651  46.029143 0.236535  46.378988 3.617566   6  
   9  1   16   2   0    5   50.493772 0.884704  51.509978 0.283760  51.909803 4.084199   6  
  10  2   16   2   1    3   56.491039 1.066786  57.690516 0.360747  58.156963 3.834220   6  
  11  2   16   3   0    5   62.504999 2.067820  64.687348 0.277630  65.070494 2.934725   6  
  12  3   16   3   1    7   68.502261 1.083462  69.701712 0.217474  70.034900 3.967572   6  
  13  2   16   2   1    4   74.499604 1.100875  75.715665 0.514616  76.348709 3.651055   6  
  14  1   16   3   0    2   80.496820 0.950156  81.563035 0.351605  82.029469 3.967578   6  
  15  1   16   4   0    6   86.510761 1.549966  88.176678 0.758775  89.042934 2.968056   6  
  16  4   16   3   0    8   92.508050 0.934490  93.557577 0.270206  93.940732 4.067540   6  
  17  4   16   4   1    5   98.505318 1.549894 100.171246 0.495694 100.787611 3.217931   6  
  18  3   16   1   0    5  104.502601 2.001892 106.684973 0.459075 107.251357 2.751469   6  
  19  3   16   3   1    7  110.516540 1.133472 111.765974 0.293714 112.165780 3.850980   6  
  20  4   16   4   1    1  116.497168 2.133720 118.796124 0.364866 119.279229 2.718128   6  
  21  4   16   3   0    5  122.494436 1.000154 123.693902 0.401256 124.210353 3.784176   6  
  22  4   16   2   0    7  128.491727 1.084294 129.724500 0.347516 130.190949 3.800994   6  
  23  2   16   2   1    5  134.505658 1.283297 135.988325 0.289471 136.388137 3.617677   6  
  24  2   16   3   0    7  140.502964 0.850923 141.602433 0.169949 141.885638 4.117530   6  
  25  4   16   2   0    5  146.500212 2.182971 148.849163 0.568341 149.532184 2.468257   6  
  26  3   16   1   0    4  152.497498 1.400919 154.030141 0.350965 154.496595 3.501119   6  
  27  2   16   2   1    5  158.511416 1.000323 159.627582 0.369098 160.110724 3.900925   6  
  28  2   16   2   1    1  164.508713 1.167877 165.791462 0.669642 166.574439 3.434517   6  
  29  2   16   3   0    5  170.505980 0.966820 171.605331 0.403640 172.121943 3.884269   6  
  30  4   16   3   0    5  176.503269 0.950098 177.569449 0.699750 178.385741 3.617768   6  
  31  3   16   2   0    5  182.517204 1.118818 183.799981 0.401205 184.316365 3.701068   6  
  32  2   16   2   1    7  188.497829 0.983553 189.613977 0.453555 190.180403 3.817492   6  
  33  1   16   3   0    8  194.495094 1.216833 195.827838 0.429772 196.377583 3.617600   6  
  34  3   16   3   1    8  200.492384 1.151278 201.775151 0.278453 202.158296 3.834326   6  
  35  3   16   3   1    8  206.506319 1.033588 207.655823 0.205728 207.972349 4.034150   6  
  36  2   16   1   0    5  212.503605 0.984047 213.603114 0.497842 214.219492 3.784342   6  
  37  4   16   4   1    5  218.500869 0.933482 219.550397 0.513254 220.183447 3.817655   6  
  38  1   16   3   0    7  224.498156 1.033310 225.747612 0.220633 226.080775 3.917607   6  
  39  1   16   2   0    6  230.512106 1.184378 231.844826 0.455397 232.411245 3.601078   6  
  40  4   16   3   0    8  236.509374 1.216638 237.842107 0.583522 238.541780 3.467810   6  
  41  4   16   3   0    5  242.506667 1.501034 244.122599 0.344021 244.572398 3.434506   6  
  42  4   16   2   0    2  248.503939 1.649856 250.269790 0.501524 250.886175 3.117980   6  
  43  1   16   4   0    4  254.501215 1.717205 256.367039 0.551265 257.033408 2.968053   6  
  44  4   16   3   0    6  260.498496 1.066799 261.681311 0.422141 262.214376 3.784200   6  
  45  2   16   1   0    3  266.495818 1.151644 267.811840 1.118156 269.044616 2.951395   6  
  46  3   16   3   1    7  272.493042 1.433348 274.075670 0.183429 274.375522 3.617673   6  
  47  4   16   1   0    5  278.490374 1.484193 280.106284 0.346886 280.572728 3.417828   6  
  48  3   16   3   1    8  284.504266 0.866853 285.487145 0.214627 285.820333 4.184158   6  
  49  2   16   1   0    3  290.501542 1.916322 292.533889 0.220949 292.867158 3.134627   6  
  50  1   16   3   0    5  296.498825 1.184436 297.864888 0.333972 298.314670 3.684380   6  
]; % This session completes at 12-Jan-2019 18:50:41, 304.004s after session start, 300s on 50 trials, totally 320.51s.

