%% MetaTwins_RDMsc_training for 'donglanyue': starting at _feedback (       49.0000000000).2-Jan-2019 14:22:00 for '7.374376e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  40  2    2   1    0    7    2.498906   0    0  0.900487   3.515116 0.148479   3.781653 0.999567   4.781220   5.780750 1.218361   5  
   2  40  2    2   1    0    5    7.496645   0    0  0.784644   8.396243 0.121993   8.629457 0.999502   9.628959  10.628556 1.368321   5  
   3  36  2    2   1    0    7   12.494376   0    0  0.716888  13.327322 0.145298  13.577230 0.999529  14.576758  15.576306 1.418234   5  
   4  36  3    3   1    0    7   17.492109   0    0  1.051185  18.658257 0.181525  18.958119 0.999536  19.957655  20.957168 1.035170   5  
   5  32  4    4   1    0    7   22.489824   0    0  1.566637  24.172394 0.165059  24.455610 0.999539  25.455150  26.454710 0.535265   5  
   6  32  2    2   1    0    7   27.487575   0    0  0.651301  28.253894 0.166504  28.537096 0.999550  29.536645  30.536198 1.451567   5  
   7  28  3    3   1    0    7   32.501958   0    0  0.800437  33.451532 0.189193  33.751381 0.999562  34.750942  35.750483 1.251566   5  
   8  28  3    3   1    0    7   37.499703   0    0  1.017620  38.632531 0.153491  38.899072 0.999539  39.898611  40.898155 1.101739   5  
   9  25  4    2   0    0    7   42.514072   0    0  0.783610  43.413675 0.193101  43.713536 0.999554  44.713090  45.712624 1.301692   5  
  10  25  3    3   1    0    8   47.511821   0    0  1.017592  48.661309 0.166659  48.944509 0.999538  49.944046  50.943646 1.068392   5  
  11  25  1    3   0    0    7   52.509549   0    0  0.883474  53.509088 0.193186  53.808950 0.999556  54.808506  55.808050 1.201726   5  
  12  25  1    3   0    0    7   57.507291   0    0  0.784685  58.406880 0.191531  58.706750 0.999541  59.706291  60.705842 1.301670   5  
  13  28  1    3   0    0    7   62.505009   0    0  1.033465  63.654496 0.200904  63.971021 0.999530  64.970551  65.970100 1.035133   5  
  14  28  3    1   0    0    6   67.502745   0    0  1.584129  69.201990 0.189009  69.501841 0.999559  70.501400  71.500945 0.502055   5  
  15  31  3    2   0    0    6   72.500472   0    0  1.399798  74.016457 0.297840  74.432930 0.999556  75.432486  76.432021 0.568671   5  
  16  31  2    2   1    0    5   77.498216   0    0  0.817691  78.431120 0.330296  78.880920 0.999550  79.880470  80.879999 1.118436   5  
  17  31  2    2   1    0    5   82.495940   0    0  1.150150  83.778725 0.236906  84.128534 0.999553  85.128086  86.127624 0.868556   5  
  18  27  2    3   0    0    6   87.510348   0    0  0.934653  88.576528 0.161736  88.843069 0.999551  89.842621  90.842163 1.168384   5  
  19  27  2    3   0    0    5   92.508062   0    0  0.983478  93.607543 0.183920  93.907428 0.999565  94.906993  95.906522 1.101772   5  
  20  30  4    3   0    0    6   97.505802   0    0  2.017551  99.671498 0.304147 100.087975 0.999583 101.087559 102.087057 0.918967   6  
  21  30  3    3   1    0    7  103.503078   0    0  1.016795 104.635900 0.191773 104.935760 0.999566 105.935325 106.934852 1.068443   5  
  22  30  1    3   0    0    7  108.500816   0    0  0.918000 109.533687 0.200730 109.850199 0.999554 110.849753 111.849294 1.151748   5  
  23  30  4    3   0    0    7  113.498535   0    0  1.100211 114.714652 0.261552 115.081166 0.999531 116.080697 117.080239 0.918476   5  
  24  33  1    3   0    0    7  118.496287   0    0  0.917592 119.529143 0.272220 119.912309 0.999550 120.911859 121.911409 1.085107   5  
  25  33  3    3   1    0    8  123.494012   0    0  1.083432 124.693463 0.450727 125.259874 0.999551 126.259424 127.258981 0.735161   5  
  26  33  1    1   1    0    5  128.491744   0    0  1.450669 130.057705 0.181666 130.357567 0.999540 131.357107 132.356667 0.635271   5  
  27  29  4    3   0    0    7  133.489472   0    0  1.466665 135.072089 0.194733 135.371948 0.999555 136.371503 137.371057 0.618503   5  
  28  29  1    3   0    0    5  138.487226   0    0  1.317349 139.919892 0.344182 140.369698 0.999542 141.369241 142.368793 0.618623   5  
  29  32  3    3   1    0    2  143.484928   0    0  0.917140 144.534494 0.299966 144.950931 0.999562 145.950493 146.950035 1.034936   5  
  30  32  3    3   1    0    4  148.515989   0    0  0.950995 149.582194 0.319697 150.015326 0.999531 151.014857 152.014400 1.001812   5  
  31  28  4    2   0    0    4  153.513715   0    0  0.933545 154.563244 0.292309 154.963082 0.999541 155.962623 156.962151 1.051803   5  
  32  28  2    2   1    0    5  158.511475   0    0  0.934387 159.594290 0.432297 160.144049 0.999546 161.143595 162.143134 0.868578   5  
  33  28  1    3   0    0    7  163.509181   0    0  1.300044 164.925203 0.402424 165.441653 0.999535 166.441187 167.440742 0.568678   5  
  34  28  4    2   0    0    5  168.506923   0    0  1.317502 169.972949 0.245725 170.339427 0.999553 171.338979 172.338515 0.668656   5  
  35  31  1    2   0    0    5  173.504652   0    0  1.516516 175.153906 0.334004 175.603693 0.999555 176.603248 177.602801 1.402080   6  
  36  31  4    4   1    0    5  179.501938   0    0  1.484291 181.101258 0.237096 181.451057 0.999545 182.450602 183.450140 0.552029   5  
  37  31  4    2   0    0    6  184.499652   0    0  1.982984 186.598703 0.232371 186.948554 0.999545 187.948099 188.947660 1.052229   6  
  38  31  4    2   0    0    5  190.496948   0    0  0.967989 191.579797 0.207089 191.896281 0.999579 192.895860 193.895412 1.101745   5  
  39  35  2    2   1    0    5  195.494669   0    0  0.717020 196.327629 0.361088 196.794116 0.999521 197.793637 198.793193 1.201717   5  
  40  35  4    4   1    0    6  200.492411   0    0  1.001083 201.608576 0.348080 202.075028 0.999549 203.074577 204.074117 0.918521   5  
  41  31  1    2   0    0    7  205.506800   0    0  0.866797 206.489688 0.224786 206.822892 0.999530 207.822422 208.821957 1.185059   5  
  42  31  4    4   1    0    5  210.504535   0    0  1.250816 211.870588 0.334949 212.320376 0.999554 213.319930 214.319480 0.685285   5  
  43  31  3    3   1    0    4  215.502262   0    0  1.183362 216.801678 0.559572 217.468038 0.999546 218.467584 219.467134 0.535290   5  
  44  27  3    3   1    0    2  220.500002   0    0  1.800841 222.432454 0.505405 223.048858 0.999532 224.048389 225.047930 0.952297   6  
  45  27  2    2   1    0    7  226.497268   0    0  1.266632 227.879975 0.243202 228.229825 0.999537 229.229361 230.228911 0.768494   5  
  46  24  2    2   1    0    8  231.494937   0    0  0.784872 232.394606 0.411427 232.911035 0.999549 233.910584 234.910126 1.085119   5  
  47  24  2    2   1    0    6  236.492738   0    0  0.733627 237.342352 0.211183 237.658909 0.999513 238.658422 239.657966 1.334859   5  
  48  21  4    3   0    0    6  241.507139   0    0  2.217146 243.856073 0.075009 244.039323 0.999553 245.038876 246.038427 0.968953   6  
  49  21  1    2   0    0    5  247.504405   0    0  1.433400 249.070394 0.213965 249.403568 0.999531 250.403098 251.402639 0.601994   5  
  50  24  4    3   0    0    6  252.502142   0    0  2.501188 255.117635 0.078703 255.300878 0.999553 256.300431 257.299972 0.702418   6  
  51  24  1    2   0    0    2  258.499410   0    0  1.500015 260.131899 0.272546 260.515170 0.999553 261.514723 262.514276 1.485377   6  
  52  27  1    2   0    0    5  264.513373   0    0  1.834215 266.462476 0.328469 266.895665 0.999508 267.895174 268.894715 1.118877   6  
  53  27  1    1   1    0    5  270.510635   0    0  2.132883 272.759631 0.134335 273.009505 0.999549 274.009054 275.008596 1.002276   6  
  54  27  3    3   1    0    5  276.507921   0    0  1.236028 277.857310 0.664954 278.640286 0.999552 279.639838 280.639374 1.368781   6  
  55  24  3    2   0    0    2  282.505188   0    0  1.166786 283.787942 0.593229 284.487650 0.999529 285.487178 286.486746 0.518683   5  
  56  24  3    3   1    0    6  287.502940   0    0  1.834002 289.452058 0.417172 289.985169 0.999529 290.984698 291.984225 1.018925   6  
  57  24  2    2   1    0    3  293.500200   0    0  1.166874 294.782951 0.363955 295.266076 0.999548 296.265625 297.265173 0.735263   5  
  58  21  1    3   0    0    3  298.497954   0    0  1.683943 300.297127 0.559790 300.963504 0.999533 301.963037 302.962575 1.035593   6  
  59  21  4    2   0    0    3  304.495210   0    0  0.933578 305.561431 0.360411 306.027868 0.999543 307.027411 308.026964 0.968494   5  
  60  24  2    3   0    0    1  309.492967   0    0  1.967801 311.575350 0.352032 312.041806 0.999548 313.041354 314.040904 0.952282   6  
]; % This session completes at 12-Jan-2019 14:27:32, 317.004s after session start, 313s on 60 trials, totally 331.791s, correctness is 50.000%.

