%% MetaTwins_RDMsc_training for 'donglanyue': starting at _nofeedback (       49.0000000000).2-Jan-2019 14:42:10 for '7.374376e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  3    3   1    0    7    2.499038   0    0  0.901007   3.515241 0.120647   3.748466  0   0    3.748466 1.250791   3  
   2  20  1    2   0    0    5    5.497664   0    0  1.034488   6.647145 1.225466   7.979877  0   0    7.979877 1.018026   4  
   3  20  3    2   0    0    5    9.495842   0    0  0.816676  10.428761 0.133862  10.678646  0   0   10.678646 1.317339   3  
   4  22  2    2   1    0    4   12.494481   0    0  0.767022  13.377467 0.459882  13.943831  0   0   13.943831 1.050890   3  
   5  22  2    4   0    0    2   15.493128   0    0  1.683089  17.292307 0.172188  17.575510  0   0   17.575510 1.417818   4  
   6  22  3    3   1    0    7   19.507985   0    0  1.000211  20.624142 0.202612  20.940652  0   0   20.940652 1.067548   3  
   7  22  1    1   1    0    3   22.506614   0    0  1.216635  23.839335 0.253984  24.205841  0   0   24.205841 0.801019   3  
   8  19  4    4   1    0    2   25.505251   0    0  1.266875  26.887956 0.374909  27.371079  0   0   27.371079 0.634431   3  
   9  19  2    2   1    0    7   28.503904   0    0  0.934377  29.553425 0.169025  29.836631  0   0   29.836631 1.167488   3  
  10  17  1    4   0    0    5   31.502539   0    0  1.134264  32.751945 0.229445  33.101807  0   0   33.101807 0.900954   3  
  11  17  3    3   1    0    7   34.501174   0    0  2.100678  36.716848 0.216068  37.050027  0   0   37.050027 0.951373   4  
  12  17  4    4   1    0    2   38.499363   0    0  1.534131  40.148617 0.405445  40.665047  0   0   40.665047 1.334525   4  
  13  15  1    1   1    0    6   42.497537   0    0  1.633901  44.246763 0.121274  44.479989  0   0   44.479989 0.517791   3  
  14  15  1    2   0    0    5   45.496185   0    0  1.317844  46.928874 0.327577  47.362003  0   0   47.362003 0.634419   3  
  15  15  2    1   0    0    2   48.494779   0    0  1.933892  50.543907 0.343703  50.993691  0   0   50.993691 1.001366   4  
  16  16  4    3   0    0    1   52.493012   0    0  1.101094  53.709127 0.351050  54.175584  0   0   54.175584 0.817665   3  
  17  16  1    2   0    0    7   55.491646   0    0  1.384229  56.990931 0.253978  57.357474  0   0   57.357474 0.634395   3  
  18  18  2    2   1    0    5   58.506960   0    0  1.101151  59.723061 0.289718  60.122884  0   0   60.122884 0.884308   3  
  19  18  4    4   1    0    6   61.505599   0    0  1.267566  62.888289 0.241715  63.238135  0   0   63.238135 0.767705   3  
  20  16  3    3   1    0    7   64.504233   0    0  2.000721  66.619936 0.187205  66.919795  0   0   66.919795 1.084658   4  
  21  16  3    2   0    0    2   68.502427   0    0  1.750657  70.368243 0.572767  71.051270  0   0   71.051270 0.951364   4  
  22  16  2    4   0    0    6   72.500608   0    0  1.483949  74.099881 0.615945  74.832879  0   0   74.832879 1.167942   4  
  23  18  1    1   1    0    5   76.498781   0    0  1.068623  77.681588 0.543278  78.331294  0   0   78.331294 0.667707   3  
  24  18  2    4   0    0    7   79.497438   0    0  1.268672  80.880140 0.369689  81.363243  0   0   81.363243 0.634412   3  
  25  18  2    2   1    0    6   82.496058   0    0  1.484247  84.095351 0.497143  84.711722  0   0   84.711722 1.284581   4  
  26  18  2    2   1    0    7   86.494249   0    0  0.884541  87.493809 0.246099  87.860303  0   0   87.860303 1.134184   3  
  27  16  1    4   0    0    5   89.492888   0    0  1.068021  90.675690 0.313297  91.108817  0   0   91.108817 0.884307   3  
  28  16  2    3   0    0    7   92.491527   0    0  1.584461  94.207403 0.218301  94.540601  0   0   94.540601 1.451157   4  
  29  18  4    2   0    0    3   96.489720   0    0  1.067263  97.672516 0.308735  98.088989  0   0   98.088989 0.900951   3  
  30  18  4    4   1    0    2   99.505021   0    0  1.350839 100.971023 0.264881 101.354180  0   0  101.354180 0.651068   3  
  31  18  4    4   1    0    7  102.503660   0    0  0.950970 103.569835 0.471681 104.152906  0   0  104.152906 0.850987   3  
  32  16  1    3   0    0    1  105.502299   0    0  1.850821 107.468065 0.344979 107.917867  0   0  107.917867 1.084667   4  
  33  16  3    3   1    0    7  109.500481   0    0  1.767422 111.383017 0.642492 112.132622  0   0  112.132622 0.868112   4  
  34  16  3    2   0    0    5  113.498663   0    0  2.317071 115.930905 0.590926 116.630585  0   0  116.630585 1.368305   5  
  35  16  2    2   1    0    5  118.496407   0    0  1.266510 119.879126 0.332578 120.328896  0   0  120.328896 0.667713   3  
  36  16  3    1   0    0    6  121.495048   0    0  2.466294 124.077205 0.240834 124.427041  0   0  124.427041 0.568224   4  
  37  16  3    2   0    0    5  125.493213   0    0  0.983535 126.592737 0.589174 127.292410  0   0  127.292410 0.701021   3  
  38  18  1    3   0    0    5  128.491859   0    0  2.166087 130.790818 0.360450 131.257270  0   0  131.257270 0.734837   4  
  39  18  3    3   1    0    1  132.490040   0    0  1.416522 134.022686 0.551946 134.689043  0   0  134.689043 1.301148   4  
  40  18  1    1   1    0    6  136.488236   0    0  1.684071 138.287430 0.368228 138.770540  0   0  138.770540 1.217915   4  
  41  16  4    1   0    0    5  140.503130   0    0  1.684222 142.302266 0.165295 142.585466  0   0  142.585466 1.417864   4  
  42  16  2    2   1    0    5  144.501265   0    0  0.984329 145.600773 0.277183 145.983927  0   0  145.983927 1.017577   3  
  43  16  4    4   1    0    7  147.499915   0    0  1.284077 148.899277 0.239324 149.249110  0   0  149.249110 0.751031   3  
  44  14  2    2   1    0    7  150.498552   0    0  0.717802 151.331501 0.292771 151.731316  0   0  151.731316 1.267459   3  
  45  14  4    4   1    0    2  153.497188   0    0  1.217503 154.829919 0.345343 155.279711  0   0  155.279711 0.717702   3  
  46  13  3    2   0    0    1  156.495832   0    0  0.801500 157.412069 0.423855 157.945176  0   0  157.945176 1.050878   3  
  47  13  3    3   1    0    6  159.494517   0    0  1.450692 161.060422 0.552737 161.726737  0   0  161.726737 1.267939   4  
  48  13  2    2   1    0    1  163.492653   0    0  0.884586 164.492198 0.557868 165.158566  0   0  165.158566 0.834296   3  
  49  12  4    2   0    0    6  166.491302   0    0  2.117318 168.723607 0.232009 169.073464  0   0  169.073464 0.918059   4  
  50  12  4    3   0    0    5  170.489491   0    0  1.717817 172.322021 0.268326 172.705149  0   0  172.705149 1.284558   4  
  51  13  4    4   1    0    1  174.504324   0    0  1.201310 175.820397 0.344172 176.270184  0   0  176.270184 0.734374   3  
  52  13  3    3   1    0    1  177.502963   0    0  1.484072 179.102232 0.354830 179.568685  0   0  179.568685 1.434483   4  
  53  12  4    2   0    0    5  181.517815   0    0  0.901181 182.534022 0.408085 183.050444  0   0  183.050444 0.967589   3  
  54  12  1    3   0    0    4  184.516448   0    0  1.201072 185.882498 0.126720 186.115715  0   0  186.115715 0.900949   3  
  55  13  1    1   1    0    3  187.515092   0    0  1.834603 189.480862 0.363992 189.963979  0   0  189.963979 1.051350   4  
  56  13  2    2   1    0    5  191.513277   0    0  1.067824 192.696068 0.287811 193.095891  0   0  193.095891 0.917604   3  
  57  12  3    3   1    0    5  194.511909   0    0  1.284152 195.911278 0.444438 196.461022  0   0  196.461022 0.551108   3  
  58  12  1    3   0    0    5  197.510552   0    0  1.950932 199.576285 0.122138 199.809510  0   0  199.809510 1.201280   4  
  59  12  4    2   0    0    5  201.508742   0    0  1.350903 202.974742 0.180301 203.274609  0   0  203.274609 0.734342   3  
  60  13  1    1   1    0    7  204.507384   0    0  1.351656 205.973381 0.367213 206.456499  0   0  206.456499 0.551100   3  
]; % This session completes at 12-Jan-2019 14:45:49, 209.003s after session start, 205s on 60 trials, totally 218.843s, correctness is 55.000%.

