%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at shanghao (       49.0000000000).3-Jan-2019 12:06:357.374385e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   15   3   0    6      5      2.498462 1.415904   4.430550 1.342073   5.879639 2.119131   6  
   2  1   15   2   0    6      3      8.494639 1.399255  10.410088 0.755154  11.276221 2.718673   6  
   3  2   15   4   0    2      5     14.490828 1.932222  16.939267 0.907938  17.955300 2.035752   6  
   4  4   15   2   0    7      8     20.487025 1.149406  22.152622 1.761369  24.034760 1.952427   6  
   5  4   15   4   1    7      6     26.499868 1.798998  28.815053 0.686506  29.614547 2.385434   6  
   6  2   15   2   1    7      5     32.512669 1.066207  34.095033 1.078501  35.294259 2.718772   6  
   7  2   15   4   0    4      3     38.508890 1.898952  40.924010 1.086820  42.123243 1.885977   6  
   8  2   15   3   0    2      1     44.505078 2.032065  47.053432 0.883969  48.052808 1.952582   6  
   9  3   15   3   1    4      3     50.501248 1.932288  52.949687 1.890082  54.948427 1.053144   6  
  10  2   15   2   1   -1      5     56.497432 1.749102  58.762657 0.000000  60.761303 1.236461   6  
  11  3   15   1   0    2      2     62.510276 2.281975  65.308503 1.135892  66.557704 1.452897   6  
  12  2   15   2   1    6      8     68.506451 1.232632  70.255353 1.232166  71.604517 2.402284   6  
  13  1   15   1   1   -1      4     74.502639 1.782425  76.801174 0.000000  78.799829 1.203147   6  
  14  1   15   1   1    2      4     80.498815 2.048860  83.063867 0.788541  83.963301 2.035809   6  
  15  1   15   3   0    4     -1     86.495016 2.132222  89.143318 0.883232  90.142687 1.852559   6  
  16  4   15   2   0    1      3     92.491196 2.365287  95.372693 0.495334  95.988968 2.002425   6  
  17  2   15   3   0    2      2     98.487386 2.115449 101.119035 0.333057 101.568762 2.418770   6  
  18  1   15   1   1    4      5    104.516864 1.848937 106.882037 0.844849 107.848100 2.169109   6  
  19  3   15  -1   0    3      3    110.513069 2.398569 112.928113 0.824073 113.860944 2.152440   6  
  20  2   15   2   1    4      5    116.509249 1.565925 118.591249 0.639664 119.340785 2.668790   6  
  21  2   15   2   1    4      6    122.505440 1.898900 124.920567 1.121093 126.153122 1.852665   6  
  22  4   15   3   0    6      7    128.501622 1.349157 130.367105 0.833595 131.316511 2.685431   6  
  23  3   15   4   0    1      3    134.497803 2.265405 137.279371 0.800745 138.195458 1.802685   6  
  24  2   15   4   0    2      4    140.493988 2.231972 143.242237 0.437828 143.791882 2.202434   6  
  25  2   15   2   1    6      6    146.506836 2.282149 149.305069 0.327452 149.738115 2.269054   6  
  26  3   15   2   0    4      7    152.503016 2.015615 155.034747 0.133944 155.284600 2.718718   6  
  27  1   15   1   1    4      2    158.499196 2.265375 161.280771 0.306565 161.697168 2.302298   6  
  28  4   15   1   0    2      3    164.495393 2.132202 167.143700 0.437402 167.693363 2.302239   6  
  29  1   15   1   1    2      5    170.491582 1.765780 172.773455 0.001027 172.890046 3.101695   6  
  30  3   15   2   0    2      6    176.487758 2.015495 179.019466 0.520140 179.652409 2.335465   6  
  31  2   15   2   1    1      5    182.517267 1.682397 184.715862 0.386364 185.215541 2.802033   6  
  32  3   15   4   0    2      3    188.513426 2.015502 191.045159 0.093727 191.245040 2.768738   6  
  33  4   15   4   1    3      7    194.509620 2.032083 197.058006 0.337765 197.507721 2.502249   6  
  34  4   15  -1   0    2      2    200.505803 2.415123 202.937580 1.542989 204.586551 1.419586   6  
  35  4   15   2   0    6      6    206.501989 1.499072 208.517365 0.850455 209.483435 2.518885   6  
  36  4   15   3   0    1      1    212.498166 2.398600 215.412996 0.177571 215.696148 2.302347   6  
  37  4   15   4   1    4      6    218.494361 2.015412 221.026099 0.579618 221.725645 2.269041   6  
