%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at shanghao (       49.0000000000).3-Jan-2019 12:16:597.374385e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   9    2   0    4    2.498414 1.700217   4.347231 1.859051   6.312649 1.686069   6  
   2  1   9    1   1    6    8.494578 1.832591  10.460015 0.714604  11.292807 2.702110   6  
   3  2   9    2   1    1   14.507439 1.416054  16.073100 1.260608  17.455545 2.552211   6  
   4  1   9    1   1    6   20.503609 1.183012  21.802797 0.491705  22.402416 3.601522   6  
   5  3   9    4   0    6   26.499787 1.316142  27.932220 0.260856  28.298653 3.701467   6  
   6  2   9    2   1    3   32.512645 1.432744  34.094939 1.343096  35.544037 2.468931   6  
   7  1   9    2   0    6   38.492182 1.432736  40.091160 0.364273  40.574169 3.418108   6  
   8  4   9    1   0    2   44.488347 1.699276  46.353831 0.985442  47.453134 2.535377   6  
   9  4   9    1   0    6   50.501195 1.133043  51.816830 1.733068  53.665843 2.335572   6  
  10  3   9    2   0    2   56.497380 1.549440  58.212823 0.882321  59.212331 2.785310   6  
  11  3   9    1   0   -1   62.493567 1.899094  64.558928 0.000000  66.557573 1.436316   6  
  12  4   9    3   0    7   68.506410 1.316295  69.938632 0.680058  70.738315 3.268418   6  
  13  3   9    2   0    3   74.502588 1.982547  76.651218 1.001608  77.767167 2.235756   6  
  14  2   9    1   0    6   80.498784 2.049128  82.763998 0.254770  83.130429 2.868664   6  
  15  1   9    1   1    2   86.511621 2.432218  89.126628 0.562072  89.809508 2.202432   6  
  16  2   9    2   1    7   92.507795 1.699416  94.373292 0.779171  95.272696 2.735435   6  
  17  1   9    2   0    6   98.503985 2.415481 101.069016 0.269571 101.452117 2.552193   6  
  18  4   9    1   0    1  104.500169 1.283009 105.899098 0.600254 106.615496 3.384828   6  
  19  4   9    2   0    3  110.496353 1.616089 112.245252 0.417231 112.778238 3.218337   6  
  20  1   9    2   0    6  116.492534 1.799307 118.407992 0.227616 118.741104 3.251705   6  
