%% MetaTwins_RDMsc_training for 'shanghao': starting at _feedback (       49.0000000000).3-Jan-2019 11:41:25 for '7.374385e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  13  3    3   1    0    6    2.498911   0    0  1.382828   3.997953 0.528446   4.647543 0.999360   5.646903   6.646269 1.352966   6  
   2  13  4    3   0    0    6    8.495088   0    0  2.015899  10.643741 0.274964  11.026830 0.999345  12.026175  13.025538 0.969852   6  
   3  13  4    1   0    0    6   14.491281   0    0  2.398944  17.056186 0.340690  17.506040 0.999353  18.505393  19.504757 1.486797   7  
   4  14  2    2   1    0    6   21.503490   0    0  1.632635  23.285693 0.139266  23.535543 0.999338  24.534881  25.534267 1.469469   6  
   5  14  4    3   0    0    6   27.499682   0    0  1.899068  29.515071 0.090153  29.714924 0.999365  30.714289  31.713649 1.286247   6  
   6  14  3    3   1    0    6   33.495861   0    0  1.649368  35.261404 0.145646  35.527901 0.999357  36.527258  37.526625 1.469439   6  
   7  14  3    3   1    0    6   39.492034   0    0  1.965780  41.607371 0.212839  41.940479 0.999359  42.939838  43.939208 1.053010   6  
   8  13  4    4   1    0    6   45.488236   0    0  1.965884  47.570245 0.202524  47.886705 0.999355  48.886060  49.885423 1.102965   6  
   9  13  3    3   1    0    6   51.501074   0    0  1.532836  53.149911 0.117108  53.383206 0.999351  54.382557  55.381920 0.619301   5  
  10  12  3    3   1    0    6   56.497889   0    0  1.615901  58.263450 0.131571  58.513273 0.999366  59.512639  60.511994 1.486000   6  
  11  12  2    2   1    0    6   62.510738   0    0  1.416154  64.042923 0.052403  64.209647 0.999362  65.209009  66.208380 0.802678   5  
  12  11  3    3   1    0    6   67.507541   0    0  1.449562  69.073221 0.360834  69.539597 0.999356  70.538953  71.538313 1.469564   6  
  13  11  2    2   1    0    6   73.503728   0    0  1.199751  74.852894 0.077159  75.036110 0.999344  76.035454  77.034810 0.969255   5  
  14  10  2    2   1    0    6   78.500556   0    0  1.117029  79.816393 0.149021  80.082889 0.999339  81.082228  82.081623 0.919248   5  
  15  10  3    3   1    0    7   83.514039   0    0  2.082469  85.729301 0.118501  85.962468 0.999372  86.961841  87.961197 1.053159   6  
  16   9  4   -1   0    0    2   89.510223   0    0  0.000000  92.025329 0.109505  92.241825 0.999337  93.241161  94.240541 0.770003   6  
  17   9  4    4   1    0    7   95.506398   0    0  2.065811  97.688344 0.096230  97.904883 0.999348  98.904231  99.903604 1.103127   6  
  18   9  4    4   1    0    7  101.502576   0    0  2.082471 103.701197 0.114781 103.934380 0.999357 104.933737 105.933090 1.069820   6  
  19   8  3    3   1    0    6  107.498772   0    0  1.682683 109.297623 0.082471 109.497511 0.999356 110.496866 111.496221 0.502873   5  
  20   8  3    2   0    0    6  112.495590   0    0  2.382314 115.027327 0.131004 115.277162 0.999359 116.276521 117.275881 0.720044   6  
  21   8  3    4   0    0    6  118.508426   0    0  1.815947 120.440524 0.164096 120.723694 0.999358 121.723053 122.722411 1.286352   6  
  22   9  1    2   0    0    6  124.504620   0    0  2.282368 126.919545 0.385078 127.419443 0.999347 128.418790 129.418158 0.586789   6  
  23   9  4    1   0    0    6  130.500803   0    0  2.048998 132.715983 0.174343 132.999224 0.999348 133.998572 134.997933 1.003204   6  
  24  10  4    2   0    0    6  136.496983   0    0  1.799421 138.429106 0.557670 139.095349 0.999343 140.094692 141.094052 0.903275   6  
  25  10  3    3   1    0    6  142.493170   0    0  1.716271 144.325351 0.261755 144.691773 0.999383 145.691156 146.690503 1.302993   6  
  26  10  3    3   1    0    6  148.506006   0    0  1.066422 149.705263 0.103145 149.921784 0.999361 150.921145 151.920502 1.085815   5  
  27   9  4   -1   0    0    6  153.502840   0    0  0.000000 156.017916 0.235540 156.367692 0.999351 157.367043 158.366409 0.636714   6  
  28   9  1    1   1    0    5  159.499020   0    0  1.366237 161.031387 0.126755 161.264566 0.999350 162.263917 163.263285 0.735986   5  
  29   9  1    1   1    0    6  164.495845   0    0  2.265458 166.894174 0.120344 167.127509 0.999356 168.126865 169.126263 0.869820   6  
  30   8  2    1   0    0    6  170.492023   0    0  1.399533 172.107677 0.683115 172.907153 0.999358 173.906511 174.905883 1.086376   6  
  31   8  2    2   1    0    6  176.488213   0    0  1.366283 177.970603 0.131256 178.220448 0.999345 179.219793 180.219170 0.769232   5  
  32   8  2    3   0    0    6  181.501686   0    0  1.366229 182.984077 0.055106 183.150633 0.999368 184.150001 185.149376 0.852489   5  
  33   8  2    2   1    0    6  186.498523   0    0  2.115769 188.730413 0.332757 189.180140 0.999349 190.179489 191.178859 0.819805   6  
  34   8  1    1   1    0    6  192.494690   0    0  1.732769 194.343515 0.104264 194.560047 0.999346 195.559393 196.558780 1.436050   6  
  35   7  2   -1   0    0    3  198.507532   0    0  0.000000 201.022633 0.009075 201.139194 0.999353 202.138548 203.137915 0.869958   6  
  36   7  1    3   0    0    6  204.503718   0    0  2.165707 206.785605 0.106090 207.002123 0.999363 208.001486 209.000847 1.003185   6  
  37   7  4   -1   0    0    6  210.516569   0    0  0.000000 213.031636 1.287651 214.430733 0.999370 215.430103 216.429472 0.587409   7  
  38   7  2    2   1    0    6  217.512103   0    0  1.883277 219.544168 0.241358 219.893933 0.999356 220.893289 221.892645 1.119789   6  
  39   7  1    1   1    0    6  223.508287   0    0  1.882549 225.523673 0.118003 225.756878 0.999339 226.756217 227.755589 1.253024   6  
  40   6  1    4   0    0    6  229.504481   0    0  2.282270 231.902950 0.157993 232.169463 0.999343 233.168807 234.168179 0.836621   6  
  41   6  1    2   0    0    6  235.500664   0    0  2.332237 237.999092 0.179866 238.298889 0.999363 239.298252 240.297608 0.703382   6  
  42   7  1    1   1    0    6  241.496844   0    0  2.232324 243.862027 0.041577 244.011919 0.999359 245.011279 246.010630 0.986551   6  
  43   7  1    4   0    0    6  247.509696   0    0  1.932530 249.558231 0.087318 249.758255 0.999366 250.757620 251.756976 1.253034   6  
  44   7  4   -1   0    0    1  253.505877   0    0  0.000000 256.020981 0.065169 256.204157 0.999350 257.203507 258.202880 0.803332   6  
  45   7  3    3   1    0    6  259.502056   0    0  1.449335 261.067731 0.095182 261.284261 0.999359 262.283620 263.282976 0.719406   5  
  46   7  3    4   0    0    6  264.498880   0    0  1.999319 266.614189 0.585975 267.313753 0.999365 268.313118 269.312472 0.686724   6  
  47   7  2    2   1    0    6  270.495065   0    0  1.732545 272.343818 0.128074 272.577080 0.999361 273.576441 274.575797 1.419592   6  
  48   7  3    3   1    0    6  276.507912   0    0  1.649366 278.273456 0.131532 278.523283 0.999381 279.522665 280.522019 1.486225   6  
  49   6  2    2   1    0    6  282.504077   0    0  1.432863 284.069771 0.039020 284.219667 0.999361 285.219028 286.218394 0.786022   5  
  50   6  1    1   1    0    6  287.500905   0    0  1.249612 288.866703 0.070940 289.049923 0.999369 290.049291 291.048666 0.952563   5  
  51   5  1    2   0    0    6  292.497734   0    0  1.582789 294.229775 0.131070 294.479822 0.999338 295.479160 296.478525 0.519500   5  
  52   5  1    1   1    0    6  297.494554   0    0  1.799360 299.426670 0.145265 299.693154 0.999372 300.692526 301.691874 1.302945   6  
  53   5  4    2   0    0    6  303.490741   0    0  1.915914 305.522785 0.080746 305.722652 0.999363 306.722015 307.721369 1.269619   6  
  54   5  4    4   1    0    6  309.503600   0    0  1.716079 311.352312 0.071452 311.535623 0.999354 312.534976 313.534344 1.469459   6  
  55   5  2    2   1    0    6  315.499770   0    0  1.982476 317.631763 0.000345 317.748341 0.999360 318.747701 319.747059 1.252912   6  
  56   4  2    4   0    0    6  321.495950   0    0  1.899901 323.511268 0.129777 323.761179 0.999343 324.760523 325.759896 1.236224   6  
  57   4  1    4   0    0    6  327.492131   0    0  1.616095 329.224380 0.001322 329.340967 0.999335 330.340302 331.339680 0.652615   5  
  58   5  1    2   0    0    6  332.488957   0    0  1.849311 334.454377 0.374410 334.937395 0.999364 335.936759 336.936118 1.052966   6  
  59   5  2    4   0    0    6  338.501805   0    0  2.498854 341.116794 0.316764 341.549865 0.999340 342.549205 343.548584 1.453311   7  
  60   6  4    1   0    0    6  345.513994   0    0  1.982461 347.645796 0.194471 347.945791 0.999346 348.945137 349.944529 1.069792   6  
]; % This session completes at 13-Jan-2019 11:47:48, 353.005s after session start, 349s on 60 trials, totally 383.688s, correctness is 55.000%.

