%% MetaTwins_RDMsc_training for 'shanghao': starting at _nofeedback (       49.0000000000).3-Jan-2019 11:54:38 for '7.374385e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   8  1    1   1    0    5    2.498494   0    0  1.116417   3.764370 1.220772   5.096839  0   0    5.096839 0.901975   4  
   2   8  3    4   0    0    3    6.495946   0    0  1.582768   8.194878 0.704369   9.011020  0   0    9.011020 0.985211   4  
   3   8  2    2   1    0    7   10.493414   0    0  1.032938  11.642686 0.257497  12.009128  0   0   12.009128 0.984545   3  
   4   8  2    1   0    0    7   13.491501   0    0  1.499461  15.157084 0.222576  15.490238  0   0   15.490238 0.501502   3  
   5   8  1    1   1    0    7   16.489606   0    0  1.549389  18.188523 0.246071  18.554951  0   0   18.554951 1.434869   4  
   6   8  3    2   0    0    7   20.503719   0    0  1.649298  22.285866 0.170313  22.569068  0   0   22.569068 1.434848   4  
   7   8  2    4   0    0    7   24.501169   0    0  1.549509  26.166779 0.241519  26.516553  0   0   26.516553 1.484790   4  
   8   9  3    2   0    0    7   28.498627   0    0  1.832555  30.464039 0.143545  30.713884  0   0   30.713884 1.284899   4  
   9   9  2    1   0    0    2   32.496088   0    0  1.732576  34.394874 0.331397  34.844586  0   0   34.844586 1.151620   4  
  10  10  4    3   0    0    2   36.493541   0    0  2.149018  38.775427 0.414619  39.308418  0   0   39.308418 0.685220   4  
  11  10  3    3   1    0    4   40.507649   0    0  1.516105  42.139945 0.405153  42.656282  0   0   42.656282 1.351697   4  
  12  10  2    2   1    0    2   44.505096   0    0  1.782560  46.437209 1.902671  48.452601  0   0   48.452601 0.552832   5  
  13   9  4    3   0    0    7   49.501917   0    0  1.199639  50.817757 0.158182  51.084253  0   0   51.084253 0.918001   3  
  14   9  1    1   1    0    7   52.500005   0    0  2.465530  55.131691 0.141566  55.381540  0   0   55.381540 0.618809   4  
  15   9  1    3   0    0    7   56.514123   0    0  1.999136  58.662770 0.075299  58.845986  0   0   58.845986 1.168475   4  
