%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhangkejing (       49.0000000000).3-Jan-2019 15:09:517.374386e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   12   2   0    4    2.498877 1.316637   3.998197 0.050085   4.164782 3.834295   6  
   2  2   12   2   1    5    8.496153 1.433270  10.078680 0.164994  10.361966 3.634340   6  
   3  1   12   4   0    2   14.493436 1.083434  15.759521 0.076163  15.942785 4.050726   6  
   4  2   12   2   1    4   20.507382 0.983547  21.623409 0.102857  21.840109 4.167484   6  
   5  1   12   4   0    5   26.504656 0.866903  27.537522 0.000906  27.654129 4.350755   6  
   6  4   12   4   1    5   32.501928 0.716987  33.368215 0.004649  33.484820 4.517351   6  
   7  4   12   4   1    5   38.499210 0.800213  39.432129 0.067721  39.615369 4.384083   6  
   8  2   12   2   1    4   44.496496 1.033278  45.729279 0.052366  45.895859 4.100863   6  
   9  4   12   4   1    5   50.493782 0.900378  51.543306 0.019158  51.676573 4.317363   6  
  10  4   12   2   0    5   56.491056 1.233494  57.907092 0.108734  58.123653 3.867516   6  
  11  1   12   1   1    4   62.504996 1.167020  63.871051 0.084616  64.070959 3.934263   6  
  12  3   12   4   0    5   68.502279 0.800286  69.501830 0.000775  69.618456 4.384048   6  
  13  1   12   2   0    4   74.499556 0.916906  75.548976 0.209079  75.865617 4.134172   6  
  14  2   12   1   0    4   80.496839 0.850184  81.496343 0.072547  81.679648 4.317421   6  
  15  2   12   2   1    5   86.494099 1.116606  87.760198 0.148561  88.026762 3.967589   6  
  16  1   12   2   0    4   92.491403 0.916818  93.540822 0.090499  93.740838 4.250746   6  
  17  1   12   4   0    3   98.488699 0.866731  99.654835 0.096900  99.871398 4.117412   6  
  18  4   12   4   1    5  104.502624 0.833587 105.502048 0.010738 105.618798 4.384061   6  
  19  4   12   4   1    5  110.499900 0.883588 111.566054 0.002505 111.682707 4.317432   6  
  20  1   12   1   1    4  116.497200 1.150081 117.879915 0.142057 118.129797 3.867622   6  
  21  4   12   4   1    5  122.511136 1.499938 124.177044 0.000674 124.293661 3.717709   6  
  22  3   12   2   0    4  128.508419 1.100147 129.774521 0.041491 129.924439 4.084206   6  
  23  2   12   1   0    3  134.505708 1.983077 136.787996 0.848799 137.754233 2.251678   6  
  24  4   12   4   1    5  140.502974 0.916876 141.569026 0.012414 141.685787 4.317321   6  
