%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at zhangkexin (       49.0000000000).3-Jan-2019 15:34:197.374386e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   15   1   0    3      6      2.498880 2.032986   5.047715 0.025640   5.197648 2.801456   6  
   2  3   15   3   1    6      5      8.496138 2.366251  11.378168 0.262214  11.761330 2.235047   6  
   3  2   15   4   0    3      7     14.493422 1.566277  16.575806 0.228158  16.925654 3.067999   6  
   4  4   15   2   0   -1      6     20.507364 2.216008  23.239456 0.000000  25.238471 0.769107   6  
   5  4   15   4   1    2      7     26.504641 1.616138  28.637005 0.001067  28.753619 3.251242   6  
   6  4   15   4   1    3      8     32.501922 1.266369  34.284440 1.137623  35.533873 2.468271   6  
   7  3   15   3   1    5      5     38.499184 1.915897  40.931429 0.147473  41.197970 2.801452   6  
   8  1   15   1   1    6      6     44.513131 1.499697  46.528889 0.215017  46.862074 3.151290   6  
   9  4   15   4   1    4      7     50.510417 1.566161  52.592799 0.736006  53.442420 2.568226   6  
  10  2   15   4   0    6      8     56.507689 1.333028  58.356849 1.609957  60.072736 1.935174   6  
  11  2   15   4   0    4      8     62.504975 1.499541  64.520720 0.693096  65.320362 2.684836   6  
  12  4   15   1   0    3      4     68.502277 2.215978  71.234345 0.424375  71.767440 2.235044   6  
  13  4   15   4   1    6      7     74.499522 1.383088  76.398671 0.670290  77.181642 2.817943   6  
  14  2   15   3   0    3      5     80.496806 2.215838  83.228893 0.737596  84.078522 1.918369   6  
  15  4   15   4   1    3      7     86.494088 1.649551  88.659770 0.191750  88.959646 3.034551   6  
  16  2   15   2   1    4      3     92.491380 2.182765  95.190146 0.404987  95.706572 2.284920   6  
  17  4   15   4   1    6      7     98.488644 1.333062 100.337809 0.406399 100.854236 3.134558   6  
  18  4   15   1   0    6      4    104.502580 1.266421 106.285118 0.658584 107.051420 2.951336   6  
  19  1   15   2   0    4      4    110.499862 1.699556 112.715537 0.940280 113.765050 2.235002   6  
  20  4   15   2   0    6      4    116.497140 2.116034 119.129273 0.005169 119.245901 2.751452   6  
  21  1   15   1   1    1      6    122.494418 1.333021 124.343607 0.344634 124.793388 3.201265   6  
  22  2   15   1   0    3      5    128.508362 2.049385 131.073864 0.303853 131.490350 2.518245   6  
  23  2   15   4   0    5      5    134.505637 1.716147 136.737968 1.033548 137.887443 2.118427   6  
  24  4   15   2   0    1      2    140.502913 2.182645 143.201694 0.440911 143.751443 2.251703   6  
  25  3   15   3   1    4      3    146.500194 2.132699 149.148997 0.843953 150.098572 1.901852   6  
  26  2   15   3   0    3      3    152.497483 2.199283 155.212918 0.568786 155.895940 2.101771   6  
  27  4   15   4   1    5      7    158.511427 1.549449 160.577147 0.638963 161.326808 2.684845   6  
  28  1   15   3   0    1      5    164.508703 0.000000 167.657274 0.000836 167.773888 2.235037   6  
