%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at zhangkexin (       49.0000000000).3-Jan-2019 15:44:257.374387e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   12   2   0    4      6      2.498854 1.699909   4.714518 0.007660   4.831146 3.167933   6  
   2  2   12   2   1    6      4      8.496138 1.483384  10.495239 0.372967  10.978345 3.017993   6  
   3  3   12   2   0    2      4     14.493417 1.533024  16.542493 0.403146  17.058930 2.934657   6  
   4  1   12   4   0    4      5     20.490699 1.699552  22.706356 0.856417  23.672603 2.318244   6  
   5  4   12   4   1    6      5     26.487991 1.349795  28.353805 0.334545  28.803603 3.184485   6  
   6  2   12   2   1    5      5     32.501939 1.366497  34.384407 0.609407  35.100748 2.901254   6  
   7  2   12   2   1    7      5     38.499203 1.632690  40.648219 0.450052  41.214636 2.784621   6  
   8  3   12   2   0    7      4     44.513141 1.432936  46.462252 0.371481  46.945378 3.067999   6  
   9  1   12   1   1    5      4     50.510413 2.016099  53.042598 0.774276  53.925546 2.085105   6  
  10  2   12   4   0    6      5     56.507697 1.849402  58.873288 0.226903  59.206475 2.801453   6  
  11  4   12   1   0    7      2     62.504976 1.449647  64.470752 1.023254  65.603577 2.401623   6  
  12  4   12   4   1    3      5     68.502249 1.383003  70.401388 0.395616  70.917820 3.084668   6  
  13  3   12   4   0    2      5     74.499535 1.349641  76.365354 0.711499  77.181655 2.818109   6  
  14  1   12   2   0    7      4     80.496812 1.433055  82.445924 0.445518  83.012335 2.984711   6  
  15  2   12   3   0    3      5     86.494103 1.266409  88.276619 0.000765  88.393232 3.601085   6  
  16  4   12   4   1    7      5     92.508025 1.782683  94.806997 0.457616  95.373400 2.634867   6  
  17  2   12   1   0    3      3     98.505304 1.682885 100.704322 0.576581 101.387342 2.618196   6  
  18  3   12   2   0    4      4    104.502598 1.849440 106.868182 0.641423 107.617847 2.384934   6  
  19  2   12   4   0    6      5    110.499874 1.649501 112.665546 0.161844 112.948756 3.051272   6  
  20  2   12   2   1    7      4    116.497155 1.932814 118.946037 0.629608 119.695696 2.301597   6  
  21  4   12   4   1    7      5    122.494438 1.749559 124.760063 0.609295 125.476411 2.518135   6  
  22  3   12   2   0    6      4    128.491700 1.549611 130.557443 0.398615 131.073876 2.917914   6  
  23  4   12   4   1    7      5    134.488983 1.366393 136.371460 1.304666 137.787492 2.201551   6  
  24  4   12   4   1    7      5    140.502920 1.249682 142.268793 1.197680 143.584856 2.418287   6  
  25  3   12   2   0    3      5    146.500212 1.483002 148.499305 0.826551 149.432212 2.568217   6  
  26  4   12   4   1    6      5    152.514144 1.182958 154.213366 0.624286 154.946375 3.068006   6  
  27  4   12   4   1    6      5    158.511420 1.233147 160.260618 0.791697 161.160216 2.851434   6  
  28  2   12   4   0    4      5    164.508706 1.249757 166.274562 1.552514 167.940471 2.068460   6  
  29  1   12   1   1    8      4    170.505975 0.949916 171.971977 1.646609 173.737844 2.268362   6  
  30  3   12   4   0    7      1    176.503259 1.299585 178.319098 0.435129 178.868853 3.134643   6  
  31  4   12   4   1    6      5    182.500539 1.516271 184.532955 0.001028 184.649564 3.351200   6  
  32  1   12   3   0    7      2    188.497825 1.333045 190.346981 0.847405 191.313206 2.684851   6  
  33  1   12   2   0    7      4    194.495098 1.749663 196.760747 0.666326 197.543711 2.451613   6  
  34  4   12   4   1    7      5    200.492384 1.382970 202.391513 0.022377 202.524787 3.467791   6  
  35  1   12   4   0    6      2    206.489652 1.349754 208.355471 0.826101 209.288387 2.701451   6  
  36  3   12   2   0    7      3    212.503595 1.599453 214.619313 0.000750 214.735915 3.267830   6  
  37  2   12   2   1    2      3    218.500869 2.182630 221.199646 0.001015 221.316274 2.684725   6  
  38  2   12   3   0    3      5    224.498151 2.249269 227.263578 0.748434 228.129843 1.868412   6  
  39  4   12   4   1    6      5    230.495439 1.516265 232.527843 0.168254 232.811050 3.184452   6  
  40  1   12   2   0    7      4    236.509364 1.399688 238.425173 0.956919 239.491355 2.518244   6  
  41  2   12   4   0    6      5    242.506652 1.416370 244.439106 0.967375 245.521944 2.484933   6  
  42  3   12   4   0    5      5    248.503929 1.782717 250.802875 0.880475 251.802434 2.201722   6  
  43  1   12   4   0    6      5    254.501207 1.966081 256.983415 0.928995 258.032940 1.968500   6  
  44  1   12   2   0    7      4    260.498478 1.249714 262.264344 1.984481 264.363403 1.635312   6  
  45  1   12   4   0   -1      5    266.512425 1.432901 268.461551 0.000000 270.460570 1.552088   6  
  46  3   12   2   0    6      4    272.509706 1.333125 274.358856 0.308140 274.775344 3.234584   6  
  47  3   12   1   0    4      3    278.506975 1.316397 280.339487 1.672328 282.122008 1.885211   6  
  48  4   12   2   0    5      5    284.504269 1.482863 286.503361 1.642113 288.252578 1.751932   6  
  49  4   12   4   1    6      5    290.501547 1.349839 292.367361 0.850208 293.333595 2.668170   6  
  50  2   12   2   1    4      5    296.498821 1.266487 298.281342 0.970006 299.364189 2.634839   6  
  51  2   12   2   1    5      5    302.496106 1.333055 304.345261 0.000839 304.461899 3.534394   6  
  52  2   12   2   1    6      4    308.493378 1.333097 310.342540 0.476633 310.925615 3.067922   6  
  53  4   12   4   1    6      2    314.490688 1.366410 316.373132 0.304406 316.789625 3.201163   6  
  54  4   12   3   0    7      1    320.487936 1.216404 322.220492 0.575193 322.903508 3.084527   6  
  55  3   12   1   0    7      3    326.501874 1.382975 328.401022 1.179101 329.700432 2.301523   6  
  56  1   12   2   0    4      3    332.515815 1.633028 334.664842 0.742733 335.514449 2.501598   6  
  57  4   12   4   1    6      3    338.513095 1.332872 340.362262 1.096442 341.578363 2.434964   6  
  58  1   12   4   0    6      3    344.510362 1.399721 346.426169 0.995182 347.542323 2.468274   6  
  59  4   12   4   1    7      5    350.507656 1.266530 352.290181 0.579606 352.989864 3.018023   6  
  60  4   12   3   0    6      5    356.504933 1.915956 358.937162 0.546774 359.603541 2.401617   6  
  61  1   12   2   0    5      5    362.502224 1.682915 364.701210 1.445989 366.267173 1.735262   6  
  62  1   12   2   0    4      1    368.499499 1.649693 370.665177 1.225757 371.997903 2.001817   6  
  63  1   12   1   1    7      4    374.496782 1.183193 376.196008 1.410750 377.711990 2.285005   6  
  64  1   12   4   0    7      5    380.494045 1.582942 382.593089 0.627572 383.326107 2.668176   6  
  65  4   12   4   1    8      5    386.507977 1.282956 388.307177 0.665114 389.090159 2.918067   6  
  66  3   12   4   0    7      5    392.505274 1.266214 394.287780 0.350074 394.754257 3.251215   6  
  67  2   12   2   1    7      5    398.502555 1.199753 400.218441 0.389656 400.718202 3.284523   6  
  68  3   12   4   0    6      2    404.499822 1.416290 406.432287 0.398284 406.948716 3.051264   6  
  69  4   12   3   0    7      2    410.497105 1.849277 412.862694 0.233774 413.212539 2.784701   6  
  70  3   12   4   0    7      5    416.494386 1.266447 418.276906 0.923725 419.309781 2.684712   6  
  71  1   12   4   0    7      5    422.491671 1.249781 424.257527 1.010236 425.373691 2.618049   6  
  72  1   12   2   0    6      2    428.505603 1.449615 430.471369 0.730736 431.320993 2.684842   6  
  73  2   12   2   1    6      4    434.502880 1.532767 436.551951 0.537060 437.201654 2.801451   6  
  74  3   12   2   0    7      4    440.500157 1.416274 442.432618 0.340350 442.882415 3.117967   6  
  75  3   12   4   0    5      1    446.514093 1.566287 448.596494 0.000722 448.713108 3.301216   6  
  76  2   12   3   0    7      1    452.511384 1.282977 454.310558 0.436647 454.860316 3.151296   6  
  77  4   12   1   0    7      4    458.508664 1.099744 460.124562 0.486602 460.724325 3.284561   6  
  78  1   12   1   1    5      4    464.505930 1.532961 466.555019 0.867227 467.537906 2.468263   6  
  79  3   12   3   1    6      2    470.503216 1.549615 472.568942 0.619285 473.301949 2.701489   6  
  80  2   12   2   1    5      3    476.500490 1.816151 478.832775 0.958870 479.898953 2.101773   6  
  81  3   12   2   0   -1      3    482.497770 1.632781 484.646805 0.000000 485.612888 2.385128   6  
  82  2   12   3   0    7      2    488.495071 1.316364 490.327559 1.147866 491.593656 2.401621   6  
  83  2   12   2   1    4      2    494.492339 2.149279 497.157785 1.021232 498.290604 1.701920   6  
  84  2   12   2   1    5      3    500.489613 2.082568 503.088435 1.089119 504.287889 1.701892   6  
  85  2   12   3   0    8      1    506.503562 1.249617 508.269419 0.869643 509.252310 2.751377   6  
  86  1   12   2   0    4      5    512.500827 2.282485 515.299562 0.936119 516.349082 1.651856   6  
  87  4   12   4   1    7      5    518.498119 1.449602 520.463884 1.449669 522.029849 1.968353   6  
  88  3   12   2   0    8      5    524.512047 1.449654 526.477833 0.485973 527.077563 2.934707   6  
  89  3   12   2   0    6      1    530.509327 1.865989 532.891573 0.742462 533.741194 2.268360   6  
  90  3   12   3   1    8      1    536.506600 1.316373 538.339107 0.958734 539.405287 2.601547   6  
]; % This session completes at 13-Jan-2019 15:53:52, 544.005s after session start, 540s on 90 trials, totally 567.055s.

