%% MetaTwins_RDMsc_training for 'zhangkexin': starting at _nofeedback (       49.0000000000).3-Jan-2019 14:55:04 for '7.374386e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  7   3    2   0    0    8    2.498855   0    0  1.466609   4.098127 0.035092   4.248063  0   0    4.248063 0.751017   3  
   2  7   4    1   0    0    2    5.497501   0    0  2.466191   8.096326 0.749579   8.962601  0   0    8.962601 1.035124   5  
   3  8   2    3   0    0    6   10.495236   0    0  2.116276  12.777537 1.486633  14.376803  0   0   14.376803 0.618633   5  
   4  8   2    2   1    0    7   15.492960   0    0  2.116253  17.775269 0.027184  17.908544  0   0   17.908544 1.084601   4  
   5  8   4    4   1    0    8   19.491155   0    0  1.799840  21.406944 0.055059  21.573543  0   0   21.573543 1.417782   4  
   6  7   2    3   0    0    6   23.489339   0    0  2.199600  25.804950 0.675761  26.587944  0   0   26.587944 1.401571   5  
   7  7   3    2   0    0    7   28.503734   0    0  2.232949  30.869323 1.002773  31.985494  0   0   31.985494 1.018394   5  
   8  8   2   -1   0    0    3   33.501465   0    0  0.000000  36.017024 0.128784  36.250225  0   0   36.250225 0.751386   4  
   9  8   4    4   1    0    8   37.499653   0    0  1.216695  38.849031 0.137815  39.098928  0   0   39.098928 0.900862   3  
  10  8   3    3   1    0    8   40.498298   0    0  2.033935  42.647320 0.080059  42.847224  0   0   42.847224 1.151188   4  
  11  7   1    2   0    0    8   44.496472   0    0  1.999597  46.628850 0.765675  47.511779  0   0   47.511779 1.484814   5  
  12  7   3    2   0    0    8   49.494210   0    0  1.799822  51.493258 0.063297  51.676553  0   0   51.676553 1.317770   4  
  13  8   1    1   1    0    1   53.492399   0    0  2.150204  55.807977 0.393111  56.307780  0   0   56.307780 0.684700   4  
  14  8   4    2   0    0    6   57.490591   0    0  1.749681  59.373057 0.391462  59.872845  0   0   59.872845 1.117814   4  
  15  8   3    2   0    0    8   61.488768   0    0  1.466551  63.104697 0.134367  63.354602  0   0   63.354602 0.634234   3  
  16  9   2    2   1    0    4   64.504072   0    0  2.099559  66.769634 0.874831  67.752593  0   0   67.752593 1.251703   5  
  17  9   1    1   1    0    8   69.501798   0    0  1.783031  71.434218 0.280112  71.834079  0   0   71.834079 1.167953   4  
  18  8   4    2   0    0    4   73.516643   0    0  2.049550  75.715641 1.369855  77.198312  0   0   77.198312 0.818555   5  
  19  8   3    1   0    0    4   78.514377   0    0  2.332832  80.996528 0.730842  81.846198  0   0   81.846198 1.168415   5  
  20  9   2    2   1    0    8   83.512122   0    0  1.966347  85.611155 0.011576  85.727775  0   0   85.727775 1.284556   4  
  21  9   4    4   1    0    8   87.510303   0    0  1.283463  88.909670 0.000685  89.026274  0   0   89.026274 0.984255   3  
  22  8   3    2   0    0    5   90.508933   0    0  1.633178  92.274801 0.851080  93.241034  0   0   93.241034 0.768125   4  
  23  8   4    4   1    0    8   94.507113   0    0  1.533218  96.156379 0.043841  96.306310  0   0   96.306310 0.701034   3  
  24  8   3    1   0    0    8   97.505772   0    0  1.366577  99.021646 0.105536  99.238305  0   0   99.238305 0.767680   3  
  25  8   4    4   1    0    8  100.504408   0    0  0.900159 101.520602 0.056289 101.687195  0   0  101.687195 1.317432   3  
  26  8   1    4   0    0    8  103.503037   0    0  1.233352 104.852434 0.163295 105.135641  0   0  105.135641 0.867622   3  
  27  8   4    4   1    0    7  106.501686   0    0  1.166886 107.784437 0.529301 108.434132  0   0  108.434132 0.567773   3  
  28  8   1    1   1    0    8  109.500319   0    0  1.050019 110.716437 0.000594 110.833053  0   0  110.833053 1.167498   3  
  29  7   3    1   0    0    4  112.498975   0    0  2.116235 114.764584 1.284492 116.163966  0   0  116.163966 0.835218   5  
  30  7   2    1   0    0    2  117.496695   0    0  1.616491 119.279221 0.975381 120.362058  0   0  120.362058 0.634868   4  
  31  8   2    2   1    0    8  121.511534   0    0  2.166258 123.793839 0.130679 124.043728  0   0  124.043728 0.968031   4  
  32  8   2    1   0    0    8  125.509727   0    0  0.883427 126.509105 0.035071 126.659211  0   0  126.659211 1.350746   3  
  33  8   1    1   1    0    7  128.508357   0    0  1.399942 130.024337 0.786828 130.923936  0   0  130.923936 1.084656   4  
  34  8   1    3   0    0    1  132.506547   0    0  2.199558 134.822175 0.861632 135.805053  0   0  135.805053 1.201729   5  
  35  8   3    1   0    0    5  137.504279   0    0  1.449868 139.120124 1.151181 140.386308  0   0  140.386308 0.618202   4  
  36  9   1    1   1    0    6  141.502470   0    0  2.499436 144.117953 1.135489 145.367389  0   0  145.367389 0.635305   5  
  37  9   4   -1   0    0    3  146.500202   0    0  0.000000 149.015744 0.026477 149.148997  0   0  149.148997 0.851439   4  
  38  9   1    1   1    0    8  150.498383   0    0  1.033461 151.647866 0.118583 151.881097  0   0  151.881097 1.117518   3  
  39  8   2    2   1    0    8  153.497032   0    0  1.916307 155.562762 0.000574 155.679372  0   0  155.679372 1.317884   4  
  40  8   1    2   0    0    1  157.495204   0    0  2.266186 159.894128 1.192386 161.193542  0   0  161.193542 0.801903   5  
  41  8   1    1   1    0    5  162.492947   0    0  1.449885 164.058898 1.108625 165.275019  0   0  165.275019 0.718152   4  
  42  8   3    1   0    0    5  166.491137   0    0  2.016254 168.623510 1.496611 170.239439  0   0  170.239439 0.751919   5  
  43  8   2    1   0    0    8  171.505529   0    0  1.216755 172.888232 0.000717 173.004846  0   0  173.004846 1.000884   3  
  44  9   3    1   0    0    4  174.504171   0    0  2.299485 177.002863 1.088732 178.202484  0   0  178.202484 0.801881   5  
  45  9   2   -1   0    0    2  179.501900   0    0  0.000000 182.017449 0.189316 182.317294  0   0  182.317294 0.684776   4  
  46  9   1    1   1    0    8  183.500082   0    0  1.050008 184.699449 0.020542 184.832807  0   0  184.832807 1.167448   3  
  47  9   2   -1   0    0    1  186.498723   0    0  0.000000 189.080734 0.703649 189.897185  0   0  189.897185 1.101697   5  
  48  9   2    2   1    0    8  191.496462   0    0  1.749933 193.428922 0.000717 193.545522  0   0  193.545522 1.451081   4  
  49  8   1    2   0    0    5  195.494646   0    0  2.282951 197.893547 0.884118 198.893095  0   0  198.893095 1.101687   5  
  50  8   3    4   0    0    8  200.492373   0    0  1.716330 202.324725 0.013558 202.458157  0   0  202.458157 0.534346   3  
  51  9   3    1   0    0    1  203.491009   0    0  2.199547 205.839945 0.761349 206.706218  0   0  206.706218 1.284914   5  
  52  9   4    4   1    0    8  208.488747   0    0  1.233408 209.837992 0.005872 209.954744  0   0  209.954744 1.034109   3  
  53  9   4    4   1    0    8  211.487396   0    0  1.200060 212.803456 0.002162 212.920065  0   0  212.920065 1.067424   3  
  54  8   4    4   1    0    8  214.502685   0    0  1.416578 216.035322 0.224436 216.368507  0   0  216.368507 0.634273   3  
  55  8   2   -1   0    0    1  217.501331   0    0  0.000000 220.016862 0.013670 220.150122  0   0  220.150122 0.851283   4  
  56  8   3    3   1    0    5  221.499514   0    0  2.116276 223.748475 0.436055 224.298241  0   0  224.298241 0.701339   4  
  57  7   1   -1   0    0    2  225.497697   0    0  0.000000 228.013252 0.014781 228.146493  0   0  228.146493 0.851260   4  
  58  7   1    4   0    0    6  229.512533   0    0  1.783060 231.411671 0.585109 232.111370  0   0  232.111370 0.901402   4  
  59  7   4    2   0    0    5  233.510718   0    0  1.866522 235.526482 0.520634 236.159526  0   0  236.159526 0.851425   4  
  60  8   4    2   0    0    4  237.508937   0    0  2.382632 240.057762 1.577642 241.740326  0   0  241.740326 1.268820   6  
]; % This session completes at 13-Jan-2019 14:59:16, 245.003s after session start, 241s on 60 trials, totally 252.838s, correctness is 41.667%.

