%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at chenyaru (       49.0000000000).3-Jan-2019 15:34:177.374386e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   10   4   0    7    2.498406 1.401427   4.097406 0.217553   4.430509 3.568223   6  
   2  4   10   2   0    6    8.494586 1.366274  10.060221 0.298211  10.476662 3.518257   6  
   3  1   10   1   1    7   14.507423 1.482818  16.156385 0.276527  16.539468 3.468277   6  
   4  2   10   4   0    3   20.503622 1.899245  22.535443 0.483718  23.135278 2.868664   6  
   5  2   10   3   0    3   26.499796 1.982641  28.648438 0.277682  29.048173 2.951937   6  
   6  1   10   1   1    8   32.512642 1.116259  33.845140 0.370351  34.328145 3.684819   6  
   7  3   10   1   0    7   38.508825 1.815983  40.490895 0.439870  41.040544 2.968604   6  
   8  3   10   3   1    3   44.505007 1.899291  46.553524 0.401573  47.070039 2.935286   6  
   9  3   10   3   1    3   50.501203 2.248913  52.932984 0.237076  53.282764 2.718751   6  
  10  4   10   4   1    3   56.514027 1.849280  58.512759 0.249499  58.879196 3.135162   6  
  11  1   10   1   1    2   62.493568 1.616092  64.258949 0.321122  64.692165 3.301521   6  
  12  3   10   2   0    7   68.489746 2.065676  70.738325 0.229947  71.088089 2.901818   6  
  13  2   10   3   0    6   74.502595 1.765970  76.417987 0.401616  76.934375 3.068421   6  
  14  1   10   3   0    5   80.498782 1.965858  82.614101 0.529910  83.263685 2.735317   6  
  15  2   10   3   0    5   86.494954 2.132473  88.793510 0.384826  89.293173 2.702048   6  
  16  1   10   1   1    7   92.491135 1.016511  93.656879 0.392691  94.156752 3.834698   6  
  17  4   10   3   0    4   98.503991 1.965876 100.585994 0.000654 100.702581 3.301717   6  
  18  1   10   1   1    7  104.500170 2.199101 106.898658 0.227788 107.231760 2.768729   6  
  19  1   10   3   0    2  110.496355 1.815950 112.445118 0.253026 112.811552 3.185123   6  
  20  2   10   1   0    2  116.509194 1.949187 118.691152 0.286379 119.090891 2.918636   6  
  21  1   10   2   0    2  122.505382 1.615900 124.304038 0.480432 124.903851 3.101858   6  
  22  2   10   1   0    2  128.501565 2.265657 130.966646 0.297820 131.383071 2.618818   6  
  23  2   10   3   0    2  134.514398 2.282225 136.946172 0.205547 137.262655 2.752062   6  
  24  2   10   2   1    3  140.510587 1.782652 142.509316 0.619033 143.242194 2.768716   6  
  25  3   10   1   0    7  146.506768 2.348952 149.055165 0.112711 149.288337 2.718770   6  
  26  3   10   3   1    6  152.502971 1.332955 153.968630 0.094620 154.185222 3.818064   6  
  27  2   10   4   0    7  158.499150 1.299601 159.964885 0.170543 160.248028 3.751249   6  
  28  1   10   1   1    8  164.495336 1.016367 165.661265 0.147909 165.927756 4.067748   6  
  29  1   10   3   0    7  170.491509 1.632799 172.257074 0.096597 172.473591 3.518134   6  
  30  1   10   1   1    8  176.504355 0.983018 177.653442 0.103683 177.870160 4.134437   6  
  31  4   10   4   1    7  182.500550 1.466170 184.115991 0.054170 184.282744 3.718083   6  
  32  1   10   1   1    8  188.496720 0.916505 189.579375 0.118062 189.812562 4.184483   6  
  33  1   10   3   0    3  194.492910 1.516125 196.175185 0.357361 196.641546 3.351698   6  
  34  3   10   4   0    6  200.505755 1.282915 201.938113 0.073699 202.121397 3.884678   6  
