%% MetaTwinsTri_behave_Conf for '_notguess': starting at liuya (       49.0000000000).4-Jan-2019 12:07:577.374395e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   11   2   0    6    2.498865 1.200034   3.814868 0.230176   4.164782 3.834292   6  
   2  3   11   4   0    5    8.496150 1.400087  10.012134 0.171959  10.295353 3.700953   6  
   3  4   11   2   0    3   14.493435 1.300041  15.926109 0.291552  16.325945 3.667587   6  
   4  1   11   1   1    2   20.507369 1.599882  22.273128 0.401405  22.789671 3.217923   6  
   5  1   11   1   1    2   26.504642 1.999695  28.620255 0.391915  29.120137 2.884745   6  
   6  3   11   3   1    7   32.501920 1.633140  34.267804 0.506336  34.884192 3.117974   6  
   7  3   11   2   0    5   38.499202 1.433159  40.098492 0.336084  40.548284 3.451166   6  
   8  4   11   3   0    5   44.496485 1.733136  46.345606 0.618479  47.078654 2.918032   6  
   9  4   11   4   1    3   50.493767 1.633149  52.242864 0.296994  52.659459 3.334444   6  
  10  4   11   4   1    7   56.491040 0.966815  57.623874 0.286420  58.023680 3.967453   6  
  11  1   11   4   0    3   62.504986 1.666497  64.287515 0.191634  64.587379 3.417846   6  
  12  1   11   1   1    6   68.502262 1.466588  70.134864 0.421637  70.667956 3.334536   6  
  13  2   11   2   1    2   74.499532 1.683174  76.315388 0.618676  77.048397 2.951372   6  
  14  2   11   2   1    6   80.496819 1.300002  81.946168 0.237822  82.296006 3.701055   6  
  15  4   11   4   1    3   86.494104 1.266678  87.893455 0.463089  88.476541 3.517750   6  
  16  2   11   3   0    6   92.491383 1.799725  94.440498 0.558552  95.106872 2.884644   6  
  17  1   11   2   0    5   98.488662 1.616417 100.254530 0.945054 101.320710 2.668017   6  
  18  1   11   1   1    6  104.502599 1.249832 105.918635 0.990337 107.018128 2.984702   6  
  19  2   11   2   1    7  110.499878 1.367163 111.999197 0.732846 112.848818 3.151293   6  
  20  3   11   3   1    6  116.497153 1.416553 118.046460 0.280119 118.446270 3.551128   6  
  21  2   11   4   0    5  122.494439 1.633114 124.260308 0.567037 124.943320 3.051343   6  
  22  2   11   2   1    6  128.491715 1.216646 129.857763 1.198495 131.173838 2.818068   6  
  23  3   11   3   1    2  134.488999 1.366556 136.004934 0.809985 136.921227 3.067901   6  
  24  3   11   2   0    3  140.486276 2.166198 142.768569 0.833188 143.718149 2.268186   6  
  25  1   11   1   1    2  146.500211 1.516471 148.166129 0.552770 148.832495 3.167952   6  
  26  3   11   2   0    6  152.497487 1.682949 154.363311 0.411300 154.879748 3.117979   6  
  27  4   11   3   0    2  158.494778 1.349907 159.977437 0.547927 160.643798 3.351199   6  
  28  3   11   2   0    7  164.492052 1.649688 166.291241 0.772525 167.174161 2.818113   6  
  29  2   11   2   1    3  170.505984 2.082979 172.721625 0.457202 173.288068 2.718111   6  
  30  4   11   4   1    5  176.503265 1.616455 178.269139 0.448746 178.835541 3.167859   6  
  31  3   11   4   0    2  182.517209 2.382812 185.016073 0.383866 185.515840 2.501607   6  
  32  2   11   2   1    6  188.514489 1.066675 189.747267 0.955323 190.813458 3.201261   6  
  33  1   11   2   0    6  194.511770 2.232925 196.877283 1.077836 198.060152 1.951850   6  
  34  2   11   2   1    2  200.509042 2.082754 202.724709 0.694716 203.540993 2.468282   6  
  35  2   11   1   0    2  206.506336 2.449337 209.121809 0.745405 209.988082 2.018474   6  
  36  1   11   3   0    2  212.503610 1.916294 214.569314 0.660118 215.335656 2.668114   6  
  37  4   11   4   1    5  218.500869 2.032977 220.649914 0.804750 221.566158 2.434833   6  
  38  4   11   4   1    3  224.514808 1.549888 226.180737 0.597765 226.897071 3.117981   6  
  39  2   11   2   1    5  230.512094 1.583293 232.261319 0.722461 233.094263 2.918066   6  
  40  4   11   4   1    7  236.509368 1.000196 237.675528 0.492517 238.275240 3.734364   6  
  41  1   11   1   1    2  242.506662 1.383327 244.039312 0.600914 244.755641 3.251245   6  
  42  1   11   2   0    2  248.503939 1.682984 250.319732 1.155104 251.585876 2.418286   6  
  43  4   11   4   1    7  254.501221 1.166607 255.817294 0.621695 256.550296 3.451077   6  
  44  1   11   3   0    4  260.498493 2.083019 262.714166 0.687004 263.513804 2.484796   6  
  45  3   11   2   0    3  266.512434 1.933052 268.561510 0.484960 269.161233 2.851433   6  
  46  2   11   2   1    6  272.509725 1.266688 273.909087 0.917072 274.941948 3.068002   6  
  47  2   11   3   0    5  278.506985 1.966346 280.622710 0.634268 281.372356 2.634874   6  
  48  1   11   4   0    2  284.504283 2.266273 286.886526 0.404763 287.402963 2.601535   6  
  49  3   11   3   1    2  290.501551 2.216316 292.850362 0.344992 293.300278 2.701494   6  
  50  3   11  -1   0    3  296.498824 0.000000 299.014393 0.107631 299.230917 2.768076   6  
]; % This session completes at 14-Jan-2019 12:13:17, 304.003s after session start, 300s on 50 trials, totally 319.869s.

