%% MetaTwinsTri_behave_Conf for '_guess': starting at liuyi (       49.0000000000).4-Jan-2019 12:25:007.374395e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   8    4   0    8      5      2.498854 0.999914   4.014841 0.704330   4.831136 3.167942   6  
   2  4   8    4   1    8      6      8.496162 0.983855   9.995469 0.313771  10.428598 3.567776   6  
   3  3   8    1   0    8      7     14.493411 0.566837  15.576276 0.214488  15.909444 4.084204   6  
   4  2   8    1   0    7      6     20.507360 0.716903  21.740128 0.750781  22.606404 3.401174   6  
   5  2   8    1   0    8      7     26.504623 0.850078  27.870682 0.428239  28.420433 3.584433   6  
   6  1   8    2   0    6      3     32.501909 1.149901  34.167846 0.818618  35.100751 2.901393   6  
   7  2   8    3   0    7      6     38.499201 0.917282  39.931890 1.058474  41.098027 2.901397   6  
   8  4   8    1   0    5      5     44.496476 0.733296  45.745894 1.031586  46.895377 3.101318   6  
   9  4   8    2   0    7      3     50.493745 1.116580  52.126352 0.474645  52.709413 3.284569   6  
  10  1   8    1   1    7      6     56.507686 1.250412  58.273562 0.057289  58.440159 3.567766   6  
  11  2   8    3   0    6      3     62.504963 1.366388  64.387444 0.661407  65.153764 2.851435   6  
  12  1   8    2   0    6      3     68.502269 1.317048  70.334768 0.304371  70.751258 3.251228   6  
  13  3   8    3   1    8      7     74.499524 0.783430  75.798932 0.276995  76.182093 3.817652   6  
  14  3   8    1   0    8      6     80.496798 0.783276  81.796205 0.051428  81.962801 4.034243   6  
  15  4   8    4   1    8      7     86.494084 0.866423  87.876791 0.577726  88.559814 3.434493   6  
  16  3   8    1   0    7      3     92.508029 1.133043  94.157276 0.055177  94.323865 3.684377   6  
  17  3   8    4   0    8      7     98.505310 1.283770 100.304513 0.000525 100.421099 3.584414   6  
  18  4   8    1   0    7      3    104.502579 1.099902 106.118511 0.000775 106.235129 3.767678   6  
  19  3   8    3   1    8      7    110.499895 0.750938 111.765977 0.348797 112.232434 3.767648   6  
  20  1   8    1   1    7      6    116.497138 0.816540 117.829865 0.549054 118.496233 3.501117   6  
  21  4   8    4   1    8      7    122.494414 0.766722 123.777164 0.327912 124.210324 3.784304   6  
  22  3   8    1   0    5      3    128.508360 1.599782 130.624069 1.106100 131.840173 2.168417   6  
  23  2   8    3   0    5      5    134.505634 1.249703 136.271502 0.646143 137.037802 2.968076   6  
  24  4   8    4   1    8      7    140.502904 0.766812 141.785681 0.383369 142.285433 3.717716   6  
  25  3   8    3   1    7      5    146.500189 0.833135 147.849581 0.679866 148.649208 3.351224   6  
  26  4   8    4   1    6      7    152.497460 1.216469 154.230012 1.060166 155.396149 2.601549   6  
  27  3   8    3   1    5      7    158.494752 1.150199 160.160673 0.508984 160.777054 3.217926   6  
  28  3   8    3   1    7      3    164.508687 1.749688 166.774326 0.000763 166.890939 3.117971   6  
  29  2   8    4   0    5      3    170.506000 1.600124 172.621680 0.875702 173.604585 2.401620   6  
  30  3   8    3   1    4      2    176.503243 1.799347 178.818868 0.653298 179.585200 2.418271   6  
  31  2   8    2   1    5      5    182.500540 1.266329 184.283060 0.976833 185.365903 2.634868   6  
  32  4   8    4   1    8      7    188.497793 0.949875 189.963739 0.874289 190.946696 3.051331   6  
  33  3   8    3   1    5      5    194.511732 1.199883 196.227634 0.901503 197.243832 2.768145   6  
  34  2   8    3   0    4      2    200.509036 1.599952 202.624740 0.552600 203.291091 2.718161   6  
  35  3   8    4   0    8      7    206.506304 0.783340 207.805707 0.738757 208.655317 3.351213   6  
  36  4   8    4   1    5      7    212.503582 1.033125 214.052867 1.044966 215.202347 2.801463   6  
  37  3   8    3   1    5      3    218.500890 1.200105 220.216761 0.988332 221.316264 2.684817   6  
  38  2   8    4   0    4      7    224.498128 1.815996 226.830413 0.654184 227.596732 2.401640   6  
  39  1   8    1   1    8      7    230.512071 0.650709 231.678215 0.400628 232.194660 3.817644   6  
  40  2   8    2   1    5      3    236.509367 1.366455 238.391841 0.829787 239.341396 2.668184   6  
  41  1   8    3   0    8      7    242.506650 0.667242 243.689439 0.419332 244.222523 3.784348   6  
  42  1   8    1   1    8      7    248.503909 0.916716 249.936595 0.195196 250.253112 3.751030   6  
  43  4   8    3   0    4      4    254.501188 1.549707 256.566917 0.952051 257.633105 2.368328   6  
  44  2   8    2   1    4      5    260.498475 1.066703 262.081103 0.944524 263.130659 2.868066   6  
  45  4   8    3   0    5      3    266.512409 1.149617 268.178328 1.111045 269.411094 2.601530   6  
  46  4   8    4   1    8      7    272.509720 0.783908 273.809105 0.336703 274.258899 3.751018   6  
  47  1   8    1   1    5      6    278.506970 1.016459 280.039604 0.953909 281.105780 2.901404   6  
  48  3   8    3   1    8      7    284.504265 0.833589 285.853633 0.491328 286.453365 3.551109   6  
  49  1   8    1   1    4      3    290.501517 1.599686 292.617249 0.827317 293.550170 2.451574   6  
  50  2   8    4   0    4      2    296.498819 1.733146 298.747794 0.591021 299.447479 2.551557   6  
]; % This session completes at 14-Jan-2019 12:30:17, 304.005s after session start, 300s on 50 trials, totally 317.403s.

