%% MetaTwinsTri_behave_Conf for '_notguess': starting at guochao (       49.0000000000).4-Jan-2019 16:56:227.374397e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   12   1   1    3    2.498857 1.933055   4.547916 0.885145   5.547462 2.451614   6  
   2  2   12   2   1    3    8.496132 2.182944  10.795095 0.975766  11.877931 2.118423   6  
   3  3   12   3   1    3   14.493401 2.399380  17.008941 1.084529  18.208392 1.785226   6  
   4  3   12   4   0    4   20.490683 2.366195  22.972889 1.027554  24.105723 1.885181   6  
   5  4   12   4   1    3   26.504634 2.249664  28.870225 0.673809  29.653196 2.351632   6  
   6  4   12   4   1    3   32.501911 2.232729  34.850846 0.110865  35.067416 2.934678   6  
   7  2   12   2   1    5   38.499197 1.583179  40.198419 0.846731  41.164651 2.834718   6  
   8  3   12   3   1    5   44.496467 2.482855  47.095284 0.539203  47.744993 2.251647   6  
   9  2   12   2   1    4   50.493741 1.966343  52.576138 0.826466  53.509043 2.484867   6  
  10  1   12   2   0    3   56.491036 1.933020  58.540093 0.646542  59.306415 2.684768   6  
  11  3   12   3   1    3   62.504964 2.099592  64.720544 0.654517  65.486948 2.518170   6  
  12  2   12   2   1    2   68.502240 2.133028  70.751226 0.868887  71.734131 2.268259   6  
  13  3   12   3   1    3   74.499544 2.016273  76.631887 0.823449  77.564827 2.434839   6  
  14  4   12   4   1    3   80.496803 2.149622  82.762434 0.634554  83.512109 2.484836   6  
  15  2   12   2   1    3   86.494088 2.232886  88.843011 0.666538  89.625986 2.368224   6  
  16  1   12   2   0    2   92.491364 1.883071  94.490456 1.083859  95.689911 2.301576   6  
  17  3   12   4   0    3   98.488644 1.999639 100.604345 0.759040 101.470616 2.518135   6  
  18  1   12   4   0    3  104.502585 2.149443 106.768219 0.165479 107.051413 2.951262   6  
  19  4   12   4   1    2  110.499855 2.299542 112.915434 0.870579 113.898318 2.101631   6  
  20  1   12   1   1    2  116.497135 2.166208 118.779447 0.549878 119.445797 2.551431   6  
  21  3   12   3   1    2  122.494408 2.316295 124.926650 0.723313 125.759600 2.234892   6  
  22  4   12   4   1    3  128.491703 2.232896 130.840631 0.831078 131.790191 2.201583   6  
  23  2   12   2   1    3  134.488983 2.216171 136.821120 1.119212 138.054031 1.935007   6  
  24  4   12   4   1    2  140.486253 2.150098 142.751887 0.560889 143.418265 2.568040   6  
  25  4   12   1   0    3  146.516858 2.082964 148.715853 0.603431 149.432207 2.584870   6  
  26  2   12   2   1    3  152.514135 2.049616 154.696481 0.788938 155.596075 2.418276   6  
  27  4   12   4   1    2  158.511407 2.249735 160.877001 0.980451 161.976498 2.035140   6  
  28  2   12   2   1    4  164.508680 1.534576 166.157944 1.342566 167.607276 2.401637   6  
  29  2   12   2   1    3  170.505974 2.299597 172.921542 0.625701 173.654550 2.351644   6  
  30  1   12   1   1    1  176.503248 2.249315 178.885510 0.243693 179.235347 2.768124   6  
  31  1   12   1   1    1  182.500513 2.166075 184.782823 0.182714 185.082686 2.918074   6  
  32  4   12   4   1    2  188.514455 2.282682 190.913373 0.670981 191.696351 2.318337   6  
  33  4   12   4   1    2  194.511742 2.249524 196.877341 0.844799 197.826909 2.185055   6  
  34  1   12   1   1    1  200.509029 2.132920 202.758012 0.353083 203.224453 2.784794   6  
  35  1   12   1   1    4  206.506305 1.033288 207.655784 1.641928 209.404984 2.601553   6  
  36  3   12   3   1    2  212.503591 2.149564 214.769100 0.692427 215.568850 2.434966   6  
  37  1   12   1   1    2  218.500856 2.116326 220.733179 0.536569 221.382895 2.618201   6  
  38  3   12   3   1    2  224.498137 2.332850 226.947025 0.391105 227.446799 2.551569   6  
  39  4   12   2   0    1  230.512080 2.166315 232.810975 1.241985 234.160432 1.851870   6  
  40  2   12   2   1    3  236.509364 2.382733 239.024857 0.461201 239.607949 2.401642   6  
  41  2   12   2   1    1  242.506639 2.199539 244.838915 0.293849 245.238722 2.768149   6  
  42  1   12   3   0    3  248.503917 2.066325 250.686261 1.143597 251.935698 2.068445   6  
  43  3   12   3   1    2  254.501202 2.266045 256.883448 0.407095 257.399880 2.601540   6  
  44  3   12   2   0    1  260.498473 2.299472 262.930699 0.616609 263.663700 2.334996   6  
  45  2   12   2   1    5  266.512418 1.583146 268.211640 0.972122 269.294480 2.718159   6  
  46  1   12   2   0    3  272.509688 2.016365 274.641905 1.131438 275.891487 2.118425   6  
  47  4   12   4   1    2  278.506965 2.349532 280.972528 0.895407 281.988721 2.018491   6  
  48  4   12   4   1    2  284.504252 2.199396 286.819877 0.596617 287.536206 2.468274   6  
  49  3   12   3   1    3  290.501523 2.082983 292.700542 1.060346 293.883338 2.118418   6  
  50  3   12   3   1    1  296.498803 2.349392 298.964359 0.760154 299.830636 2.168410   6  
]; % This session completes at 14-Jan-2019 17:01:39, 304.004s after session start, 300s on 50 trials, totally 317.514s.

