%% MetaTwinsTri_behave_Conf for '_guess': starting at guoyue (       49.0000000000).4-Jan-2019 17:19:057.374397e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   8    3   1    6      2      2.498870 1.283113   4.298049 0.647165   5.064366 2.934721   6  
   2  1   8    4   0    7      7      8.496144 0.916965   9.928828 0.509970  10.545204 3.451187   6  
   3  3   8    3   1    5      5     14.493407 1.016380  16.026050 0.365322  16.509173 3.484446   6  
   4  1   8    1   1    7      7     20.490704 0.800367  21.806774 0.285649  22.206595 3.784334   6  
   5  3   8    1   0    7      3     26.504634 0.933201  27.953970 0.199143  28.270497 3.734318   6  
   6  1   8    1   1    7      6     32.501937 0.983527  34.001251 0.337607  34.451034 3.551112   6  
   7  2   8    4   0    6      7     38.499180 1.099949  40.115131 0.297807  40.531601 3.467750   6  
   8  2   8    3   0    6      5     44.496494 1.084005  46.095750 0.445319  46.645508 3.351204   6  
   9  2   8    4   0    7      7     50.493744 0.816742  51.826475 0.283144  52.226302 3.767589   6  
  10  1   8    2   0    7      3     56.491023 1.049971  58.056982 0.312638  58.490124 3.501149   6  
  11  2   8    4   0    6      3     62.488338 1.333296  64.337508 0.254144  64.703995 3.284540   6  
  12  4   8    3   0    6      2     68.502247 1.383157  70.401378 0.096533  70.617946 3.384408   6  
  13  4   8    4   1    5      7     74.499553 1.267090  76.282058 0.710801  77.115008 2.884757   6  
  14  3   8    3   1    6      7     80.496815 0.933391  81.946148 0.184448  82.246019 3.750872   6  
  15  4   8    4   1    6      7     86.494109 0.883597  87.893463 0.203005  88.209999 3.784299   6  
  16  1   8    4   0    5      6     92.491354 1.116380  94.123954 0.217890  94.457141 3.534287   6  
  17  3   8    4   0    4      7     98.505307 1.417083 100.437780 0.395378 100.954202 3.051326   6  
  18  4   8    4   1    3      5    104.502581 1.682836 106.701572 0.001110 106.818192 3.184628   6  
  19  4   8    3   0    3      3    110.516528 1.550265 112.582259 0.224161 112.915467 3.101288   6  
  20  2   8    4   0   -1      5    116.513793 1.166507 118.196364 0.000000 118.462926 3.551102   6  
  21  3   8    3   1    5      6    122.511096 1.000230 124.027090 0.541464 124.676766 3.334544   6  
  22  4   8    3   0    3      2    128.508348 1.616296 130.640713 0.284624 131.040537 2.968045   6  
  23  2   8    4   0    6      7    134.505649 1.250557 136.271524 0.092787 136.471446 3.534422   6  
  24  3   8    3   1    5      5    140.502908 1.249721 142.268781 0.090020 142.468682 3.534465   6  
  25  3   8    4   0    5      3    146.500211 1.116741 148.132825 0.741789 148.982409 3.018018   6  
  26  1   8    1   1    7      7    152.514147 0.899893 153.930158 0.355580 154.396614 3.617745   6  
  27  4   8    4   1    7      7    158.511418 0.933195 159.960752 0.256082 160.327284 3.684358   6  
  28  4   8    4   1    7      6    164.508697 0.966664 165.991345 0.104317 166.207924 3.800993   6  
  29  1   8    3   0    5      2    170.506004 1.100059 172.121908 0.394993 172.621674 3.384540   6  
  30  4   8    4   1    6      5    176.503237 1.199807 178.219137 0.084167 178.419042 3.584447   6  
  31  4   8    3   0    5      7    182.500533 0.950144 183.966557 0.438529 184.516318 3.484440   6  
  32  3   8    3   1    4      5    188.497802 1.249816 190.263671 0.225429 190.596846 3.401199   6  
  33  2   8    4   0    4      7    194.495114 1.050292 196.061072 0.340803 196.510847 3.484469   6  
  34  1   8    4   0    5      3    200.509020 1.199749 202.224904 0.001138 202.341526 3.667737   6  
  35  4   8    3   0    3      2    206.506322 1.766486 208.788617 0.205132 209.105136 2.901415   6  
  36  3   8    2   0    4      3    212.503564 1.216449 214.236131 0.384641 214.735891 3.267912   6  
  37  4   8    4   1    6      7    218.500865 0.883669 219.900232 0.346921 220.366692 3.634405   6  
  38  2   8    4   0    5      7    224.498137 1.066320 226.080762 0.719512 226.913711 3.084657   6  
  39  1   8    1   1    5      6    230.495441 1.150486 232.161336 0.300497 232.577815 3.417850   6  
  40  3   8    3   1    4      5    236.492690 1.199846 238.208604 0.604321 238.924919 3.068005   6  
  41  3   8    3   1    5      4    242.506648 1.300102 244.322510 0.578167 245.005510 3.001363   6  
  42  2   8    4   0    2      7    248.503921 1.049885 250.069884 0.629600 250.819528 3.184616   6  
  43  1   8    1   1    7      7    254.501206 0.833626 255.850597 0.393420 256.350359 3.651061   6  
  44  4   8    4   1    8      7    260.498471 0.849767 261.864514 0.291799 262.264333 3.734342   6  
  45  4   8    4   1    7      6    266.495756 0.900092 267.911766 0.229194 268.261621 3.734380   6  
  46  2   8    2   1    5      2    272.493025 1.383079 274.392167 0.363266 274.875275 3.117991   6  
  47  4   8    4   1    6      5    278.490318 0.984082 279.989637 0.345688 280.456118 3.534451   6  
  48  1   8    1   1    7      7    284.504243 0.749879 285.770334 0.458700 286.336755 3.667658   6  
  49  3   8    3   1    8      6    290.501519 0.633319 291.651005 0.429795 292.200746 3.801018   6  
  50  1   8    1   1    7      6    296.498802 0.800116 297.814868 0.225929 298.148053 3.851005   6  
]; % This session completes at 14-Jan-2019 17:24:25, 304.003s after session start, 300s on 50 trials, totally 320.406s.

