%% MetaTwinsTri_behave_Conf for '_notguess': starting at guoyue (       49.0000000000).4-Jan-2019 17:13:177.374397e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   12   2   0    7    2.498912 1.300190   3.914946 0.116501   4.148176 3.850960   6  
   2  2   12   1   0    1    8.496196 2.350447  10.961757 0.586291  11.661432 2.335003   6  
   3  4   12   1   0    2   14.493488 1.833139  16.442592 1.102033  17.658701 2.334949   6  
   4  4   12   2   0    7   20.490789 0.817635  21.423678 0.549453  22.090034 3.900985   6  
   5  2   12   3   0    7   26.488035 0.883549  27.487591 0.189168  27.787456 4.200718   6  
   6  1   12   1   1    7   32.501972 0.916919  33.534834 0.197663  33.851351 4.150802   6  
   7  2   12   3   0    7   38.499275 0.867620  39.482137 0.241599  39.831985 4.167497   6  
   8  2   12   4   0    1   44.496524 0.883334  45.496084 0.894493  46.495617 3.500968   6  
   9  1   12   3   0    6   50.510467 0.816914  51.443377 0.822846  52.376312 3.634387   6  
  10  3   12   3   1    6   56.507741 1.100397  57.723713 0.111992  57.940432 4.067557   6  
  11  2   12   2   1    7   62.505032 1.101265  63.737800 0.056656  63.904394 4.100884   6  
  12  3   12   3   1   -1   68.502306 0.717073  69.351921 0.000000  69.435205 4.567339   6  
  13  3   12   2   0    2   74.499584 1.783141  76.398725 0.859279  77.364950 2.634862   6  
  14  1   12   1   1    7   80.513528 1.051301  81.679685 0.765251  82.562592 3.451175   6  
  15  2   12   1   0    7   86.510786 0.767023  87.393753 0.092341  87.593635 4.417394   6  
  16  2   12   2   1    7   92.508068 0.833605  93.457625 0.120145  93.690868 4.317454   6  
  17  3   12   3   1    7   98.505364 0.983604  99.604862 0.137701  99.854749 4.150848   6  
  18  4   12   1   0    5  104.502626 1.083522 105.702115 1.234396 107.051478 2.951375   6  
  19  2   12   2   1    1  110.499943 0.900974 111.516127 0.760746 112.382408 3.617752   6  
  20  3   12   3   1    7  116.497193 0.833528 117.446727 0.550408 118.113127 3.884291   6  
  21  4   12   4   1    5  122.494464 1.400012 124.010447 1.158452 125.276546 2.718179   6  
  22  4   12   4   1    5  128.491778 1.334204 129.941113 0.251018 130.307599 3.684397   6  
  23  3   12   3   1    5  134.505693 1.383326 136.005014 0.308700 136.421487 3.584390   6  
  24  1   12   4   0    5  140.502964 1.317591 141.935691 0.840080 142.885258 3.117955   6  
  25  4   12   1   0    5  146.500252 0.949969 147.566440 0.548094 148.232790 3.767599   6  
  26  1   12   4   0    3  152.497520 1.250206 153.863575 0.404137 154.380008 3.617720   6  
  27  1   12   1   1    1  158.494815 0.617961 159.261150 0.449650 159.827549 4.167486   6  
  28  3   12   3   1    8  164.492086 0.467199 165.125137 0.038862 165.275068 4.717090   6  
  29  3   12   3   1    8  170.506011 0.600353 171.239018 0.097688 171.455586 4.550685   6  
  30  1   12   4   0    8  176.503304 0.733807 177.352914 0.429665 177.902663 4.100876   6  
  31  2   12   3   0    2  182.500598 0.500280 183.116989 0.920145 184.149825 3.850986   6  
  32  3   12   2   0    6  188.514524 2.482859 191.113337 0.010025 191.229953 2.784792   6  
  33  4   12   1   0    6  194.511802 1.784295 196.427605 1.119495 197.660401 2.351626   6  
  34  2   12   2   1    1  200.509069 0.717003 201.358701 0.394306 201.858471 4.150826   6  
  35  1   12   2   0    7  206.506347 0.700417 207.322659 0.545222 207.989019 4.017566   6  
  36  2   12   2   1    7  212.503639 0.733589 213.353272 0.815628 214.286164 3.717704   6  
  37  4   12   2   0    7  218.500902 0.617157 219.233920 0.634197 219.983582 4.017571   6  
  38  1   12   2   0    7  224.498186 0.766945 225.381145 0.190978 225.680985 4.317425   6  
  39  1   12   2   0    7  230.495476 0.716856 231.328437 0.182591 231.628299 4.367407   6  
  40  1   12   2   0    7  236.492758 0.700277 237.309062 0.152682 237.575590 4.417391   6  
  41  2   12   1   0    7  242.506684 0.783615 243.406273 0.651963 244.172605 3.834339   6  
  42  1   12   1   1    7  248.503969 0.683649 249.303630 0.064347 249.486845 4.517381   6  
  43  3   12   1   0    8  254.501248 0.583769 255.200927 0.241938 255.550775 4.450726   6  
  44  4   12   1   0    8  260.498507 1.133651 261.747965 0.077736 261.931205 4.067590   6  
  45  1   12   1   1    8  266.495816 0.867719 267.478704 0.109958 267.695276 4.300763   6  
  46  3   12   1   0    8  272.493082 0.666811 273.276060 0.084963 273.475976 4.517221   6  
  47  4   12   2   0    7  278.490363 1.334057 279.989617 0.711076 280.805980 3.184615   6  
  48  3   12   1   0    8  284.487653 0.767878 285.370557 0.063581 285.553856 4.433995   6  
  49  2   12   3   0    8  290.501579 0.900237 291.534460 0.053324 291.701037 4.300756   6  
  50  2   12   2   1    7  296.515554 0.717759 297.348482 0.033220 297.498434 4.517313   6  
]; % This session completes at 14-Jan-2019 17:18:37, 304.003s after session start, 300s on 50 trials, totally 320.324s.

