%% MetaTwins_RDMsc_training for 'liyingjie': starting at _feedback (       49.0000000000).7-Jan-2019 10:51:26 for '7.374425e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1 100  4   -1   0    0    4    2.498411   0    0  0.000000   5.013490 0.801972   5.929575 0.999353   6.928928   7.928285 1.070446   7  
   2 100  3    3   1    0   -1    9.493930   0    0  2.182753  11.792492 0.000000  13.791132 0.999455  14.790587  15.789959 1.204304   8  
   3 100  3    3   1    0   -1   17.505526   0    0  1.349545  18.987936 0.000000  20.986592 0.999443  21.986035  22.985384 1.020464   7  
   4 100  3    3   1    0    7   24.501082   0    0  0.899909  25.517104 0.646146  26.283285 0.999368  27.282653  28.282005 0.719394   5  
   5 100  2    2   1    0    6   29.497904   0    0  1.099781  30.730444 0.753445  31.596560 0.999367  32.595927  33.595303 1.402910   6  
   6  90  2    2   1    0    7   35.494053   0    0  1.166456  36.776606 0.880245  37.775963 0.999362  38.775325  39.774709 1.219710   6  
   7  90  3    3   1    0    7   41.506929   0    0  1.033146  42.672848 0.816636  43.605599 0.999361  44.604960  45.604323 1.402931   6  
   8  81  2    2   1    0    7   47.503113   0    0  0.750042  48.369246 0.833486  49.318618 0.999361  50.317979  51.317357 0.686083   5  
   9  81  2    2   1    0    7   52.499922   0    0  0.700039  53.316086 0.606901  54.032296 0.999353  55.031649  56.031028 0.969234   5  
  10  72  1    1   1    0    7   57.496759   0    0  1.066441  58.679350 0.796965  59.595431 0.999345  60.594776  61.594150 1.402928   6  
  11  72  3    3   1    0    7   63.492950   0    0  1.033151  64.658832 0.682667  65.458365 0.999359  66.457724  67.457089 0.536183   5  
  12  64  4    2   0    0    7   68.506423   0    0  0.666721  69.289266 0.691128  70.088749 0.999354  71.088104  72.087484 0.919283   5  
  13  64  2    2   1    0    7   73.503236   0    0  0.982984  74.602542 0.853233  75.568594 0.999360  76.567954  77.567315 1.436260   6  
  14  64  2    2   1    0    7   79.499427   0    0  1.016600  80.632048 0.714410  81.464855 0.999345  82.464200  83.463587 0.536174   5  
  15  57  1    1   1    0    5   84.496245   0    0  0.866642  85.495622 0.461859  86.078586 0.999351  87.077937  88.077300 0.919272   5  
  16  57  1    1   1    0    6   89.493073   0    0  0.666676  90.275867 0.297936  90.692317 0.999348  91.691665  92.691036 1.302363   5  
  17  51  3    3   1    0    6   94.506557   0    0  0.999883  95.689145 0.409102  96.205469 0.999347  97.204816  98.204194 0.802688   5  
  18  51  1    1   1    0    5   99.503375   0    0  0.850047 100.469425 0.522366 101.102357 0.999390 102.101747 103.101076 0.902610   5  
  19  45  1    1   1    0    5  104.500193   0    0  1.449566 106.065867 0.879294 107.065237 0.999359 108.064596 109.063948 0.936577   6  
  20  45  4    4   1    0    2  110.496370   0    0  1.099687 111.712274 1.158522 112.978134 0.999370 113.977504 114.976868 1.019833   6  
  21  40  1    1   1    0    6  116.492575   0    0  0.899922 117.508584 0.793996 118.408020 0.999352 119.407372 120.406742 0.586151   5  
  22  40  4    4   1    0    7  121.506042   0    0  1.049805 122.671978 0.823563 123.604717 0.999360 124.604077 125.603441 1.402924   6  
  23  36  1    1   1    0    2  127.502222   0    0  1.266163 128.884685 1.219597 130.217173 0.999360 131.216533 132.215891 0.786679   6  
  24  36  3    3   1    0    7  133.498414   0    0  1.282934 134.897528 0.849425 135.863578 0.999368 136.862946 137.862300 1.136439   6  
  25  32  1    1   1    0    1  139.494571   0    0  1.083041 140.693839 1.003474 141.809785 0.999364 142.809150 143.808515 1.186421   6  
  26  32  4    4   1    0    7  145.507433   0    0  1.049891 146.673362 0.912291 147.706048 0.999357 148.705405 149.704765 1.303005   6  
  27  28  2    2   1    0    8  151.503641   0    0  1.282915 152.902745 0.676278 153.685575 0.999360 154.684935 155.684293 1.319672   6  
  28  28  1    1   1    0    5  157.499812   0    0  1.332954 158.948891 1.048724 160.114815 0.999359 161.114174 162.113564 0.886575   6  
  29  25  4    4   1    0    7  163.495992   0    0  1.116444 164.728544 1.024573 165.861172 0.999352 166.860524 167.859903 1.136415   6  
