%% MetaTwins_RDMsc_training for 'lvhaonan': starting at _feedback (       49.0000000000).7-Jan-2019 11:02:57 for '7.374425e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1 100  3    3   1    0    7    2.498856   0    0  2.133270   4.764506 1.990117   6.863543 0.999539   7.863082   8.862650 1.136441   8  
   2 100  2    2   1    0    7   10.495247   0    0  2.083020  12.694242 1.193315  13.993646 0.999553  14.993199  15.992764 1.002695   7  
   3  90  4    4   1    0    8   17.492068   0    0  2.449673  20.057568 1.027179  21.190399 0.999532  22.189932  23.189478 0.802788   7  
   4  90  4   -1   0    0    4   24.505563   0    0  0.000000  27.021109 0.006000  27.137694 0.999544  28.137238  29.136788 0.868970   6  
   5  90  1    1   1    0    8   30.502843   0    0  1.999667  32.651746 0.888471  33.651420 0.999542  34.650961  35.650511 1.352511   7  
   6  81  3    3   1    0   -1   37.499664   0    0  2.132796  39.831957 0.000000  41.830996 0.999586  42.830582  43.830133 1.169716   8  
   7  81  2    2   1    0    7   45.496041   0    0  1.150141  46.778698 0.786735  47.678397 0.999541  48.677938  49.677485 1.318730   6  
   8  81  2    2   1    0    8   51.493323   0    0  1.200152  52.826062 0.706295  53.642361 0.999535  54.641896  55.641427 1.352058   6  
   9  72  4    3   0    0    5   57.490610   0    0  1.350023  58.956638 1.451556  60.522570 0.999544  61.522114  62.521659 1.469107   7  
  10  72  2    2   1    0    8   64.504103   0    0  0.783538  65.420366 1.023749  66.553170 0.999544  67.552714  68.552264 1.451979   6  
  11  72  4    4   1    0    8   70.501388   0    0  1.699812  72.317233 0.755051  73.183510 0.999542  74.183052  75.182601 0.818924   6  
  12  64  4    4   1    0    8   76.498666   0    0  0.900128  77.514870 0.578942  78.214561 0.999539  79.214100  80.213647 0.785152   5  
  13  64  3    3   1    0    8   81.496400   0    0  1.233428  82.845793 0.715888  83.678748 0.999547  84.678294  85.677852 1.318682   6  
  14  57  1    1   1    0    8   87.493681   0    0  0.950171  88.593054 0.567451  89.276217 0.999536  90.275752  91.275310 0.718482   5  
  15  57  4    4   1    0    8   92.491420   0    0  1.516499  94.123957 0.529774  94.773721 0.999555  95.773277  96.772816 1.218710   6  
  16  51  2    2   1    0    8   98.488697   0    0  1.266605  99.871405 0.538773 100.521119 0.999543 101.520662 102.520204 1.468610   6  
  17  51  3    4   0    0    6  104.485989   0    0  1.383352 106.001972 1.331217 107.451317 0.999543 108.450860 109.450400 0.535669   6  
  18  51  2    2   1    0    8  110.499930   0    0  1.750008 112.382351 0.539216 113.032103 0.999561 114.031663 115.031216 0.968788   6  
  19  51  3    3   1    0    8  116.497219   0    0  2.099659 118.729535 0.473976 119.312609 0.999541 120.312150 121.311695 0.685579   6  
  20  45  1    1   1    0    8  122.494492   0    0  1.083511 123.743864 0.430862 124.293689 0.999532 125.293221 126.292765 0.701792   5  
  21  45  1    1   1    0    8  127.508889   0    0  0.883622 128.525108 0.488318 129.124832 0.999537 130.124369 131.123925 0.885196   5  
  22  40  4    2   0    0    8  132.506624   0    0  0.966765 133.639455 1.277235 135.022148 0.999549 136.021696 137.021252 0.985596   6  
  23  40  1    1   1    0    8  138.503916   0    0  1.216677 139.853302 0.574214 140.536320 0.999551 141.535871 142.535422 1.468718   6  
  24  40  2    2   1    0    6  144.501195   0    0  1.599812 146.250311 1.357780 147.716424 0.999524 148.715948 149.715488 1.285934   7  
  25  36  4    4   1    0    8  151.514672   0    0  1.616641 153.247237 0.725699 154.080187 0.999541 155.079728 156.079294 0.935611   6  
  26  36  1    1   1    0    8  157.511962   0    0  1.166710 158.844694 0.458509 159.411109 0.999537 160.410646 161.410194 0.601997   5  
  27  32  1    1   1    0    8  162.509705   0    0  1.000251 163.659173 0.407681 164.175609 0.999557 165.175166 166.174711 0.835221   5  
  28  32  2    2   1    0    8  167.507441   0    0  1.716363 169.339935 0.590901 170.039614 0.999552 171.039166 172.038715 0.968942   6  
  29  28  3    4   0    0    6  173.504718   0    0  1.516479 175.153936 0.939493 176.203495 0.999542 177.203036 178.202585 0.802360   6  
  30  28  2    2   1    0    8  179.502003   0    0  2.399546 182.017521 0.741204 182.867146 0.999546 183.866692 184.866238 1.135997   7  
  31  28  3    3   1    0    6  186.498833   0    0  1.649947 188.264699 0.678768 189.047677 0.999548 190.047225 191.046773 0.952275   6  
  32  25  1    1   1    0    7  192.512788   0    0  0.816919 193.462338 0.548335 194.128710 0.999539 195.128249 196.127803 0.885197   5  
  33  25  3    1   0    0    8  197.510515   0    0  2.499461 200.175974 0.507385 200.792380 0.999526 201.791906 202.791450 1.219289   7  
  34  25  3    3   1    0    6  204.507340   0    0  1.699875 206.323184 0.850428 207.289412 0.999547 208.288959 209.288512 0.719055   6  
  35  25  2    2   1    0    8  210.504622   0    0  1.100607 211.720754 0.441022 212.270495 0.999551 213.270046 214.269591 0.735251   5  
  36  22  4    4   1    0    8  215.502360   0    0  1.733062 217.351520 0.455277 217.917932 0.999550 218.917482 219.917045 1.085550   6  
  37  22  1    1   1    0    8  221.499643   0    0  1.283434 222.898924 0.317927 223.332150 0.999551 224.331701 225.331243 0.668630   5  
  38  19  3    3   1    0    8  226.497385   0    0  1.483270 228.096659 0.520611 228.729699 0.999541 229.729240 230.728804 1.268799   6  
  39  19  4    4   1    0    8  232.511317   0    0  2.116375 234.743647 0.418164 235.276731 0.999543 236.276274 237.275833 0.735706   6  
  40  17  1    1   1    0    6  238.508614   0    0  1.799801 240.474254 0.402283 240.990802 0.999565 241.990367 242.989911 1.018923   6  
  41  17  2    2   1    0    6  244.505882   0    0  1.466754 246.105060 0.593277 246.804848 0.999539 247.804387 248.803939 1.202174   6  
  42  15  2    3   0    0    7  250.503167   0    0  1.499766 252.152423 0.531367 252.802135 0.999545 253.801679 254.801213 1.202180   6  
  43  15  1    3   0    0    5  256.500450   0    0  2.266264 258.932606 0.954996 259.998867 0.999548 260.998415 261.997965 1.002723   7  
  44  16  2    2   1    0    5  263.497278   0    0  1.733166 265.346443 0.757874 266.212718 0.999542 267.212260 268.211807 0.785696   6  
  45  16  3    3   1    0    8  269.494570   0    0  1.650082 271.260428 0.762643 272.143367 0.999545 273.142911 274.142465 0.852332   6  
  46  14  3    3   1    0    6  275.508506   0    0  1.849765 277.474287 0.522001 278.107347 0.999519 279.106867 280.106415 0.902316   6  
  47  14  1    1   1    0    6  281.505795   0    0  1.050164 282.705103 0.524299 283.338295 0.999554 284.337848 285.337391 0.668618   5  
  48  13  4   -1   0    0    3  286.503532   0    0  0.000000 289.019058 0.741334 289.868674 0.999536 290.868210 291.867760 1.135993   7  
  49  13  4    3   0    0    6  293.500355   0    0  1.549958 295.166271 0.651293 295.932579 0.999553 296.932132 297.931676 1.068911   6  
  50  13  2   -1   0    0    4  299.497636   0    0  0.000000 302.013198 0.000555 302.129773 0.999554 303.129327 304.128870 0.868999   6  
  51  13  2    3   0    0    5  305.494921   0    0  2.466164 308.093756 1.009286 309.209906 0.999557 310.209464 311.208998 0.786161   7  
  52  14  4    3   0    0   -1  312.491751   0    0  1.699743 314.324264 0.000000 316.323294 0.999613 317.322907 318.322450 0.669528   7  
  53  14  1    3   0    0    5  319.505245   0    0  2.083042 321.754230 0.544053 322.403920 0.999553 323.403473 324.403035 0.602436   6  
  54  14  3    3   1    0    7  325.502533   0    0  1.233575 326.851914 0.474012 327.434980 0.999577 328.434558 329.434083 0.568668   5  
  55  14  3    3   1    0    7  330.500253   0    0  1.883854 332.499350 0.534128 333.149064 0.999553 334.148617 335.148152 0.852317   6  
  56  13  1    3   0    0    5  336.497547   0    0  1.933060 338.629828 1.206433 339.945973 0.999560 340.945534 341.945070 1.052669   7  
  57  13  1    1   1    0    5  343.494373   0    0  2.083044 345.726588 0.713293 346.559639 0.999557 347.559197 348.558740 1.435829   7  
  58  13  4    2   0    0    5  350.491197   0    0  2.449362 353.090027 1.010985 354.206182 0.999558 355.205740 356.205276 0.786100   7  
  59  13  4    4   1    0    5  357.504702   0    0  2.416131 360.053460 0.490820 360.653264 0.999546 361.652810 362.652375 1.352497   7  
  60  13  3    3   1    0    5  364.501515   0    0  2.083017 366.717189 0.519826 367.350229 0.999548 368.349777 369.349341 0.652334   6  
]; % This session completes at 17-Jan-2019 11:09:23, 372.007s after session start, 368s on 60 trials, totally 386.46s, correctness is 73.333%.

