%% MetaTwins_RDMsc_training for 'lvyanan': starting at _nofeedback (       49.0000000000).7-Jan-2019 11:01:22 for '7.374425e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  25  1    1   1    0    6    2.498857   0    0  1.266747   3.881560 0.734666   4.731173  0   0    4.731173 1.267914   4  
   2  25  3    3   1    0    6    6.497046   0    0  1.450000   8.063000 0.988830   9.162504  0   0    9.162504 0.834767   4  
   3  22  2    2   1    0    6   10.495240   0    0  1.066720  11.678032 0.856372  12.644260  0   0   12.644260 1.351205   4  
   4  22  4    4   1    0    6   14.493416   0    0  1.150064  15.759517 0.559057  16.425871  0   0   16.425871 0.567766   3  
   5  19  3   -1   0    0    3   17.492060   0    0  0.000000  20.007608 0.114212  20.240813  0   0   20.240813 0.751483   4  
   6  19  4    4   1    0    6   21.506905   0    0  1.066748  22.689701 0.489045  23.289432  0   0   23.289432 0.717697   3  
   7  19  1    1   1    0    6   24.505544   0    0  1.150031  25.771643 0.522632  26.404675  0   0   26.404675 0.601103   3  
   8  17  1    1   1    0    6   27.504184   0    0  1.033259  28.653660 0.764136  29.536591  0   0   29.536591 1.467829   4  
   9  17  2    2   1    0    6   31.502366   0    0  1.033394  32.651846 0.600557  33.368204  0   0   33.368204 0.634401   3  
  10  15  2    2   1    0    4   34.501010   0    0  1.699753  36.333482 1.052424  37.499653  0   0   37.499653 0.501588   4  
  11  15  3    3   1    0    4   38.499193   0    0  1.333237  39.948546 0.761616  40.814819  0   0   40.814819 1.184606   4  
  12  14  1    1   1    0    6   42.497377   0    0  1.283277  43.896747 0.718319  44.729699  0   0   44.729699 1.267919   4  
  13  14  3    3   1    0    5   46.495571   0    0  1.699872  48.311405 0.593589  49.011098  0   0   49.011098 0.984695   4  
  14  13  3    3   1    0    5   50.493754   0    0  1.999687  52.609464 0.570351  53.292477  0   0   53.292477 0.701505   4  
  15  13  4    2   0    0    5   54.508594   0    0  1.799896  56.424390 0.776013  57.307352  0   0   57.307352 0.701475   4  
  16  13  2    2   1    0    5   58.506779   0    0  2.282737  60.905699 0.585453  61.605390  0   0   61.605390 1.401629   5  
  17  13  4    4   1    0    3   63.504508   0    0  2.049587  65.670207 1.354278  67.136207  0   0   67.136207 0.868537   5  
  18  12  1    1   1    0    3   68.502255   0    0  1.200010  69.818307 1.396666  71.334293  0   0   71.334293 0.668188   4  
  19  12  1    1   1    0    5   72.500444   0    0  1.416589  74.033072 0.613981  74.766077  0   0   74.766077 1.234596   4  
  20  11  1    1   1    0    5   76.498627   0    0  1.283281  77.897994 0.639049  78.647645  0   0   78.647645 1.351211   4  
  21  11  4    4   1    0    5   80.496833   0    0  1.483227  82.096075 0.669722  82.879063  0   0   82.879063 1.117981   4  
