%% MetaTwinsTri_behave_Conf for '_guess': starting at xubohao (       49.0000000000).9-Jan-2019 13:04:447.374445e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   9    3   1    5      8      2.498858 1.083515   4.098134 1.324339   5.530818 2.468288   6  
   2  4   9    1   0    7      8      8.496152 0.699997   9.712261 0.748119  10.578534 3.417833   6  
   3  4   9    4   1    6      6     14.493420 1.499445  16.509175 1.647561  18.275032 1.718607   6  
   4  1   9    2   0    5      5     20.490715 1.899223  22.906291 1.624658  24.638827 1.352071   6  
   5  3   9    3   1    7      7     26.504644 1.283010  28.303821 1.007473  29.419977 2.584863   6  
   6  1   9    3   0    4      3     32.501927 2.065758  35.084085 1.266092  36.466789 1.535311   6  
   7  1   9    3   0    4      2     38.499196 2.099399  41.114669 1.308688  42.530709 1.468673   6  
   8  2   9    4   0    3      4     44.496470 2.016177  47.028652 0.668297  47.811647 2.184988   6  
   9  3   9   -1   0    1      4     50.493754 0.000000  53.009307 1.759461  54.875101 1.118806   6  
  10  2   9    2   1    2      7     56.491031 1.133061  58.140282 1.109185  59.356401 2.634783   6  
  11  2   9    3   0    7      4     62.488305 1.849753  64.853901 0.098084  65.070473 2.917978   6  
  12  4   9    4   1    6      5     68.502242 1.433039  70.451362 0.704787  71.267665 2.734730   6  
  13  3   9    3   1    7      3     74.499530 2.032817  77.048374 1.708855  78.864216 1.135445   6  
  14  4   9    4   1    6      7     80.496810 1.033079  82.046107 0.985363  83.145607 2.851325   6  
  15  2   9    2   1    3      8     86.494084 1.282989  88.293269 1.200241  89.609339 2.384854   6  
  16  3   9    3   1   -1      6     92.491370 1.333006  94.340528 0.000000  96.339584 1.651889   6  
  17  4   9    4   1    8      8     98.488655 0.749879  99.754745 1.058062 100.920873 3.067864   6  
  18  1   9    1   1    5      6    104.485925 1.866076 106.868179 0.931444 107.917705 2.068307   6  
  19  4   9    2   0    6      5    110.499861 1.616341 112.632233 1.668651 114.414750 1.585194   6  
  20  2   9    4   0    5      4    116.497150 1.749611 118.762777 1.668238 120.545304 1.451907   6  
  21  2   9    3   0    6      3    122.511079 2.299099 125.326464 0.852133 126.292704 1.718608   6  
  22  3   9    1   0    3      2    128.508362 2.216051 131.240464 1.288545 132.639818 1.368770   6  
  23  3   9    3   1    6      4    134.505636 1.816186 136.837920 1.375361 138.320580 1.685294   6  
  24  2   9    2   1    3      3    140.502916 1.782738 142.801886 0.738256 143.651495 2.351645   6  
  25  1   9    1   1   -1      3    146.500190 2.166071 149.182316 0.000000 151.181359 0.819072   6  
  26  2   9    2   1    6      8    152.514137 1.183203 154.213373 0.181798 154.513230 3.501129   6  
  27  4   9    4   1    6      8    158.511421 0.966592 159.994090 0.396723 160.510513 3.501135   6  
  28  1   9    1   1    5      5    164.508688 1.516086 166.541108 0.940840 167.590630 2.418299   6  
  29  3   9    4   0    6      6    170.505983 0.983046 172.005299 0.616230 172.738303 3.267915   6  
  30  4   9    4   1    6      8    176.503251 0.866485 177.885948 0.723308 178.718928 3.284557   6  
  31  3   9    3   1    6      7    182.500549 0.783138 183.799942 0.823975 184.732856 3.267910   6  
  32  3   9    1   0    7      6    188.514465 1.066479 190.097093 1.730703 191.946232 2.068465   6  
  33  4   9    2   0    7      4    194.511750 1.533008 196.560832 1.048255 197.726953 2.285028   6  
  34  1   9    2   0    7      3    200.509029 1.799504 202.824643 1.193911 204.124061 1.885193   6  
  35  3   9    3   1   -1      3    206.506305 2.049365 209.071813 0.000000 211.070856 0.935681   6  
  36  1   9    2   0    1      3    212.503602 1.599542 214.619301 0.030235 214.769239 3.234584   6  
  37  2   9    2   1    5      3    218.500867 1.899464 220.916448 0.998292 222.032612 1.968485   6  
  38  1   9    1   1    2      8    224.498156 1.232937 226.247351 0.918185 227.280231 2.718148   6  
  39  1   9    4   0    6      5    230.512079 1.566269 232.594475 0.649605 233.360807 2.651498   6  
  40  4   9    4   1    3      8    236.509365 1.866186 238.891625 0.716073 239.724568 2.285023   6  
  41  2   9    2   1    8      6    242.506649 1.566204 244.589040 0.298345 245.005517 3.001358   6  
  42  3   9    4   0    7      5    248.503924 1.566229 250.586311 0.785095 251.485904 2.518252   6  
  43  1   9    2   0    6      3    254.501202 1.666255 256.683548 0.639144 257.433216 2.568233   6  
  44  2   9    2   1    6      3    260.498485 2.382414 263.397177 0.001878 263.513778 2.484933   6  
  45  2   9    2   1    5      8    266.495767 0.983282 267.995085 1.300821 269.411113 2.584876   6  
  46  4   9    4   1    5      7    272.509714 1.049952 274.075655 0.765121 274.958589 3.051341   6  
  47  3   9    3   1    7      7    278.506973 0.949969 279.972980 1.159210 281.239069 2.768144   6  
  48  2   9    3   0    3      3    284.504266 2.049362 287.069761 1.024676 288.202580 1.801916   6  
  49  4   9    1   0    1      2    290.501542 2.232431 293.250299 0.842474 294.199863 1.801920   6  
  50  1   9    3   0   -1      3    296.498808 1.899390 298.914388 0.000000 300.913424 1.085631   6  
]; % This session completes at 19-Jan-2019 13:10:04, 304.004s after session start, 300s on 50 trials, totally 320.193s.

