%% MetaTwinsTri_behave_Conf for '_guess': starting at xubohao (       49.0000000000).9-Jan-2019 13:16:047.374446e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   9    2   0    6      7      2.498985 1.716277   4.731301 1.219458   6.064035 1.935171   6  
   2  1   9   -1   0    3      1      8.496257 0.000000  11.011805 1.259536  12.377836 1.618621   6  
   3  1   9    2   0    2      7     14.493546 1.382969  16.392676 0.355424  16.859137 3.134563   6  
   4  2   9    2   1   -1      6     20.490839 1.166288  22.173394 0.000000  24.172425 1.818540   6  
   5  3   9    2   0    7      1     26.488095 1.699577  28.703752 0.125648  28.936987 3.051238   6  
   6  2   9    2   1    6      8     32.502041 1.149766  34.167954 0.393792  34.667730 3.334395   6  
   7  2   9    3   0    7      3     38.499318 1.699463  40.714976 0.634322  41.464648 2.534743   6  
   8  3   9    3   1    7      8     44.513251 1.566239  46.595650 1.643084  48.344843 1.668642   6  
   9  4   9    4   1    8      3     50.510532 1.732857  52.759504 0.175614  53.042720 2.968046   6  
  10  4   9    4   1    6      8     56.507807 1.332915  58.356970 0.000768  58.473587 3.534450   6  
  11  2   9    2   1    5      8     62.505085 1.599564  64.620796 0.665716  65.403767 2.601559   6  
  12  4   9    2   0    7      2     68.502367 1.816017  70.834647 0.681710  71.634283 2.368310   6  
  13  1   9    1   1    3      1     74.499640 2.116070  77.131787 1.416912  78.664429 1.335448   6  
  14  1   9    1   1    6      6     80.496929 1.932773  82.945811 1.300272  84.361842 1.635308   6  
  15  1   9    3   0    5      2     86.510877 1.682894  88.709878 1.953907  90.775607 1.235493   6  
  16  2   9    3   0    2      1     92.508148 2.432491  95.456801 1.638207  97.206006 0.802374   6  
  17  1   9    2   0   -1      6     98.505422 1.332933 100.354577 0.000000 102.353622 1.652034   6  
  18  2   9    4   0    1      1    104.502702 2.415803 107.434702 0.492950 108.034442 1.968493   6  
  19  3   9    1   0    7      1    110.499976 1.999385 113.015515 0.477352 113.598579 2.401606   6  
  20  3   9    1   0    3      7    116.497263 2.382430 119.395943 0.765167 120.278875 1.718575   6  
  21  3   9    3   1    2      8    122.494548 1.599383 124.610251 0.636265 125.359910 2.634790   6  
  22  1   9    3   0    5      2    128.491819 1.316306 130.324319 1.241202 131.673712 2.318238   6  
  23  4   9    2   0    1      1    134.489099 2.449081 137.454425 0.271131 137.837579 2.151629   6  
  24  3   9    4   0    5      8    140.486378 1.316396 142.318879 1.240040 143.668271 2.318190   6  
  25  1   9    3   0    5      6    146.516988 1.816164 148.849248 1.695151 150.665102 1.352108   6  
  26  4   9    4   1    8      8    152.514255 1.099844 154.130189 1.913546 156.162601 1.851881   6  
  27  2   9    2   1    7      8    158.511539 1.699539 160.727194 1.541196 162.376449 1.635323   6  
  28  3   9    4   0    6      2    164.508817 1.849477 166.874411 1.535511 168.523667 1.485380   6  
  29  2   9    4   0    7      8    170.506096 1.233087 172.255299 1.990660 174.354354 1.651974   6  
  30  2   9    4   0    6      5    176.503378 1.999238 179.018897 1.119214 180.251676 1.751924   6  
  31  4   9    3   0    2      1    182.500669 2.382507 185.399331 0.780968 186.298938 1.701942   6  
  32  1   9    4   0    2      7    188.497935 0.933183 189.947285 0.593935 190.646954 3.351199   6  
  33  2   9    3   0    4      3    194.495216 2.132630 197.144009 0.764029 198.026935 1.968514   6  
  34  1   9    4   0    8      7    200.509159 0.933399 201.958497 0.965744 203.041342 2.968033   6  
  35  3   9    2   0    5      3    206.506414 1.866152 208.888673 1.797576 210.804494 1.202162   6  
  36  2   9    3   0    5      8    212.503685 1.216408 214.236254 1.682684 216.035438 1.968476   6  
  37  3   9    3   1    4      5    218.500993 2.032576 221.049828 0.937964 222.099360 1.901822   6  
  38  4   9    2   0    5      5    224.498276 1.649546 226.663951 1.525802 228.296538 1.701875   6  
  39  3   9    3   1    6      8    230.495542 1.982732 232.994401 1.163829 234.277166 1.718524   6  
  40  3   9   -1   0    1      3    236.492822 0.000000 239.008373 0.646441 239.774664 2.218276   6  
  41  4   9    4   1    6      7    242.490096 1.899397 244.905677 1.643842 246.654876 1.335304   6  
  42  4   9    4   1    7      5    248.504050 1.416295 250.436495 1.343876 251.885850 2.118424   6  
  43  4   9    2   0    6      5    254.501319 1.766125 256.783615 1.342110 258.232967 1.768584   6  
  44  2   9    2   1    7      1    260.515265 1.882760 262.914162 0.981613 264.013676 2.001813   6  
  45  1   9    3   0    4      1    266.512511 2.032808 269.061379 1.185000 270.360789 1.651977   6  
  46  1   9    1   1    6      1    272.509815 1.849467 274.875413 1.976182 276.957806 1.052243   6  
  47  4   9    2   0    5      6    278.507099 1.532807 280.556175 1.900974 282.571927 1.435395   6  
  48  4   9    1   0    2      1    284.504379 2.265945 287.286456 1.545774 288.952367 1.052234   6  
  49  3   9    3   1   -1      6    290.501657 1.449605 292.467439 0.000000 294.466480 1.535407   6  
  50  3   9    3   1    2      6    296.498934 2.299254 299.314327 0.648048 300.080651 1.918517   6  
]; % This session completes at 19-Jan-2019 13:21:24, 304.003s after session start, 300s on 50 trials, totally 320.436s.

