%% MetaTwinsTri_behave_Conf for '_guess': starting at xubojie (       49.0000000000).9-Jan-2019 13:04:457.374445e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   9    3   1    8      8      2.498873 1.083255   4.098155 0.380656   4.597920 3.401173   6  
   2  4   9    1   0    8      8      8.496154 0.699990   9.712273 0.101955   9.928841 4.067522   6  
   3  4   9    4   1    7      6     14.493441 1.499664  16.509196 0.442220  17.058941 2.934698   6  
   4  1   9    2   0    3      5     20.490723 1.899417  22.906304 0.848595  23.872524 2.118382   6  
   5  3   9    3   1    6      7     26.504662 1.283077  28.303862 0.958460  29.370024 2.634806   6  
   6  1   9    3   0    2      3     32.501946 2.066042  35.084115 0.484229  35.683847 2.318248   6  
   7  1   9    3   0    1      2     38.499231 2.099386  41.114706 0.000812  41.231336 2.768048   6  
   8  2   9    4   0    4      4     44.496510 2.015934  47.028705 0.570026  47.711719 2.284930   6  
   9  3   9   -1   0    1      4     50.493794 0.000000  53.009330 0.527196  53.642378 2.351553   6  
  10  2   9    2   1    7      7     56.491077 1.132928  58.140329 0.339726  58.590133 3.401059   6  
  11  2   9    3   0    3      4     62.488361 1.849463  64.853959 0.427150  65.387047 2.601424   6  
  12  4   9    4   1    6      5     68.502304 1.433062  70.451426 0.680459  71.251063 2.751324   6  
  13  3   9    3   1    2      3     74.499589 2.032771  77.048444 0.511832  77.681469 2.318182   6  
  14  4   9    4   1    7      7     80.496866 1.032996  82.046168 0.557299  82.712529 3.284400   6  
  15  2   9    2   1    7      8     86.510802 1.266519  88.293336 0.308368  88.709813 3.301231   6  
  16  3   9    3   1    6      6     92.508093 1.316428  94.340589 0.466592  94.923671 3.084658   6  
  17  4   9    4   1    8      8     98.505383 0.733441  99.754808 0.356027 100.221265 3.784346   6  
  18  1   9    1   1    3      6    104.502662 1.849323 106.868246 0.727577 107.701211 2.301682   6  
  19  4   9    2   0    3      5    110.499946 1.616271 112.632310 1.074504 113.815115 2.185059   6  
  20  2   9    4   0    3      4    116.513890 1.732919 118.762873 0.397989 119.279305 2.734802   6  
  21  2   9    3   0    1      3    122.511171 2.299296 125.326564 0.235330 125.676396 2.335000   6  
  22  3   9    1   0    1      2    128.508452 2.216064 131.240545 0.096706 131.457121 2.551556   6  
  23  3   9    3   1    3      4    134.505730 1.832756 136.854678 0.479215 137.454396 2.551564   6  
  24  2   9    2   1    5      3    140.503013 1.782876 142.801980 0.617081 143.534971 2.468267   6  
  25  1   9    1   1    2      3    146.500304 2.165842 149.182425 0.416186 149.715506 2.285019   6  
  26  2   9    2   1    7      8    152.497581 1.199730 154.213471 0.390060 154.713244 3.284568   6  
  27  4   9    4   1    8      8    158.511522 0.966391 159.994184 0.536975 160.643891 3.367856   6  
  28  1   9    1   1    6      5    164.508800 1.516314 166.541225 0.451531 167.107635 2.901400   6  
  29  3   9    4   0    8      6    170.506093 0.983236 172.005411 0.490041 172.605131 3.401186   6  
  30  4   9    4   1    8      8    176.503374 0.866564 177.886076 0.495652 178.502479 3.501129   6  
  31  3   9    3   1    8      7    182.500667 0.783280 183.800085 0.152283 184.066624 3.934267   6  
  32  3   9    1   0    6      6    188.497946 1.082957 190.097218 0.600592 190.813577 3.184586   6  
  33  4   9    2   0    6      4    194.495237 1.549532 196.560968 0.374947 197.044061 2.951399   6  
  34  1   9    2   0    2      3    200.492514 1.816099 202.824790 0.202755 203.141324 2.851421   6  
  35  3   9    3   1    2      3    206.506449 2.049407 209.071955 0.576682 209.754970 2.251703   6  
  36  1   9    2   0    6      3    212.503744 1.599716 214.619447 0.454814 215.185863 2.818094   6  
  37  2   9    2   1    1      3    218.501018 1.899393 220.916586 0.561437 221.582952 2.418248   6  
  38  1   9    1   1    4      8    224.498298 1.233156 226.247502 0.527455 226.880552 3.117928   6  
  39  1   9    4   0    5      5    230.495572 1.582907 232.594628 0.427791 233.127725 2.868022   6  
  40  4   9    4   1    3      8    236.492868 1.882812 238.891776 0.597877 239.608113 2.384933   6  
  41  2   9    2   1    3      6    242.490149 1.583015 244.589191 0.544074 245.238895 2.751403   6  
  42  3   9    4   0    6      5    248.504082 1.566302 250.586472 0.697396 251.402764 2.601456   6  
  43  1   9    2   0    5      3    254.501371 1.666154 256.683709 0.616132 257.416713 2.584775   6  
  44  2   9    2   1    1      3    260.498646 2.382703 263.397342 0.247211 263.763834 2.234931   6  
  45  2   9    2   1    8      8    266.495932 0.983117 267.995253 0.310469 268.411734 3.584293   6  
  46  4   9    4   1    6      7    272.493221 1.066460 274.075845 0.415472 274.608926 3.384369   6  
  47  3   9    3   1    7      7    278.490503 0.966550 279.973172 0.607341 280.689509 3.301063   6  
  48  2   9    3   0    2      3    284.504450 2.049424 287.069949 0.395559 287.569728 2.434951   6  
  49  4   9    1   0    2      2    290.501740 2.232553 293.250485 0.741432 294.100095 1.901861   6  
  50  1   9    3   0    6      3    296.515675 1.882849 298.914586 0.604691 299.630920 2.384984   6  
]; % This session completes at 19-Jan-2019 13:10:06, 304.003s after session start, 300s on 50 trials, totally 320.497s.

