%% MetaTwinsTri_behave_Conf for '_guess': starting at xubojie (       49.0000000000).9-Jan-2019 12:47:317.374445e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   1   1    7      8      2.498872 1.750079   4.764511 0.635711   5.514184 2.484902   6  
   2  4   14   2   0    2      7      8.496159 1.966104  10.978358 0.271618  11.361525 2.634849   6  
   3  3   14   1   0    1      6     14.493432 2.149261  17.158894 0.309669  17.575376 2.418254   6  
   4  4   14   3   0    7      5     20.490714 1.533040  22.539797 0.629798  23.289444 2.701476   6  
   5  3   14   3   1    7      8     26.504651 1.916143  28.936891 0.283009  29.336721 2.668119   6  
   6  1   14   1   1    8      8     32.501942 1.016613  34.034579 0.345177  34.484384 3.517721   6  
   7  2   14   4   0    7      1     38.499231 1.316490  40.331725 0.330684  40.781530 3.217855   6  
   8  2   14   2   1    2      6     44.496502 1.982858  46.995373 0.336201  47.445180 2.551472   6  
   9  3   14   4   0    8      8     50.493784 1.333177  52.342956 0.467801  52.926047 3.067885   6  
  10  3   14   3   1    8      1     56.491081 1.433193  58.440189 0.422009  58.973289 3.017903   6  
  11  4   14   2   0    7      8     62.488359 1.483103  64.487455 0.364325  64.970570 3.017905   6  
  12  2   14   2   1    5      8     68.502300 1.749634  70.767935 0.627467  71.500944 2.501452   6  
  13  1   14   3   0    4      6     74.499581 1.816253  76.831857 0.980010  77.931358 2.068309   6  
  14  1   14   4   0    4      7     80.496859 1.749762  82.762504 1.762435  84.644982 1.351950   6  
  15  2   14   2   1    8      8     86.494159 1.133330  88.143409 0.528037  88.776447 3.217761   6  
  16  3   14   3   1    2      4     92.508099 2.032828  95.056947 0.359838  95.523382 2.484928   6  
  17  4   14   2   0    5      7     98.505368 1.616394 100.637740 0.195347 100.937616 3.067994   6  
  18  2   14   2   1    3      8    104.502660 1.982792 107.001526 1.237385 108.350919 1.651968   6  
  19  4   14   4   1    7      8    110.499947 1.349742 112.365769 0.464608 112.948827 3.051333   6  
  20  3   14   3   1    4      8    116.513885 1.966205 118.996094 0.796726 119.912338 2.101767   6  
  21  2   14   2   1    8      7    122.511170 1.249811 124.277032 0.517006 124.910082 3.101313   6  
  22  2   14  -1   0    1      3    128.508454 0.000000 131.023988 0.410843 131.540415 2.468259   6  
  23  1   14   2   0    8      6    134.505726 1.166530 136.188306 0.349991 136.654760 3.351202   6  
  24  4   14   4   1    6      8    140.503008 1.899563 142.918586 0.474793 143.501654 2.501589   6  
  25  1   14   3   0    5      8    146.500292 1.682936 148.699305 0.403073 149.215738 2.784790   6  
  26  4   14   4   1    8      7    152.497590 1.299827 154.313419 0.519870 154.946501 3.051310   6  
  27  3   14   2   0    1      1    158.511515 2.332643 161.360236 0.415650 161.893330 2.118426   6  
  28  1   14   4   0    6      7    164.508810 1.566350 166.591190 0.564686 167.274220 2.734832   6  
  29  3   14   4   0    2      7    170.506091 2.016214 173.038276 0.455419 173.604693 2.401629   6  
  30  4   14   4   1    8      8    176.503378 1.016550 178.036010 0.345240 178.502460 3.501133   6  
  31  4   14   4   1    6      1    182.500648 1.333066 184.349816 0.441128 184.899570 3.101313   6  
  32  3   14   4   0    4      3    188.497944 1.549763 190.563664 0.820970 191.496580 2.501591   6  
  33  2   14   2   1    6      7    194.495227 1.932713 196.944110 0.723621 197.777066 2.218384   6  
  34  4   14   3   0    2      7    200.509165 2.032765 203.058015 0.466051 203.641082 2.368313   6  
  35  1   14   1   1    6      6    206.506452 1.699545 208.722107 0.604577 209.438461 2.568214   6  
  36  3   14   2   0    7      7    212.503729 1.916086 214.935954 0.741773 215.785576 2.218383   6  
  37  2   14   2   1    6      7    218.501008 1.965937 220.983223 1.042132 222.132699 1.868532   6  
  38  4   14   2   0    2      8    224.498298 2.032760 227.047149 0.511024 227.663526 2.334992   6  
  39  3   14   3   1    7      7    230.495572 1.766209 232.777883 0.436499 233.327636 2.668169   6  
  40  4   14   2   0    6      7    236.492870 1.499678 238.508608 0.508213 239.125001 2.868059   6  
  41  1   14   4   0    2      8    242.490139 2.166017 245.172270 0.407987 245.688696 2.301642   6  
  42  2   14   3   0    6      6    248.504083 1.682939 250.703093 0.526590 251.336141 2.668124   6  
  43  2   14   4   0    1      7    254.501367 2.415955 257.433380 0.041456 257.583303 2.418234   6  
  44  1   14   3   0    5      6    260.498658 1.632874 262.647671 0.723989 263.480636 2.518161   6  
  45  3   14   4   0    1      7    266.495941 2.215833 269.228030 0.292958 269.627850 2.368242   6  
  46  4   14   4   1    2      8    272.493212 1.732952 274.742201 0.555239 275.408569 2.584791   6  
  47  2   14   2   1    2      8    278.490503 2.016172 281.022694 0.581033 281.722368 2.268262   6  
  48  1   14   4   0    5      8    284.487778 1.516356 286.520200 0.682037 287.319836 2.668056   6  
  49  2   14   4   0    5      6    290.501722 1.749348 292.767385 0.944474 293.816888 2.184942   6  
  50  4   14   4   1    7      7    296.499008 1.366405 298.381490 0.606378 299.097832 2.901265   6  
]; % This session completes at 19-Jan-2019 12:52:49, 304.005s after session start, 300s on 50 trials, totally 317.564s.

