%% MetaTwinsTri_behave_Conf for '_notguess': starting at xubojie (       49.0000000000).9-Jan-2019 13:16:057.374446e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   9    2   0    7    2.498865 1.699959   4.314707 0.804494   5.230976 2.768099   6  
   2  1   9   -1   0    1    8.496157 0.000000  11.011692 0.553286  11.678044 2.318222   6  
   3  1   9    2   0    7   14.510086 1.349956  15.976095 1.064293  17.158910 2.851417   6  
   4  2   9    2   1    6   20.507375 1.133447  21.756818 0.932976  22.806348 3.201257   6  
   5  3   9    2   0    1   26.504663 1.666444  28.287193 0.534206  28.936891 3.067999   6  
   6  2   9    2   1    8   32.501935 1.133314  33.751390 0.519919  34.384426 3.617745   6  
   7  2   9    3   0    3   38.499239 1.683088  40.298414 1.396540  41.814395 2.184958   6  
   8  3   9    3   1    8   44.513165 1.550015  46.179084 0.236158  46.528923 3.484480   6  
   9  4   9    4   1    3   50.510451 1.716509  52.342961 0.833275  53.292526 2.718162   6  
  10  4   9    4   1    8   56.507732 1.316761  57.940421 0.217321  58.273606 3.734362   6  
  11  2   9    2   1    8   62.505010 1.583277  64.204244 0.365547  64.687357 3.317891   6  
  12  4   9    2   0    2   68.502309 1.799780  70.434756 0.725273  71.267722 2.734723   6  
  13  1   9    1   1    1   74.499591 2.099594  76.731907 0.562855  77.414937 2.584696   6  
  14  1   9    1   1    6   80.513531 1.899711  82.529218 1.020427  83.662107 2.351656   6  
  15  1   9    3   0    2   86.510796 1.666492  88.326663 1.236188  89.676041 2.335004   6  
  16  2   9    3   0    1   92.508089 2.416158  95.056943 0.984575  96.156446 1.851875   6  
  17  1   9    2   0    6   98.488715 1.333437  99.938062 1.375689 101.420726 2.568142   6  
  18  2   9    4   0    1  104.486000 2.416285 107.018187 0.807018 107.934437 2.051623   6  
  19  3   9    1   0    1  110.499935 1.982945 112.615651 0.770254 113.498578 2.501600   6  
  20  3   9    1   0    7  116.497220 2.366087 118.979430 1.195158 120.278850 1.718607   6  
  21  3   9    3   1    8  122.494509 1.583239 124.193741 0.401539 124.710180 3.284562   6  
  22  1   9    3   0    2  128.491791 1.300053 129.907822 1.244888 131.257216 2.734741   6  
  23  4   9    2   0    1  134.489077 2.432870 137.071236 0.617884 137.804249 2.184907   6  
  24  3   9    4   0    8  140.503022 1.283428 141.902397 0.398588 142.418817 3.584430   6  
  25  1   9    3   0    6  146.500295 1.816408 148.432768 1.842496 150.381864 1.618663   6  
  26  4   9    4   1    8  152.497581 1.100063 153.713701 0.271303 154.096858 3.900952   6  
  27  2   9    2   1    8  158.494861 1.699822 160.310706 0.289014 160.710524 3.284518   6  
  28  3   9    4   0    2  164.492149 1.849805 166.457925 1.121971 167.690696 2.301547   6  
  29  2   9    4   0    8  170.506093 1.216695 171.838826 0.199776 172.155342 3.850987   6  
  30  2   9    4   0    5  176.503364 1.982909 178.619093 0.932091 179.668610 2.334990   6  
  31  4   9    3   0    1  182.500649 2.366002 184.999525 0.551181 185.665899 2.334981   6  
  32  1   9    4   0    7  188.497931 0.916885 189.530809 1.050966 190.696939 3.301197   6  
  33  2   9    3   0    3  194.495238 2.116334 196.727552 1.047488 197.893679 2.101650   6  
  34  1   9    4   0    7  200.509163 0.916849 201.542028 0.919469 202.574900 3.434498   6  
  35  3   9    2   0    3  206.506447 1.849790 208.472041 0.893555 209.471776 2.534904   6  
  36  2   9    3   0    8  212.503724 1.200142 213.819811 0.376129 214.302923 3.701042   6  
  37  3   9    3   1    5  218.501004 2.016225 220.633379 0.889516 221.632930 2.368292   6  
  38  4   9    2   0    5  224.498295 1.633302 226.247511 1.057626 227.413642 2.584778   6  
  39  3   9    3   1    8  230.512240 1.949516 232.577973 0.734788 233.427587 2.584887   6  
  40  3   9   -1   0    3  236.509512 0.000000 239.025057 0.000350 239.141665 2.868086   6  
  41  4   9    4   1    7  242.506804 1.867167 244.489247 0.380565 244.989007 3.018032   6  
  42  4   9    4   1    5  248.504076 1.399991 250.020074 0.768417 250.903004 3.101298   6  
  43  4   9    2   0    5  254.501367 1.749854 256.383865 1.375138 257.866506 2.134997   6  
  44  2   9    2   1    1  260.515309 1.866451 262.497751 0.912991 263.530612 2.484930   6  
  45  1   9    3   0    1  266.512597 2.016328 268.661616 1.103898 269.877742 2.135085   6  
  46  1   9    1   1    1  272.509880 1.833149 274.458997 0.713121 275.291943 2.718179   6  
  47  4   9    2   0    6  278.507162 1.516499 280.189741 0.565370 280.872759 3.134639   6  
  48  4   9    1   0    1  284.504441 2.249464 286.870047 0.865321 287.852931 2.151656   6  
  49  3   9    3   1    6  290.485080 1.450015 292.050932 0.596815 292.767371 3.217753   6  
  50  3   9    3   1    6  296.499005 2.282932 298.897928 1.002699 300.014089 1.985153   6  
]; % This session completes at 19-Jan-2019 13:21:25, 304.003s after session start, 300s on 50 trials, totally 320.626s.

